,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Operating Revenue,136.74,116.85,174.03,169.52,201.03,188.39,208.45,181.91
1,Other Revenue,-23.03,23.03,-,53.45,-26.85,26.85,-,63.06
2,Revenue,113.71,139.88,174.03,222.97,174.18,215.24,208.45,244.97
3,Revenue Growth (YoY),-34.72%,-35.01%,-16.51%,-8.98%,-,-,-,-
4,Cost of Revenue,89.1,113.37,138.1,169.79,130.34,168.81,163.92,186.37
5,Gross Profit,24.61,26.5,35.93,53.18,43.84,46.43,44.53,58.6
6,"Selling, General & Admin",9.21,10.65,11.12,13.13,11.2,10.34,10.21,8.85
7,Research & Development,0.68,2.53,0.71,1.11,1.6,3.89,0.82,1.06
8,Other Operating Expenses,-2.29,-2,1.18,5.31,0.8,0.41,-0.33,7.83
9,Operating Expenses,7.43,10.54,14.02,19.83,15.96,11.7,14.7,14.49
10,Operating Income,17.18,15.96,21.91,33.34,27.88,34.73,29.82,44.11
11,Interest Expense,-3.13,-2.88,-3.37,-3.62,-3.76,-3.92,-3.6,-4.29
12,Interest & Investment Income,2.97,2.47,2.92,0.45,0.06,0.08,0.1,0.07
13,Other Non Operating Income (Expenses),3.99,-0.19,-0.13,-4.2,2.71,0.52,-0.57,-5.44
14,EBT Excluding Unusual Items,21.01,15.36,21.33,25.97,26.89,31.42,25.76,34.45
15,Gain (Loss) on Sale of Investments,-,-,-,-0.67,-0.76,-1.76,-1.63,-1.9
16,Gain (Loss) on Sale of Assets,-0.03,0.84,0.22,-,1.1,0,-,1.3
17,Asset Writedown,-0.38,-,-,-0.13,0.13,0.21,-0.21,-4.59
18,Other Unusual Items,-4.47,4.29,0.18,13.53,0.45,-0.45,-,11.45
19,Pretax Income,16.13,20.48,21.74,38.71,27.81,29.41,23.91,40.71
20,Income Tax Expense,3.21,4.13,5.86,9.19,6.61,6.84,5.97,10.22
21,Net Income,12.93,16.35,15.88,29.52,21.2,22.57,17.95,30.49
22,Net Income to Common,12.93,16.35,15.88,29.52,21.2,22.57,17.95,30.49
23,Net Income Growth,-39.02%,-27.54%,-11.51%,-3.19%,-,-,-,-
24,Shares Outstanding (Basic),240,240,240,180,180,180,180,180
25,Shares Outstanding (Diluted),240,240,240,180,180,180,180,180
26,Shares Change (YoY),33.18%,33.44%,33.28%,-0.00%,-,-,-,-
27,EPS (Basic),0.05,0.07,0.07,0.16,0.12,0.13,0.10,0.17
28,EPS (Diluted),0.05,0.07,0.07,0.16,0.12,0.13,0.10,0.17
29,EPS Growth,-54.21%,-45.70%,-33.60%,-3.19%,-,-,-,-
30,Free Cash Flow,-58.71,90.55,-92.09,-103.16,-55.34,-2.29,-12.09,39.27
31,Free Cash Flow Per Share,-0.24,0.38,-0.38,-0.57,-0.31,-0.01,-0.07,0.22
32,Gross Margin,21.64%,18.95%,20.65%,23.85%,25.17%,21.57%,21.36%,23.92%
33,Operating Margin,15.11%,11.41%,12.59%,14.95%,16.01%,16.14%,14.31%,18.01%
34,Profit Margin,11.37%,11.69%,9.13%,13.24%,12.17%,10.49%,8.61%,12.45%
35,Free Cash Flow Margin,-51.63%,64.74%,-52.92%,-46.27%,-31.77%,-1.06%,-5.80%,16.03%
36,EBITDA,26.22,25.52,30.96,42.39,36.68,44.06,38.61,52.9
37,EBITDA Margin,23.06%,18.25%,17.79%,19.01%,21.06%,20.47%,18.52%,21.60%
38,D&A For EBITDA,9.05,9.57,9.05,9.05,8.79,9.33,8.79,8.79
39,EBIT,17.18,15.96,21.91,33.34,27.88,34.73,29.82,44.11
40,EBIT Margin,15.11%,11.41%,12.59%,14.95%,16.01%,16.14%,14.31%,18.01%
41,Effective Tax Rate,19.88%,20.16%,26.94%,23.75%,23.77%,23.27%,24.96%,25.11%
42,Revenue as Reported,113.71,139.88,174.03,222.97,174.18,215.24,208.45,244.97
