,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,53.4,36.23,27.76,71.48,54.81,45.84,39.08,68.16,48.1,42.07,36.59,94.31,66.52,42.22,31.8
1,Other Revenue,-0.12,0.12,-,0.51,-0.18,0.18,-,0.88,-0.04,0.04,-,1,-0.07,0.05,0.02
2,Revenue,53.29,36.35,27.76,71.99,54.63,46.02,39.08,69.04,48.06,42.11,36.59,95.32,66.45,42.26,31.82
3,Revenue Growth (YoY),-2.47%,-21.02%,-28.96%,4.28%,13.68%,9.27%,6.81%,-27.57%,-27.68%,-0.35%,15.01%,-,-,-,-
4,Cost of Revenue,14.47,6.85,6.82,20.35,11.42,11.14,8.72,15.6,10.44,10.03,8.04,22.59,19.26,7.64,6.27
5,Gross Profit,38.81,29.5,20.94,51.64,43.21,34.88,30.36,53.44,37.62,32.08,28.56,72.73,47.19,34.62,25.54
6,"Selling, General & Admin",9.38,12.28,10.48,19.75,13.34,16.07,13.08,19.08,15.27,10.33,11.07,20.83,11.82,11.72,8.82
7,Research & Development,4.47,4.34,4.15,6.41,4.06,4.76,3.85,5.39,3.85,4.41,4.26,6.86,3.2,3.38,3.24
8,Other Operating Expenses,0.08,-0.97,-2.63,-0.52,-0.81,-0.05,-2.34,-0.79,-1.11,-1.81,-3.53,0.15,-1.94,-0.54,-1.78
9,Operating Expenses,14.92,15.13,10.04,29.95,16.16,21,13.91,25.51,17.59,12.9,11.63,29.63,13.13,14.45,10.56
10,Operating Income,23.89,14.37,10.9,21.69,27.05,13.88,16.45,27.93,20.03,19.18,16.93,43.1,34.06,20.17,14.99
11,Interest Expense,-0.02,-0.03,-0.02,-0.04,-0.04,-0.04,-0.03,-0.04,-0.05,-0.13,-0.16,-0.99,-,-0.91,-0.04
12,Interest & Investment Income,3.04,3.75,4.34,3.28,5.01,3.65,1.55,3.49,0.55,0.35,0.29,0.19,0.83,0.88,0.69
13,Currency Exchange Gain (Loss),-,-,-,0.73,-,-,-,2.58,-,-,-,-0.43,-,-0.12,0.12
14,Other Non Operating Income (Expenses),0.73,-1.71,2.07,-2.54,-0.1,1.46,1.1,-10.59,4.89,5.75,-0.1,0.82,-0.64,-0.17,0.17
15,EBT Excluding Unusual Items,27.64,16.38,17.29,23.12,31.93,18.94,19.07,23.37,25.42,25.14,16.96,42.69,34.25,19.84,15.94
16,Gain (Loss) on Sale of Investments,0.86,-,-0.86,0.86,-,-,-,0.24,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,0.02,-,-0,0,-0.06,0.06,-0.06,-
