,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3515,2813,2917,3717,3560,3080,3330,3545,2684,2730,-,-,-,-,-,-
1,Market Cap Growth,-8.67%,-8.67%,-12.40%,4.85%,32.64%,12.82%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2981,2291,2314,3132,2975,2512,2735,3217,2356,2656,-,-,-,-,-,-
3,Last Close Price,35.15,28.13,29.17,36.44,34.90,30.19,32.64,34.35,26.00,26.45,-,-,-,-,-,-
4,PE Ratio,44.50,35.57,34.85,43.56,40.87,35.45,40.55,41.09,31.66,28.78,-,-,-,-,-,-
5,PS Ratio,18.58,14.85,15.29,18.55,16.81,14.75,16.47,17.88,13.71,12.29,-,-,-,-,-,-
6,PB Ratio,3.64,2.92,3.09,3.77,3.66,3.26,3.63,3.78,2.92,3.06,-,-,-,-,-,-
7,P/TBV Ratio,3.57,3.57,3.82,4.46,4.36,3.91,4.39,4.55,3.53,3.74,-,-,-,-,-,-
8,P/FCF Ratio,350.47,280.47,-,-,159.81,106.00,111.45,-,48.65,51.46,-,-,-,-,-,-
9,P/OCF Ratio,34.31,34.31,32.62,35.84,38.07,30.73,32.76,37.52,31.57,36.44,-,-,-,-,-,-
10,EV/Sales Ratio,15.74,12.10,12.13,15.63,14.05,12.03,13.53,16.23,12.03,11.96,-,-,-,-,-,-
11,EV/EBITDA Ratio,36.41,36.00,35.05,-,36.47,28.86,33.81,36.94,26.64,25.45,-,-,-,-,-,-
12,EV/EBIT Ratio,42.07,32.33,31.27,42.61,37.63,29.45,34.94,38.49,28.03,26.77,-,-,-,-,-,-
13,EV/FCF Ratio,297.24,228.42,-,-,133.56,86.47,91.54,-,42.71,50.07,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,-,-,-
15,Debt / EBITDA Ratio,0.03,0.02,0.04,-,0.04,0.03,0.05,0.05,0.03,0.05,0.06,0.22,0.08,-,-,-
16,Debt / FCF Ratio,0.22,0.22,-,-,0.18,0.13,0.11,-,0.07,0.08,0.10,-,-0.19,-,-,-
17,Asset Turnover,0.21,0.14,-,0.28,0.22,0.19,0.16,0.29,0.29,0.42,0.37,-,-,-,-,
18,Inventory Turnover,1.56,1.91,0.96,-,2.80,1.45,1.35,1.01,1.74,1.15,1.19,1.07,-,-,-,-
19,Quick Ratio,12.53,12.53,13.07,13.98,9.25,10.45,20.50,21.79,11.44,12.26,5.67,4.12,2.92,-,-,-
20,Current Ratio,13.41,13.41,14.05,14.79,9.74,11.06,21.76,23.09,12.07,21.65,7.25,5.17,3.53,-,-,-
21,Return on Equity (ROE),9.21%,6.55%,-,11.25%,11.43%,7.52%,6.95%,11.81%,13.83%,23.95%,17.20%,-,-,-,-,
22,Return on Assets (ROA),5.95%,3.54%,-,5.26%,6.90%,3.61%,4.21%,7.31%,7.53%,12.10%,10.84%,-,-,-,-,
23,Return on Capital (ROIC),6.25%,3.71%,-,5.63%,7.24%,3.73%,4.41%,7.68%,7.87%,12.92%,11.87%,-,-,-,-,
24,Return on Capital Employed (ROCE),7.33%,7.33%,7.83%,7.43%,8.11%,9.01%,8.52%,8.90%,9.12%,11.10%,30.14%,32.36%,33.39%,-,-,-
25,Earnings Yield,2.25%,2.81%,2.87%,2.30%,2.45%,2.82%,2.47%,2.43%,3.16%,3.47%,-,-,-,-,-,-
26,FCF Yield,0.29%,0.36%,0.45%,1.44%,0.63%,0.94%,0.90%,0.80%,2.06%,1.94%,-,-,-,-,-,-
27,Dividend Yield,1.68%,-,-,-,1.72%,-,-,-,1.54%,-,-,-,-,-,-,-
28,Payout Ratio,75.82%,17.34%,355.83%,-,-,-,229.82%,-,-,-,0.39%,0.67%,0.27%,0.32%,0.04%,-
29,Buyback Yield / Dilution,-1.48%,3.52%,-1.96%,-1.74%,-6.24%,-17.89%,-24.25%,-37.69%,-25.06%,-19.12%,-2.16%,2.93%,-,-,-,-
30,Total Shareholder Return,0.20%,3.52%,-1.96%,-1.74%,-4.52%,-17.89%,-24.25%,-37.69%,-23.52%,-19.12%,-2.16%,2.93%,-,-,-,-
