,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,516,334.56,605.98,526.39,498.32,529.5,559.68,491.73,278.22,46.98,46.56,34.5,-,-,-
1,Trading Asset Securities,20,190,-,90.86,90,41.3,38.3,145.3,53.58,32.07,33,57,-,-,-
2,Cash & Short-Term Investments,536,524.56,605.98,617.25,588.32,570.8,597.99,637.04,331.8,79.05,79.56,91.5,-,-,168.14
3,Cash Growth,-8.89%,-8.10%,1.34%,-3.11%,77.31%,622.08%,651.62%,596.22%,-,-,-52.68%,-,-,-,-
4,Accounts Receivable,82.94,69.47,67.09,80.53,79.82,69.76,69.39,69.27,66.42,76.08,68.23,68.72,-,-,-
5,Other Receivables,2.22,0.7,6.7,1.85,2.41,1.63,1.87,1.67,1.88,1.74,1.8,1.27,-,-,-
6,Receivables,85.16,70.17,73.79,82.38,82.23,71.39,71.26,70.93,68.29,77.82,70.03,69.99,-,-,-
7,Inventory,30.61,30.1,27.08,27.27,30.88,31.96,33.98,34.91,36.71,35.92,31.42,28.85,-,-,-
8,Other Current Assets,12.92,14.38,12.23,10.11,8.13,7.47,6.06,3.75,269.65,7.68,6.71,5.06,-,-,-
9,Total Current Assets,664.69,639.21,719.08,737.02,709.56,681.62,709.28,746.63,706.46,200.47,187.71,195.4,-,-,-
10,"Property, Plant & Equipment",170.71,169.26,160.73,154.63,141.93,108.44,100.03,74.96,58.06,39.33,37.51,30.99,-,-,-
11,Other Intangible Assets,177.26,178.39,154.49,155.45,156.41,157.37,158.33,159.29,160.25,161.21,162.16,163.12,-,-,-
12,Long-Term Deferred Tax Assets,2.61,2.65,2.77,2.77,2.09,2.09,2.09,2.09,1.59,1.72,1.69,1.71,-,-,-
13,Long-Term Deferred Charges,0.54,0.64,0.78,0.59,0.43,0.34,0.42,0.51,0.63,0.7,0.34,0.47,-,-,-
14,Other Long-Term Assets,-,-,-,0.36,-,-,-,-,-,-,-,-,-,-,-
15,Total Assets,1016,990.15,1038,1051,1010,949.86,970.16,983.47,926.99,403.43,389.42,391.68,-,-,-
16,Accounts Payable,12.61,10.4,10.3,12.28,5.35,4.74,4.43,8.51,6.94,7.87,5.49,6.81,-,-,-
17,Accrued Expenses,4.31,5.96,3.88,19.66,4.38,4.07,4.17,16.36,3.7,5.56,6.34,17.62,-,-,-
18,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,9.55,9.95,-,-,-
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,0.06,-,-,-,-,-,-,-
20,Current Portion of Leases,1.54,1.69,1.88,2.4,2.94,2.12,2.29,2.98,1.95,3.02,3.82,3.49,-,-,-
21,Current Income Taxes Payable,7.14,0.88,2.54,2.98,7.41,2.61,4.84,4.55,2.19,2.14,2.53,6.88,-,-,-
22,Current Unearned Revenue,7.94,5.13,3.84,4.07,10.04,9.86,10.67,8.36,6.7,5.89,6.57,6.56,-,-,-
23,Other Current Liabilities,16.01,21.45,26.19,34.28,34.04,7.92,4.31,21.04,11.16,3.19,2,4.01,-,-,-
24,Total Current Liabilities,49.56,45.51,48.63,75.67,64.16,31.32,30.72,61.87,32.63,27.66,36.29,55.33,-,-,-
25,Long-Term Leases,0.62,0.82,1.28,1.51,0.7,1.14,1.02,1.07,2.27,2.27,2.88,2.12,-,-,-
26,Other Long-Term Liabilities,0.75,0.92,0.83,0.89,0.93,1.09,1.27,1.27,1.09,1.58,1.44,1.63,-,-,-
27,Total Liabilities,50.93,47.25,50.74,78.07,65.79,33.55,33.01,64.2,36,31.51,40.62,59.08,-,-,-
28,Common Stock,100,100,100,100,100,100,100,100,100,75,75,75,-,-,-
29,Additional Paid-In Capital,575.91,575.91,575.91,575.91,574.75,573.01,571.27,569.53,567.98,95.74,94.2,92.65,-,-,-
30,Retained Earnings,288.98,267,311.21,296.84,269.89,243.3,265.87,249.74,223.02,201.18,179.6,164.95,-,-,-
31,Shareholders' Equity,964.88,942.91,987.11,972.75,944.64,916.31,937.15,919.27,890.99,371.92,348.8,332.6,-,-,229.57
32,Total Liabilities & Equity,1016,990.15,1038,1051,1010,949.86,970.16,983.47,926.99,403.43,389.42,391.68,-,-,-
33,Total Debt,2.16,2.51,3.16,3.91,3.64,3.26,3.31,4.11,4.22,5.29,16.25,15.56,-,-,-
34,Net Cash (Debt),533.84,522.05,602.82,613.34,584.68,567.54,594.67,632.92,327.58,73.76,63.31,75.94,-,-,168.14
35,Net Cash Growth,-8.70%,-8.01%,1.37%,-3.09%,78.49%,669.45%,839.30%,733.42%,-,-,-62.35%,-,-,-,-
36,Net Cash Per Share,5.35,5.30,5.87,6.15,5.66,5.88,5.90,6.74,3.74,0.95,0.86,1.01,-,-,2.23
37,Filing Date Shares Outstanding,100,100,100,100,100,100,100,100,100,75,75,75,73.6,76.06,75.46
38,Total Common Shares Outstanding,100,100,100,100,100,100,100,100,100,75,75,75,73.6,76.06,75.46
39,Working Capital,615.13,593.7,670.44,661.34,645.4,650.3,678.57,684.76,673.82,172.81,151.42,140.07,-,-,-
40,Book Value Per Share,9.65,9.43,9.87,9.73,9.45,9.16,9.37,9.19,8.91,4.96,4.65,4.43,-,-,3.06
41,Tangible Book Value,787.62,764.52,832.62,817.3,788.23,758.94,778.82,759.98,730.75,210.72,186.64,169.48,-,-,225.95
42,Tangible Book Value Per Share,7.88,7.65,8.33,8.17,7.88,7.59,7.79,7.60,7.31,2.81,2.49,2.26,-,-,3.01
43,Buildings,-,17.68,-,17.68,-,17.68,-,17.68,-,-,-,17.68,-,-,-
44,Machinery,-,7.18,-,6.8,-,6.52,-,6.15,-,-,-,6.03,-,-,-
45,Construction In Progress,-,150.36,-,134.27,-,88.46,-,54.29,-,-,-,7.58,-,-,-
