,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,0.7,2.45,0.49,1.68,7.18,7.9,6.7,21.12,11.77,20.84,Upgrade
1,Cash & Short-Term Investments,0.7,2.45,0.49,1.68,7.18,7.9,6.7,21.12,11.77,20.84,Upgrade
2,Cash Growth,44.56%,45.80%,-93.22%,-78.75%,7.23%,-62.58%,-43.09%,1.34%,-28.68%,10.29%,Upgrade
3,Accounts Receivable,10.7,1.72,-,-,187.46,494.71,381.95,301.69,605.28,643.78,Upgrade
4,Receivables,10.7,1.72,-,-,187.46,494.71,381.95,301.69,605.28,643.78,Upgrade
5,Inventory,-,-,-,-,-,3.11,38.85,60.24,52.96,43.46,Upgrade
6,Prepaid Expenses,25.85,26.09,27.26,147.17,159.15,154.85,157.98,176.73,476.16,535.35,Upgrade
7,Other Current Assets,112.68,108.08,101.84,123.16,-,-,-,-,232.47,239.73,Upgrade
8,Total Current Assets,149.94,138.34,129.59,272.01,353.79,660.57,585.47,559.78,1379,1483,Upgrade
9,"Property, Plant & Equipment",1723,1687,1674,3.59,5.29,1.23,98.52,103.86,618.99,576.42,Upgrade
10,Long-Term Investments,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,Upgrade
11,Long-Term Accounts Receivable,-,-,-,283.04,273.89,283.82,280.48,268.46,-,-,Upgrade
12,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,9.51,-,-,Upgrade
13,Other Long-Term Assets,-,-,-,1286,1273,1274,1218,1121,-,-,Upgrade
14,Total Assets,1874,1827,1805,1846,1908,2221,2184,2064,1999,2061,Upgrade
15,Accounts Payable,5.99,1.72,-,-,331.07,482.57,410.26,359.74,505.19,476.66,Upgrade
16,Accrued Expenses,-,-,-,-,492.56,500.17,-,442.65,-,-,Upgrade
17,Short-Term Debt,200,200,200,200,-,200,200,200,-,-,Upgrade
18,Current Portion of Long-Term Debt,18.19,18.19,18.19,18.19,710.54,533.86,523.57,424.7,18.19,18.19,Upgrade
19,Current Portion of Leases,1.58,1.4,1.25,2.93,5.66,1.42,3.11,4.76,4.01,1.13,Upgrade
20,Current Income Taxes Payable,148.22,145.11,72.05,-,15.8,16.55,15.9,20.48,22.73,16.12,Upgrade
21,Current Unearned Revenue,-,-,-,-,98.02,149.91,-,169.34,306.48,-,Upgrade
22,Other Current Liabilities,131.21,109.02,78.89,1802,430.75,475.75,1058,455.25,315.82,735.31,Upgrade
23,Total Current Liabilities,505.19,475.43,370.38,2023,2084,2360,2211,2077,1172,1247,Upgrade
24,Long-Term Debt,-,-,-,-,-,-,-,92.89,200,200,Upgrade
25,Long-Term Leases,0.57,1.37,-,0.5,6.86,7.62,7.88,8.18,10.3,8.42,Upgrade
26,Long-Term Unearned Revenue,-,-,-,-,-,5.52,5.41,5.34,4.99,-,Upgrade
27,Long-Term Deferred Tax Liabilities,-,-,-,-,5.86,6.14,6.01,5.94,5.54,5.59,Upgrade
28,Other Long-Term Liabilities,272.35,265.32,344.63,-,-,-,-,-,-,5.03,Upgrade
29,Total Liabilities,778.11,742.12,715.01,2024,2097,2379,2230,2189,1393,1466,Upgrade
30,Common Stock,29.04,29.04,29.04,28.71,28.71,28.71,28.71,28.71,28.71,28.71,Upgrade
31,Additional Paid-In Capital,2079,2079,2079,2078,2078,2078,2078,2078,2078,2078,Upgrade
32,Retained Earnings,-1145,-1129,-1115,-2358,-2365,-2334,-2232,-2302,-1632,-1646,Upgrade
33,Comprehensive Income & Other,-38.68,-62.02,-69.59,86.47,85.8,82.48,83.54,84.05,75.36,80.5,Upgrade
34,Total Common Equity,923.97,916.61,923.01,-164.81,-172.29,-144.23,-41.75,-111.41,549.87,541.52,Upgrade
35,Minority Interest,172.06,168.45,167.29,-12.82,-16.86,-13.86,-4.2,-13.49,56.02,53.11,Upgrade
36,Shareholders' Equity,1096,1085,1090,-177.63,-189.15,-158.09,-45.95,-124.9,605.89,594.63,Upgrade
37,Total Liabilities & Equity,1874,1827,1805,1846,1908,2221,2184,2064,1999,2061,Upgrade
38,Total Debt,220.34,220.96,219.44,221.63,723.06,742.9,734.55,730.52,232.5,227.75,Upgrade
39,Net Cash (Debt),-219.63,-218.51,-218.95,-219.95,-715.88,-734.99,-727.85,-709.4,-220.73,-206.91,Upgrade
40,Net Cash Per Share,-0.76,-0.76,-0.75,-0.77,-2.49,-2.56,-2.54,-2.47,-0.77,-0.73,Upgrade
41,Filing Date Shares Outstanding,290.37,290.37,290.37,287.07,287.07,287.07,287.07,287.07,287.07,287.07,Upgrade
42,Total Common Shares Outstanding,290.37,290.37,290.37,287.07,287.07,287.07,287.07,287.07,287.07,287.07,Upgrade
