,Fiscal Quarter,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q1 2016,Q4 2015,Q3 2015,+20 Quarters
,Period Ending,"Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015",+20 Quarters
0,Cash & Equivalents,8455,14992,18447,31351,15747,1849,5780,1220,2273,5742,-,1778,3782,-,1801,2581,-,644.38,435.6,6444,Upgrade
1,Short-Term Investments,24602,24500,24927,24604,24000,16500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,33057,39492,43374,55955,39747,18349,5780,1220,2273,5742,1778,1778,3782,1801,1801,2581,-,644.38,435.6,6444,Upgrade
3,Cash Growth,-16.83%,115.22%,650.40%,4485.02%,1648.89%,219.59%,225.07%,-31.37%,-39.91%,218.75%,-1.29%,-31.11%,-,179.54%,313.52%,-59.94%,-,-82.56%,-82.65%,1568.36%,Upgrade
4,Accounts Receivable,60009,55600,46556,28321,24076,19552,25697,23573,16402,18761,-,24601,19333,-,20991,18829,-,28068,18113,16062,Upgrade
5,Other Receivables,8086,5203,6187,47207,2640,1249,-,-,276.16,-,-,-,534.84,-,-,-,-,1756,3169,1193,Upgrade
6,Receivables,68095,60803,52743,75528,26716,20800,25697,23573,16678,18761,-,24601,19867,-,20991,18829,-,29824,21282,17256,Upgrade
7,Inventory,50996,11156,11486,8322,7925,21694,17855,26769,27757,20148,-,19850,13764,-,1122,-,-,25656,17423,3340,Upgrade
8,Other Current Assets,7054,11929,8791,4060,3003,1910,6479,2655,2088,7049,-,1584,2943,-,3408,1441,-,3783,5474,5171,Upgrade
9,Total Current Assets,159202,123381,116394,143865,77390,62754,55812,54217,48796,51700,-,47813,40357,-,27321,22851,-,59908,44614,32211,Upgrade
10,"Property, Plant & Equipment",112501,113304,113097,114256,122983,130626,120641,122425,127891,102633,-,108409,109860,-,121339,119855,-,124845,138572,77552,Upgrade
