,Fiscal Quarter,Current,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q1 2016,Q4 2015,Q3 2015,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015",+20 Quarters
0,Market Capitalization,1188295,284911,181580,148408,118726,117402,121917,117402,102350,114392,136174,153120,146740,176088,160776,134560,141520,150800,100920,96280,116622,Upgrade
1,Market Cap Growth,142.68%,142.68%,48.94%,26.41%,16.00%,2.63%,-10.47%,-23.33%,-30.25%,-35.04%,-15.30%,13.79%,3.69%,16.77%,59.31%,39.76%,21.35%,79.67%,14.23%,57.94%,127.59%,Upgrade
2,Enterprise Value,1299246,245419,138207,92453,78979,99053,116137,116182,100078,108650,133451,149338,142958,174287,158975,131979,140876,150156,114484,99836,122103,Upgrade
3,Last Close Price,26900.00,7341.34,4757.60,3888.42,3110.74,3076.04,3194.34,3076.04,2681.67,2997.16,3628.14,4079.62,3909.64,4691.57,4283.60,3463.82,3642.98,3881.87,2410.97,2300.12,3380.90,Upgrade
4,PE Ratio,18.34,4.24,2.56,2.11,1.74,3.74,4.00,4.27,3.74,4.89,7.19,6.86,6.31,8.21,7.90,8.38,9.89,10.32,7.03,7.26,7.13,Upgrade
5,PS Ratio,7.21,1.93,1.11,0.92,0.70,0.89,1.02,1.04,0.98,1.27,1.69,1.65,1.59,1.72,1.37,1.06,0.94,0.97,0.64,0.65,0.84,Upgrade
6,PB Ratio,2.30,1.07,0.70,0.59,0.48,0.59,0.64,0.65,0.57,0.68,0.86,1.01,0.97,1.21,1.17,0.98,1.06,-,0.79,0.78,0.88,Upgrade
7,P/TBV Ratio,1.07,1.07,0.70,0.59,0.48,0.59,0.64,0.65,0.57,0.68,0.86,1.01,0.97,1.21,1.17,0.98,1.06,-,0.79,0.78,0.88,Upgrade
8,P/FCF Ratio,-,-,-,-,-,3.13,9.72,3781.19,-,-,-,8.32,-,-,83.93,-,-,-,19.59,-4.87,-4.14,Upgrade
9,P/OCF Ratio,-,-,-,-,-,3.11,9.03,119.25,-,-,-,7.96,12.55,-,18.47,-,-,-,2.13,3.75,7.05,Upgrade
10,EV/Sales Ratio,8.10,1.66,0.84,0.57,0.46,0.75,0.97,1.03,0.96,1.20,1.65,1.61,1.55,1.70,1.36,1.04,0.94,0.96,0.73,0.67,0.88,Upgrade
11,EV/EBITDA Ratio,14.85,2.74,1.47,0.98,0.86,2.15,2.59,2.83,2.45,2.98,4.36,4.31,4.01,5.31,5.14,5.29,6.20,6.66,5.02,4.62,4.93,Upgrade
12,EV/EBIT Ratio,15.89,2.97,1.58,1.06,0.93,2.51,3.03,3.37,2.91,3.66,5.53,5.25,4.83,6.42,6.18,6.54,7.53,7.86,5.93,5.47,5.70,Upgrade
13,EV/FCF Ratio,-96.83,-,-,-,-,2.64,9.26,3741.89,-,-,-,8.11,-,-,82.99,-,-,-,22.22,-5.05,-4.33,Upgrade
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.08,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.82,0.39,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.71,-0.35,Upgrade
17,Asset Turnover,0.31,0.42,0.27,1.34,0.74,0.50,0.56,0.90,0.59,-,-,0.71,-,-,0.48,-,-,0.87,0.99,1.11,Upgrade,
18,Inventory Turnover,1.83,1.48,5.52,3.28,9.22,6.42,2.58,3.73,4.04,2.09,-,-,4.53,-,-,-,-,-,6.27,14.14,29.82,Upgrade
19,Quick Ratio,2.79,2.79,12.33,10.80,5.84,5.78,2.61,5.15,2.64,1.00,3.91,-,3.67,3.48,-,1.81,2.03,-,0.54,0.37,1.40,Upgrade
20,Current Ratio,4.39,4.39,15.16,13.08,6.39,6.73,4.19,9.14,5.77,2.57,8.26,-,6.65,5.94,-,2.17,2.17,-,1.05,0.75,1.90,Upgrade
21,Return on Equity (ROE),10.34%,13.13%,8.36%,83.77%,21.54%,17.36%,6.91%,22.44%,23.44%,-,7.97%,15.57%,-,24.56%,11.64%,-,-,13.09%,6.82%,13.01%,Upgrade,
22,Return on Assets (ROA),7.45%,9.46%,6.15%,59.92%,15.75%,13.08%,5.17%,16.31%,17.00%,-,-,12.14%,-,-,8.37%,-,-,6.99%,5.15%,8.78%,Upgrade,
