,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5880,5764,6188,3524,5617,5582,11033,13493,12287,-,-
1,Market Cap Growth,63.58%,63.58%,10.17%,-36.88%,-49.09%,-58.63%,-10.20%,-,-,-,-
2,Enterprise Value,4645,4965,5456,2882,5293,4928,9741,12058,12263,-,-
3,Last Close Price,5.16,4.96,5.12,2.84,4.53,4.50,8.67,10.60,9.90,-,-
4,PE Ratio,8.08,8.23,10.22,521.02,-,28.35,34.02,27.05,28.96,-,-
5,Forward PE,7.77,7.72,10.42,8.75,11.54,11.00,15.73,21.77,-,-,-
6,PS Ratio,1.20,1.22,1.35,0.83,1.47,1.49,3.11,4.15,4.54,-,-
7,PB Ratio,2.25,2.20,2.42,1.46,2.60,2.30,4.50,5.74,6.09,-,-
8,P/TBV Ratio,2.20,2.20,2.42,1.46,2.60,2.31,4.50,5.75,6.10,-,-
9,P/FCF Ratio,5.14,5.04,7.64,7.08,-432.38,-,-,-,-,-,-
10,P/OCF Ratio,4.90,4.90,7.47,6.81,556.25,-,-,-,-,-,-
11,EV/Sales Ratio,0.98,1.05,1.19,0.68,1.38,1.31,2.75,3.71,4.53,-,-
12,EV/EBITDA Ratio,4.97,5.50,7.41,265.56,-,15.27,21.81,21.19,23.67,-,-
13,EV/EBIT Ratio,5.29,5.63,7.62,-376.07,-,15.93,22.32,21.46,23.92,-,-
14,EV/FCF Ratio,4.06,4.34,6.74,5.79,-407.48,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.12,0.07,0.07,0.17,0.15,0.09,0.06,0.53,2.17
16,Debt / FCF Ratio,0.17,0.17,0.37,0.32,-12.41,-,-,-,-,0.57,-15.93
17,Return on Capital Employed (ROCE),32.38%,32.38%,27.22%,-0.31%,-,12.24%,17.06%,22.99%,24.28%,72.53%,32.79%
18,Earnings Yield,11.91%,12.15%,9.78%,0.19%,-2.26%,3.53%,2.94%,3.70%,3.45%,-,-
19,FCF Yield,19.45%,19.84%,13.09%,14.12%,-0.23%,-6.91%,-3.58%,-2.94%,0.55%,-,-
20,Dividend Yield,4.76%,4.96%,4.12%,1.90%,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,3.07%,3.95%,2.20%,0.02%,-3.42%,3.33%,-33.33%,-46.31%,-,-,-
22,Total Shareholder Return,7.83%,8.91%,6.32%,1.92%,-3.42%,3.33%,-33.33%,-46.31%,-,-,-
