,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,234,27,55,86,508,684,1104,966,883,1490,846
1,Market Cap Growth,-94.74%,-68.36%,-89.12%,-87.37%,-54.00%,-29.14%,25.00%,-35.19%,4.35%,43.36%,61.40%
2,Enterprise Value,302,151,216,233,648,908,1196,1022,865,1413,763
3,Last Close Price,0.33,0.19,0.37,0.58,4.41,5.94,11.49,10.06,9.20,15.52,8.81
4,PE Ratio,-,-,-,-,-,-,186.38,-,46.95,-,99.02
5,PS Ratio,0.14,0.19,-,0.52,-,2.36,3.23,2.66,3.52,11.94,5.69
6,PB Ratio,0.13,0.07,0.14,0.20,1.53,2.54,4.64,4.51,3.78,7.65,4.17
7,P/TBV Ratio,0.07,0.07,0.14,0.21,1.57,2.54,4.64,4.52,3.78,7.66,4.18
8,P/FCF Ratio,3.09,0.66,-,-,-,-,-,-,-,29.75,-
9,P/OCF Ratio,0.35,0.64,-,-,-,-,-,-,-,27.58,9703.61
10,EV/Sales Ratio,0.92,1.04,-,1.40,-,3.13,3.50,2.81,3.44,11.32,5.13
11,EV/EBITDA Ratio,-,-,-,-,-,-,38.81,-,16.49,-,45.43
12,EV/EBIT Ratio,-,-,-,-,-,-,76.20,-,25.98,-,132.80
13,EV/FCF Ratio,4.00,3.67,-,-,-,-,-,-,-,28.20,-
14,Debt / Equity Ratio,0.31,0.31,0.38,0.46,0.58,0.91,1.19,0.89,0.57,0.48,0.04
15,Debt / FCF Ratio,1.66,3.05,-,-,-,-,-,-,-,1.88,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,3.97%,-,10.83%,-,2.73%
17,Earnings Yield,-34.30%,-211.59%,-,-55.09%,-,-4.65%,0.54%,1.72%,2.13%,-0.64%,1.01%
18,FCF Yield,32.36%,150.93%,-,-120.76%,-,-14.76%,-11.42%,-20.77%,-12.60%,3.36%,-0.18%
19,Buyback Yield / Dilution,-26.32%,-12.85%,-,-22.65%,-,-11.26%,-,-,-,-,-32.13%
20,Total Shareholder Return,-26.32%,-12.85%,-,-22.65%,-,-11.26%,-,-,-,-,-32.13%
