,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1499848,1431702,1521082,1240938,1408189,1889348,1447883,1696978,1639323,1441416,1227400,802643,733171,554141,544269,265837,1005501,700555,636976,833614,Upgrade
1,Revenue Growth (YoY),6.51%,-24.22%,5.06%,-26.87%,-14.10%,31.08%,17.96%,111.42%,123.59%,160.12%,125.51%,201.93%,-27.08%,-20.90%,-14.55%,-68.11%,68.76%,25.76%,24.32%,103.21%,Upgrade
2,Cost of Revenue,913073,822336,1038727,742651,1261961,1370659,1271710,1244611,1212198,1160602,1051747,512833,511005,377624,488407,213413,1159545,756718,503708,550945,Upgrade
3,Gross Profit,586775,609366,482355,498287,146228,518688,176173,452366,427125,280814,175653,289810,222166,176518,55862,52425,-154044,-56163,133268,282669,Upgrade
4,"Selling, General & Admin",164714,104061,134774,153734,115735,99000,92133,95796,-162407,-122472,-860036,46960,182499,-418303,-193738,384550,330308,228523,1460278,186715,Upgrade
5,Operating Expenses,164714,104061,134774,153734,115735,99000,92133,95796,-162407,-122472,-860036,46960,182499,-418303,-193738,384550,330308,228523,1460278,186715,Upgrade
6,Operating Income,422062,505305,347581,344553,30493,419688,84040,356570,589532,403286,1035689,242850,39667,594820,249600,-332125,-484352,-284686,-1327010,95954,Upgrade
7,Interest Expense,-259827,-144399,-159256,-167705,-,-199099,-274531,-207571,-240020,-166851,-223625,-162681,-440620,-166497,-166720,-199801,-553340,-216652,-222778,-267384,Upgrade
8,Interest & Investment Income,53376,50062,89645,70601,1023453,34939,115356,124693,21681,96082,94773,131391,127580,131185,129076,105540,103753,120984,189692,154533,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-,-,-11069,-,-,-,-,-,-,-,-7610,1790,4882,2292,-609.06,2203,Upgrade
10,Currency Exchange Gain (Loss),4405,-9342,-17364,-5556,-5019,-32525,-62019,15877,-29218,-42670,-133493,-17873,-57346,-38524,-4757,-3387,-76805,-27704,15439,-42511,Upgrade
11,Other Non Operating Income (Expenses),-151486,-49530,8026,-13855,-270176,-17156,-28975,14248,-25072,-4806,-31676,-14629,-115373,-14612,-164320,-62696,18219,-62716,18716,-11735,Upgrade
12,EBT Excluding Unusual Items,68530,352096,268632,228038,778750,205847,-177199,303818,316903,285041,741667,179058,-446092,506372,35270,-490680,-987643,-468483,-1326551,-68940,Upgrade
13,Gain (Loss) on Sale of Investments,114219,-,17350,-1592,311993,-,-9422,-,-92791,64905,-518006,60049,488461,-486131,8038,232715,660318,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-60.6,-1188,-26740,-,-281432,136026,-16052,-,-9798,204.35,339.91,645.92,35897,-,-9857,9857,-59314,-101282,-253.31,688.52,Upgrade
15,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-14456,-,-,-,-,-,-,-,Upgrade
16,Other Unusual Items,-,-,-,-,270273,-,270273,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Pretax Income,182688,350908,259242,226445,1079585,341874,67601,303818,214314,350150,224001,239753,63809,20241,33450,-248108,-386638,-569766,-1326804,-68252,Upgrade
18,Income Tax Expense,-22773,-,-14506,-,7636,17326,-14214,441.92,-17976,-19393,-40849,-18239,-33743,-1502,-43617,-179351,31903,-1741,2696,-978.02,Upgrade
19,Earnings From Continuing Operations,205462,350908,273749,226445,1071948,324547,81815,303376,232290,369543,264851,257991,97553,21743,77067,-68757,-418542,-568024,-1329500,-67274,Upgrade
20,Minority Interest in Earnings,-4335,-19309,-11081,-11563,-110222,-4593,9391,-12291,5965,-8801,14871,-7965,63554,1964,-436.72,10343,505844,380621,232195,9019,Upgrade
21,Net Income,201127,331598,262667,214882,961727,319954,91205,291084,238255,360742,279722,250027,161106,23707,76630,-58414,87302,-187403,-1097305,-58255,Upgrade
22,Net Income to Common,201127,331598,262667,214882,961727,319954,91205,291084,238255,360742,279722,250027,161106,23707,76630,-58414,87302,-187403,-1097305,-58255,Upgrade
23,Net Income Growth,-79.09%,3.64%,188.00%,-26.18%,303.65%,-11.31%,-67.39%,16.42%,47.89%,1421.65%,265.03%,-,84.54%,-,-,-,-,-,-,-,Upgrade
24,Shares Outstanding (Basic),1281,1151,1022,926,927,927,928,927,996,927,929,926,930,912,928,927,928,928,928,925,Upgrade
25,Shares Outstanding (Diluted),1281,1151,1022,926,927,927,928,927,996,927,929,926,930,912,928,927,928,928,928,925,Upgrade
26,Shares Change (YoY),38.17%,24.15%,10.20%,-0.09%,-6.88%,0.01%,-0.16%,0.11%,7.10%,1.70%,0.18%,-0.13%,0.21%,-1.72%,0.00%,0.27%,52.26%,0.07%,1.04%,-1.30%,Upgrade
27,EPS (Basic),157.00,288.00,256.92,232.00,1037.29,345.00,98.31,314.00,239.30,389.00,301.00,270.00,173.30,26.00,82.61,-63.00,94.11,-202.00,-1183.00,-63.00,Upgrade
28,EPS (Diluted),157.00,288.00,256.92,232.00,1037.06,345.00,98.09,314.00,239.20,389.00,301.00,270.00,173.30,26.00,82.61,-63.00,94.07,-202.00,-1183.00,-63.00,Upgrade
29,EPS Growth,-84.86%,-16.52%,161.92%,-26.11%,333.56%,-11.31%,-67.41%,16.30%,38.02%,1396.15%,264.36%,-,84.24%,-,-,-,-,-,-,-,Upgrade
30,Free Cash Flow,-,-119303,-548855,-251386,-467195,199652,-229375,-16150,362609,-606070,32160,-295685,-3357652,2625950,-812419,-311837,-1555697,321126,-2670629,-194250,Upgrade
31,Free Cash Flow Per Share,-,-103.62,-536.84,-271.41,-503.90,215.28,-247.23,-17.42,364.20,-653.55,34.61,-319.31,-3611.85,2879.91,-875.83,-336.32,-1676.94,346.14,-2879.19,-210.07,Upgrade
32,Gross Margin,39.12%,42.56%,31.71%,40.15%,10.38%,27.45%,12.17%,26.66%,26.05%,19.48%,14.31%,36.11%,30.30%,31.85%,10.26%,19.72%,-15.32%,-8.02%,20.92%,33.91%,Upgrade
33,Operating Margin,28.14%,35.29%,22.85%,27.77%,2.17%,22.21%,5.80%,21.01%,35.96%,27.98%,84.38%,30.26%,5.41%,107.34%,45.86%,-124.94%,-48.17%,-40.64%,-208.33%,11.51%,Upgrade
34,Profit Margin,13.41%,23.16%,17.27%,17.32%,68.30%,16.93%,6.30%,17.15%,14.53%,25.03%,22.79%,31.15%,21.97%,4.28%,14.08%,-21.97%,8.68%,-26.75%,-172.27%,-6.99%,Upgrade
35,Free Cash Flow Margin,-,-8.33%,-36.08%,-20.26%,-33.18%,10.57%,-15.84%,-0.95%,22.12%,-42.05%,2.62%,-36.84%,-457.96%,473.88%,-149.27%,-117.30%,-154.72%,45.84%,-419.27%,-23.30%,Upgrade
36,EBITDA,501560,584804,628270,427551,260934,538614,239963,430292,647641,501375,1128844,331066,399242,598470,376176,48305,-193146,-62843,-1171031,390115,Upgrade
37,EBITDA Margin,33.44%,40.85%,41.30%,34.45%,18.53%,28.51%,16.57%,25.36%,39.51%,34.78%,91.97%,41.25%,54.45%,108.00%,69.12%,18.17%,-19.21%,-8.97%,-183.84%,46.80%,Upgrade
38,D&A For EBITDA,79499,79499,280689,82997,230441,118926,155923,73722,58109,98089,93155,88216,359575,3650,126576,380430,291206,221844,155979,294161,Upgrade
39,EBIT,422062,505305,347581,344553,30493,419688,84040,356570,589532,403286,1035689,242850,39667,594820,249600,-332125,-484352,-284686,-1327010,95954,Upgrade
40,EBIT Margin,28.14%,35.29%,22.85%,27.77%,2.17%,22.21%,5.80%,21.01%,35.96%,27.98%,84.38%,30.26%,5.41%,107.34%,45.86%,-124.94%,-48.17%,-40.64%,-208.33%,11.51%,Upgrade
41,Effective Tax Rate,-,-,-,-,0.71%,5.07%,-,0.15%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
42,Revenue as Reported,1499848,1431702,1521082,1240938,6442397,1889348,1447883,1696978,5110782,-,1227400,-,733171,554141,544269,265837,1005501,700555,636976,833614,Upgrade
