,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,328.57,407.8,534.82,612.48,439.28,521.02,618.35,851.75,733.13,760.5,894.43,1274,61.06,73.08,-,190.72,132.59
1,Trading Asset Securities,-,-,-,-,-,30,-,-,-,50.04,-,50.01,-,-,-,-,-,-
2,Cash & Short-Term Investments,328.57,328.57,407.8,534.82,612.48,469.28,521.02,618.35,851.75,783.17,760.5,944.44,1274,61.06,73.08,190.72,190.72,132.59
3,Cash Growth,-46.35%,-29.98%,-21.73%,-13.51%,-28.09%,-40.08%,-31.49%,-34.53%,-33.12%,1182.52%,940.58%,395.19%,567.74%,-53.94%,-,-,-,-
4,Accounts Receivable,-,915.09,854.3,784.75,775.05,803.18,742.16,690.43,677.39,579.13,520.43,459.48,458.07,420.47,367.75,-,331.13,215.83
5,Other Receivables,-,32.66,32.5,34.22,37.98,44.51,39.21,42.93,49.13,49.65,48.83,39.8,36.4,40.43,30.72,-,42.05,2.46
6,Receivables,-,947.75,886.8,818.97,813.03,847.69,781.37,733.36,726.52,628.78,569.26,499.29,494.48,460.9,398.46,-,373.18,218.3
7,Inventory,-,617.12,617.81,612.61,591.32,564.76,565.88,557.17,529.01,500.03,485.75,464.36,400.78,386.55,353.41,-,271.02,218.71
8,Other Current Assets,-,199.03,228.29,202.29,196.65,188.6,205.08,205.82,153.37,156.1,185.83,116.94,100.24,108.44,94.83,-,74.64,104.46
9,Total Current Assets,-,2092,2141,2169,2213,2070,2073,2115,2261,2068,2001,2025,2269,1017,919.79,-,909.56,674.05
10,"Property, Plant & Equipment",-,37.85,34.35,39.8,31.75,32.85,34.52,34.12,30.88,34.08,36.64,39.25,20.82,19.37,21.03,-,21.22,6.98
11,Long-Term Investments,-,190.25,186.44,194.17,143.6,109.43,85.93,55.94,55.94,55.94,108,20.1,70.1,20.1,24.94,-,24.93,25.04
12,Other Intangible Assets,-,16.69,17.37,18.21,19.21,18.96,20.04,20.55,21.64,22.85,23.61,17.16,18.15,12.72,13.02,-,11.87,6.43
13,Long-Term Deferred Tax Assets,-,148.36,142.58,131.3,126.57,124.37,120.8,107.68,98.69,84.88,77.13,72.98,66.34,55.66,52.01,-,42.54,48.59
14,Long-Term Deferred Charges,-,166.58,149.72,130.86,103.23,70.89,46.28,28.39,19.5,14.3,9.37,5.54,1.7,0.49,0.54,-,-,0
15,Other Long-Term Assets,-,9.06,11.56,9.07,9.06,34.35,45.85,44.74,39.74,53.37,0.29,50.29,0.32,3.85,3.84,-,-,-
