,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Mar '20 Mar 31, 2020"
0,Market Capitalization,5175,3412,3007,2807,3800,4626,4414,5773,6771,4041,2807,3676,3669,5041,-,-,-,-,-
1,Market Cap Growth,-26.25%,-26.25%,-31.87%,-51.37%,-43.89%,14.48%,57.23%,57.05%,84.55%,-19.83%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5135,3372,2908,2559,3421,4248,3949,5213,6080,3350,2127,2815,3870,5242,-,-,-,-,-
3,Last Close Price,37.61,24.80,22.02,20.36,27.56,33.42,31.90,41.87,49.11,29.31,20.36,26.66,26.61,36.56,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,108.86,52.18,-,-,59.41,38.11,72.16,-,101.62,-,-,-,-,-
5,Forward PE,40.66,29.44,24.92,25.01,26.20,31.95,33.23,43.54,49.61,34.43,20.75,29.27,-,-,-,-,-,-,-
6,PS Ratio,8.61,5.68,4.75,3.99,5.35,6.65,5.52,7.63,9.32,5.64,3.88,5.30,5.42,7.73,-,-,-,-,-
7,PB Ratio,2.90,1.91,1.69,1.56,2.09,2.51,2.38,3.18,3.73,2.19,1.57,2.10,2.09,2.81,-,-,-,-,-
8,P/TBV Ratio,1.93,1.93,1.70,1.57,2.11,2.55,2.43,3.25,3.82,2.26,1.63,2.18,2.17,2.94,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-22.18,-,-,-,-,-,-,-,-23.55,-,-,-,-,-
10,P/OCF Ratio,-,-,-38.11,-,-,-32.33,-,-,-,-15.59,-,-,-,-25.52,-,-,-,-,-
11,EV/Sales Ratio,8.55,5.61,4.59,3.64,4.82,6.11,4.94,6.89,8.37,4.67,2.94,4.06,5.72,8.04,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-14684.55,180.61,-,-,1324.14,93.14,-,-,219.31,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-1112.48,215.78,-,-,-3091.92,110.61,-,-,256.42,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-20.36,-,-,-,-,-,-,-,-24.49,-,-,-,-,-
15,Debt / Equity Ratio,0.16,0.16,0.16,0.17,0.16,0.11,0.04,0.02,0.02,0.06,0.03,0.02,0.02,0.10,0.41,0.23,0.21,0.21,0.07
16,Debt / EBITDA Ratio,-,-,-,-,-,1.79,0.37,-,-,0.54,0.50,-,-,0.70,4.74,-,-,0.34,-
17,Debt / FCF Ratio,-,-,-,-,-,-0.94,-,-,-,-,-,-,-,-0.80,-,-,-,10.52,-
18,Asset Turnover,-,0.26,0.26,0.18,0.25,0.40,0.31,0.17,0.43,0.35,0.27,0.17,0.60,0.64,-,-,-,-,
19,Inventory Turnover,-,-,0.61,0.59,0.43,0.52,0.79,0.71,0.44,1.00,0.81,0.61,0.52,1.25,1.07,-,-,-,-
20,Quick Ratio,-,-,1.51,1.53,1.62,1.82,2.24,2.22,2.41,2.43,2.75,2.84,3.33,2.81,0.86,0.91,-,1.24,1.27
21,Current Ratio,-,-,2.48,2.53,2.60,2.82,3.53,3.53,3.78,3.48,4.02,4.28,4.66,3.60,1.67,1.78,-,2.00,2.43
22,Return on Equity (ROE),-21.98%,-3.34%,-4.65%,-3.50%,4.15%,8.77%,-1.70%,-6.85%,13.16%,4.82%,-0.73%,-8.34%,24.12%,0.79%,-9.46%,-19.13%,-,-,
23,Return on Assets (ROA),-,-0.42%,-2.68%,-1.45%,1.16%,5.05%,-2.53%,-4.12%,3.50%,2.76%,-1.30%,-5.20%,7.59%,2.24%,-,-,-,-,
24,Return on Capital (ROIC),-18.44%,-0.53%,-3.41%,-1.88%,1.50%,6.54%,-3.30%,-5.35%,4.49%,3.49%,-1.63%,-6.48%,10.24%,3.79%,-5.11%,-12.36%,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-0.20%,0.98%,-,-,-0.06%,1.06%,-,-,1.13%,8.63%,-,-,5.57%,-
26,Earnings Yield,-2.90%,-4.40%,-0.56%,1.36%,1.40%,0.92%,1.92%,1.22%,1.08%,1.68%,2.62%,1.39%,1.14%,0.98%,-,-,-,-,-
27,FCF Yield,-,-5.68%,-6.02%,-4.06%,-4.51%,-6.69%,-5.49%,-4.77%,-8.15%,-11.15%,-9.35%,-7.50%,-4.25%,-,-,-,-,-,
28,Payout Ratio,0.00%,-,-,-,-,5.32%,0.47%,-,-,0.10%,0.05%,-,-,2.99%,30.52%,-,-,0.97%,-
29,Buyback Yield / Dilution,-0.37%,-4.19%,4.01%,-9.31%,7.03%,-17.50%,16.03%,1.18%,-1.68%,-6.67%,-72.65%,-22.65%,-38.12%,-10.04%,3.18%,-,-,-,-
30,Total Shareholder Return,-0.37%,-4.19%,4.01%,-9.31%,7.03%,-17.50%,16.03%,1.18%,-1.68%,-6.67%,-72.65%,-22.65%,-38.12%,-10.04%,3.18%,-,-,-,-
