,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Mar '20 Mar 31, 2020"
0,Revenue,124.97,175.27,177.92,122.56,157.46,245.76,184.45,107.5,261.63,203.4,153.89,98.03,267.71,174.19,136.86,73.19,233.34,25.66
1,Revenue Growth (YoY),-20.63%,-28.68%,-3.54%,14.00%,-39.81%,20.82%,19.86%,9.67%,-2.27%,16.77%,12.45%,33.94%,14.73%,578.75%,-,-,-,-
2,Cost of Revenue,-250.78,94.63,91.38,64.77,74.55,111.03,99.88,59.18,128.17,99.22,72.71,55.86,123.28,99.15,66.67,37.08,99.62,18.18
3,Gross Profit,375.75,80.65,86.54,57.79,82.91,134.73,84.57,48.32,133.46,104.19,81.18,42.17,144.42,75.04,70.18,36.11,133.71,7.49
4,"Selling, General & Admin",-138.26,34.73,57.72,45.82,46.17,44.84,63.55,44.72,51.21,41.47,50.88,47.78,53.58,38.27,48.65,37.22,43.44,29.53
5,Research & Development,-116.61,46,38.53,32.08,6.75,37.33,45.27,44.69,11.69,46.07,41.26,48.01,20.61,36.7,29.58,30.15,12.73,25.05
6,Other Operating Expenses,810.12,-6.03,2.78,-4.24,-0.9,-2.48,-6.46,-3.52,6.41,-7.24,-4.8,-3.11,-5.95,-5.6,-1.94,-3.82,-8.36,-2.04
7,Operating Expenses,528.9,85.11,115.3,73.32,71.03,85.36,109,88.96,99.46,78.89,92.88,90.84,90.11,65.35,82.68,67.17,55.06,55.21
8,Operating Income,-153.14,-4.46,-28.76,-15.54,11.88,49.36,-24.43,-40.64,34,25.29,-11.7,-48.68,54.31,9.7,-12.5,-31.07,78.66,-47.72
9,Interest Expense,-3.41,-2.19,-2.84,-1.89,-1.35,-0.44,-0.36,-0.59,-0.5,-0.32,-0.37,-0.49,-2.18,-1.96,-1.04,-0.92,-0.71,-0.44
10,Interest & Investment Income,6.92,0.87,0.87,1.67,5.07,0.99,1.37,2.65,7.22,2.45,5.21,2.51,1.29,0.06,0.08,0.23,0.35,0.11
11,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.03,0.03,-,-
12,Currency Exchange Gain (Loss),-,-0,0,-,0,-,-,-,0,-0,0,-,-0.02,0.02,-0.02,-,0,0
13,Other Non Operating Income (Expenses),-0.36,1.31,-1.83,-0.15,-1.36,-2.22,2.08,-0.02,0.05,0.97,-2.32,-0.05,-2.18,0.71,-1.01,-0.07,-0.95,-0.02
14,EBT Excluding Unusual Items,-150,-4.47,-32.56,-15.9,14.24,47.69,-21.34,-38.6,40.76,28.39,-9.18,-46.71,51.22,8.52,-14.52,-31.79,77.34,-48.07
15,Gain (Loss) on Sale of Investments,11.93,-3.92,-5.04,-2.98,-,-,-,-,1.12,-1.15,0.01,0.01,-,-0.04,-,-,-0,-0.06
16,Gain (Loss) on Sale of Assets,0.04,-0.04,0.02,-0.02,-0,0,-,-,-0,-,-0,0,-,-,0.04,0,0.02,-
17,Asset Writedown,7.7,-7.66,-0.13,0.09,6.87,-6.89,1.59,-1.63,11.57,-11.58,-1.52,1.45,9.76,-9.81,-1.52,1.52,-0.01,-0.99
18,Other Unusual Items,0.98,-5.55,4.88,-0.31,4.77,-,-,-,14.18,-,-,-,13.05,-,-,-,0.84,-0.38
19,Pretax Income,-129.35,-21.65,-32.83,-19.11,25.87,40.8,-19.75,-40.23,67.63,15.67,-10.68,-45.24,74.03,-1.33,-16,-30.27,78.19,-49.5
20,Income Tax Expense,-31.34,-6.7,-11.81,-3.11,6.7,0.63,-12.06,-8.88,7.96,-5.64,-7.47,-8.21,5.29,-2.29,-4.11,-5.35,12.06,-10.54
21,Earnings From Continuing Operations,-98.01,-14.95,-21.02,-16,19.16,40.17,-7.7,-31.35,59.67,21.3,-3.21,-37.03,68.74,0.96,-11.89,-24.92,66.13,-38.96
