,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1049,942.5,694.66,688.81,1094,966.64,755.1,824.81,1120,958.6,663.33,675.43,984.13,695.06,695.06
1,Other Revenue,-26.07,26.07,-,45.35,-21.54,21.54,-,35.37,-15.19,15.19,-,42.41,-14.94,7.47,7.47
2,Revenue,1023,968.57,694.66,734.16,1073,988.18,755.1,860.18,1105,973.79,663.33,717.84,969.19,702.53,702.53
3,Revenue Growth (YoY),-4.61%,-1.98%,-8.00%,-14.65%,-2.95%,1.48%,13.84%,19.83%,14.04%,38.61%,-5.58%,-,-,-,-
4,Cost of Revenue,731.7,700.97,549.52,620.89,758.9,761.85,613.96,767.08,904.15,803.56,554.76,603.06,734.17,543.62,543.62
5,Gross Profit,291.58,267.6,145.14,113.27,313.81,226.32,141.15,93.1,201.15,170.23,108.56,114.79,235.01,158.91,158.91
6,"Selling, General & Admin",100.46,92.69,80.57,118.59,100.4,86.19,83.08,82.5,80.05,71.64,69.23,74.73,63.67,64.85,64.85
7,Research & Development,4.25,3.41,3.36,1.83,2.33,1.85,2.16,2.67,2.2,1.77,1.81,1.49,1.56,2.33,2.33
8,Other Operating Expenses,9.44,8.52,7.04,8.08,-2.66,-22.73,-0.23,34.11,-0.89,1.67,-3.87,53.74,-1.55,-10.11,-10.11
9,Operating Expenses,115.39,105.08,95.91,124.31,103.69,63.92,86.66,118.5,81.89,75.1,68.31,128.69,65.63,57.93,57.93
10,Operating Income,176.19,162.52,49.23,-11.04,210.11,162.41,54.49,-25.4,119.26,95.13,40.25,-13.9,169.39,100.99,100.99
11,Interest Expense,-2.71,-3.32,-,-0.51,-1.1,-1.14,-,-0.75,-0.31,-2.12,-,-2.78,-,-1.53,-1.53
12,Interest & Investment Income,1.83,1.69,1.7,1.12,2.51,4.22,0.28,2.96,1.22,2.21,-,1.83,0.61,1.77,1.77
13,Currency Exchange Gain (Loss),0.23,-0.23,-,0.14,0.02,-0.02,-,-,-,-,-,-0,-0.01,0,0
14,Other Non Operating Income (Expenses),4.21,-2.18,-0.34,-0.76,-3.61,-0.43,0.65,-0.59,0.89,-2.46,0.13,-3.42,1.52,-0.34,-0.34
