,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,481.93,482.12,332.19,425.78,428.43,536.03,346.89,529.52,981.58,309.77,-,244.11,-,-,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,7.95,-,11.44,-,-,-
2,Trading Asset Securities,971.7,797.28,898.36,795.99,784.61,478.18,711.36,502.74,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1454,1279,1231,1222,1213,1014,1058,1032,981.58,317.71,255.55,255.55,-,-,403.85
4,Cash Growth,19.83%,26.15%,16.28%,18.36%,23.58%,219.22%,314.11%,303.93%,-,-,-36.72%,-,-,-,-
5,Accounts Receivable,150.48,166.59,169.68,73.01,165.78,82.95,67.48,81.64,76.89,86.69,-,64.68,-,-,-
6,Other Receivables,12.35,17.04,16.65,9.59,13.21,13.63,7.66,9.28,8.04,9.19,-,5.4,-,-,-
7,Receivables,162.83,183.63,186.34,82.61,178.99,96.58,75.14,90.92,84.93,95.88,-,70.08,-,-,-
8,Inventory,194.56,129.96,133.5,143.31,168.56,153.51,179.61,162.95,206.89,149.29,-,128.55,-,-,-
9,Other Current Assets,201.56,207.94,235.32,142.87,130.12,130.87,172.26,142.05,119.82,208.73,-,168.49,-,-,-
10,Total Current Assets,2013,1801,1786,1591,1691,1395,1485,1428,1393,771.61,-,622.67,-,-,-
11,"Property, Plant & Equipment",1081,1078,1039,1052,1027,1035,1053,1071,1088,1094,-,1097,-,-,-
12,Long-Term Investments,55.9,56.39,55.25,48.68,52.02,31.62,30.41,31.08,28.57,26.57,-,25.45,-,-,-
13,Goodwill,-,-,-,-,-,-,-,-,0.09,0.09,-,0.26,-,-,-
14,Other Intangible Assets,102.04,102.99,103.97,104.72,91.23,91.96,91.7,92.6,94.12,94.97,-,96.82,-,-,-
15,Long-Term Accounts Receivable,53.62,55.07,28.38,29.18,29.97,30.75,31.48,32.29,33.79,33.79,-,35.26,-,-,-
16,Long-Term Deferred Tax Assets,75.89,67.42,67.7,66.33,58.49,56.93,67.14,59.59,70.06,70.01,-,61.97,-,-,-
