,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,8132,7850,6346,7910,8891,9286,10354,11466,12966,13159,-,-,-,-,-,-
1,Market Cap Growth,-15.47%,-15.47%,-38.70%,-31.01%,-31.43%,-29.43%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7218,7027,5373,6756,7736,8310,9335,10527,12027,12887,-,-,-,-,-,-
3,Last Close Price,19.63,18.95,15.02,18.05,20.29,21.19,23.63,25.40,28.72,29.15,-,-,-,-,-,-
4,PE Ratio,23.89,23.15,18.13,23.21,-,27.66,36.24,48.05,-,50.30,-,-,-,-,-,-
5,Forward PE,21.38,20.05,16.10,17.59,20.47,23.22,26.25,31.25,35.34,-,-,-,-,-,-,-
6,PS Ratio,2.37,2.29,1.83,2.27,2.50,2.53,2.79,3.10,3.60,3.80,-,-,-,-,-,-
7,PB Ratio,4.07,3.91,3.19,3.69,4.27,4.49,5.46,5.54,6.43,6.51,-,-,-,-,-,-
8,P/TBV Ratio,4.14,4.14,3.37,3.89,4.51,4.68,5.70,5.78,6.71,6.81,-,-,-,-,-,-
9,P/FCF Ratio,35.09,33.88,29.94,-,-,16.58,23.85,35.11,53.22,74.14,-,-,-,-,-,-
10,P/OCF Ratio,18.12,18.12,16.57,-,16.04,17.80,18.99,27.69,-,35.24,-,-,-,-,-,-
11,EV/Sales Ratio,2.11,2.05,1.55,1.94,2.18,2.26,2.52,2.85,3.34,3.72,-,-,-,-,-,-
12,EV/EBITDA Ratio,17.05,15.08,10.75,13.53,15.33,16.95,23.37,31.72,-,39.15,-,-,-,-,-,-
13,EV/EBIT Ratio,22.09,18.64,13.08,16.45,-,20.69,30.04,43.24,-,53.53,-,-,-,-,-,-
14,EV/FCF Ratio,31.15,30.33,25.35,-,-,14.83,21.50,32.23,49.36,72.61,-,-,-,-,-,-
15,Debt / Equity Ratio,0.26,0.26,0.23,0.12,0.05,0.03,0.03,0.02,0.03,0.02,0.04,0.11,0.11,-,-,0.11
16,Debt / EBITDA Ratio,1.25,0.67,0.59,0.88,1.46,0.07,0.06,0.16,3.26,0.09,0.10,0.51,2.12,-,-,0.25
17,Debt / FCF Ratio,2.29,2.29,2.12,-,-,0.11,0.11,0.15,0.21,0.28,0.27,-,0.67,-,-,2.36
18,Asset Turnover,1.25,1.23,0.93,1.00,1.52,1.45,1.09,1.25,1.81,-,-,-,-,-,-,
19,Inventory Turnover,14.34,18.04,21.28,15.88,15.93,18.85,18.30,14.34,16.59,20.31,-,-,-,-,-,-
20,Quick Ratio,1.40,1.40,1.55,1.84,2.08,1.91,1.90,2.15,2.11,1.95,0.72,-,0.53,-,-,-
21,Current Ratio,1.75,1.75,1.90,2.31,2.53,2.32,2.38,2.81,2.68,2.55,1.33,-,1.02,-,-,-
22,Return on Equity (ROE),30.62%,28.04%,10.18%,0.28%,32.77%,26.88%,8.61%,-1.41%,25.73%,27.38%,9.08%,-,-,-,-,
23,Return on Assets (ROA),13.40%,12.94%,4.10%,-0.94%,18.59%,14.87%,4.92%,-2.30%,12.22%,-,-,-,-,-,-,
24,Return on Capital (ROIC),17.70%,16.81%,5.36%,-1.27%,25.75%,19.99%,6.51%,-3.07%,17.25%,17.45%,7.52%,-,-,-,-,
25,Return on Capital Employed (ROCE),14.55%,16.78%,18.41%,17.61%,-,17.83%,14.90%,10.77%,-,10.83%,18.99%,-,-,-,-,-
26,Earnings Yield,4.17%,4.32%,5.52%,4.31%,3.73%,3.62%,2.76%,2.08%,1.71%,1.99%,-,-,-,-,-,-
27,FCF Yield,2.85%,2.95%,3.34%,3.43%,4.93%,6.03%,4.19%,2.85%,1.88%,1.35%,-,-,-,-,-,-
28,Dividend Yield,3.08%,-,7.32%,-,3.94%,-,-,-,2.61%,-,-,-,-,-,-,-
29,Payout Ratio,135.54%,83.71%,229.32%,4.42%,-,0.02%,228.94%,-,-,-,0.40%,2.47%,4.79%,-,176.44%,176.44%
30,Buyback Yield / Dilution,0.40%,-0.34%,-0.20%,-0.02%,2.11%,-14.04%,-11.36%,-11.34%,-15.21%,3.58%,-0.01%,0.02%,-,-,-,-
31,Total Shareholder Return,3.47%,-0.34%,7.13%,-0.02%,6.05%,-14.04%,-11.36%,-11.34%,-12.60%,3.58%,-0.01%,0.02%,-,-,-,-
