,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,59,93,86,108,133,129,191,216,307,336,340,Upgrade
1,Market Cap Growth,-13.46%,-13.46%,-35.31%,-16.13%,-30.43%,-40.38%,-37.84%,-35.80%,-9.76%,-11.96%,-66.67%,Upgrade
2,Enterprise Value,444,460,296,1463,1454,1628,3321,3225,2526,2451,2708,Upgrade
3,Last Close Price,0.14,0.23,0.21,0.26,0.32,0.31,0.46,0.52,0.74,0.81,0.82,Upgrade
4,PS Ratio,15.82,24.90,20.55,0.51,0.63,22.56,28.29,2.19,2.37,7.64,10.98,Upgrade
5,PB Ratio,0.04,0.07,0.07,0.06,0.05,0.04,0.05,0.05,0.07,0.07,0.08,Upgrade
6,P/TBV Ratio,0.07,0.07,0.06,0.06,0.05,0.04,0.05,0.05,0.07,0.08,0.08,Upgrade
7,P/FCF Ratio,-,-,-,1.11,3.99,-,-,-,-,-,0.41,Upgrade
8,P/OCF Ratio,-,-,-,1.11,3.95,-,-,-,-,-,0.41,Upgrade
9,EV/Sales Ratio,118.62,122.69,70.97,6.94,6.88,285.82,492.64,32.81,19.49,55.74,87.45,Upgrade
10,EV/FCF Ratio,-2.03,-,-,15.05,43.69,-,-,-,-,-,3.29,Upgrade
11,Debt / Equity Ratio,0.36,0.36,0.34,0.15,0.56,0.50,0.51,0.88,0.70,0.50,0.48,Upgrade
12,Debt / FCF Ratio,-,-,-,2.87,47.05,-,-,-,-,-,2.59,Upgrade
13,Earnings Yield,-1084.38%,-689.19%,-1630.63%,-1090.91%,-321.46%,-407.67%,-494.24%,-314.75%,-91.60%,-79.88%,-99.06%,Upgrade
14,FCF Yield,-368.75%,-234.36%,-187.57%,90.22%,25.08%,-84.45%,-128.94%,-375.76%,-406.72%,-99.87%,242.41%,Upgrade
15,Buyback Yield / Dilution,-,-,0.00%,0.00%,-,-,-,-,-,0.90%,Upgrade,
16,Total Shareholder Return,-,-,0.00%,0.00%,-,-,-,-,-,0.90%,Upgrade,
