,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q1 2019,Q3 2018,+8 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Sep '18 Sep 30, 2018",+8 Quarters
0,Market Capitalization,5833759,5880805,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
1,Enterprise Value,5916062,6002305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,PE Ratio,17.91,22.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,PS Ratio,6.83,7.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,PB Ratio,1.79,1.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,EV/Sales Ratio,6.92,7.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,EV/EBIT Ratio,15.93,20.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,Debt / Equity Ratio,0.07,0.15,0.07,0.07,0.09,0.15,0.15,-,0.28,0.37,0.37,0.37,0.47,0.50,0.50,0.50,0.64,0.64,0.64,-,0.91,Upgrade
8,Debt / EBITDA Ratio,0.37,-,0.37,0.32,1.37,1.27,0.48,-,1.25,1.54,1.76,1.77,2.97,2.76,1.79,1.94,4.59,14.09,-,-,2.01,Upgrade
9,Debt / FCF Ratio,0.82,-,-,-,0.90,1.41,-,-,1.96,2.50,2.60,3.39,4.11,7.70,-,20.76,-,-,-,-,7.18,Upgrade
10,Quick Ratio,2.35,1.49,-,2.35,1.30,-,1.77,-,0.63,-,0.50,0.50,0.58,-,0.41,0.41,-,0.18,0.28,-,0.75,Upgrade
11,Current Ratio,2.50,1.69,-,2.50,1.37,-,1.84,-,0.67,-,0.55,0.55,0.63,-,0.45,0.45,-,0.24,0.32,-,0.81,Upgrade
12,Asset Turnover,-,-,0.26,-,-,-,-,-,-,0.21,0.19,-,-,-,-,-,-,-,-,0.28,Upgrade,
13,Return on Equity (ROE),-,10.33%,13.16%,-2.95%,2.79%,-,-,10.03%,10.28%,6.67%,6.58%,1.16%,3.13%,-,10.43%,-3.38%,-,-,-,26.25%,Upgrade,
14,Return on Assets (ROA),-,-,7.96%,-,-,-,-,-,-,4.71%,4.53%,-,-,-,-,-,-,-,-,10.72%,Upgrade,
15,Return on Capital (ROIC),-,6.61%,8.39%,-1.30%,1.96%,-,-,6.26%,6.21%,4.82%,4.65%,2.19%,3.03%,-,6.18%,0.90%,-,-,-,11.19%,Upgrade,
16,Return on Capital Employed (ROCE),11.02%,7.86%,-,9.56%,-,-,19.02%,-,10.38%,-,6.96%,8.17%,8.49%,-,5.27%,1.20%,-,-,-,-,9.60%,Upgrade
17,Earnings Yield,5.58%,4.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Earnings Yield,5.58%,4.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Buyback Yield / Dilution,-0.06%,-0.04%,0.02%,0.08%,-0.25%,-0.08%,-0.31%,-0.20%,-0.47%,0.28%,0.48%,24.48%,-1.80%,-4.63%,-6.72%,-37.48%,-1.86%,0.25%,2.25%,-0.08%,-,Upgrade
20,Total Shareholder Return,3.97%,-0.04%,0.02%,0.08%,-0.25%,-0.08%,-0.31%,-0.20%,-0.47%,0.28%,0.48%,24.48%,-1.80%,-4.63%,-6.72%,-37.48%,-1.86%,0.25%,2.25%,-0.08%,-,Upgrade
