,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q1 2019,Q3 2018,+8 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Sep '18 Sep 30, 2018",+8 Quarters
0,Revenue,257722,227398,235919,89029,142718,333226,427179,207594,207594,200108,189308,139124,156247,245798,220433,106690,56639,83195,168664,332526,Upgrade
1,Revenue Growth (YoY),80.58%,-31.76%,-44.77%,-57.11%,-31.25%,66.52%,125.65%,49.21%,32.86%,-18.59%,-14.12%,30.40%,175.86%,195.45%,30.69%,-67.92%,-63.53%,-50.44%,-16.89%,38.52%,Upgrade
2,"Selling, General & Admin",15973,12933,6469,7958,6981,10789,6318,5473,5473,10865,7393,5301,4842,8558,6772,4996,4371,11833,4526,6330,Upgrade
3,Other Operating Expenses,145531,121977,113014,100120,105331,128205,123784,107770,107770,116097,109798,99134,103256,124424,114963,87220,95149,99929,92439,120712,Upgrade
4,Total Operating Expenses,161504,134910,119483,108078,112313,138994,130102,113243,113243,126962,117191,104435,108098,132982,121735,92217,99520,111762,96965,127042,Upgrade
5,Operating Income,96218,92488,116436,-19049,30405,194232,297077,94351,94351,73146,72117,34690,48148,112816,98699,14473,-42881,-28567,71699,205484,Upgrade
6,Interest Expense,-3326,-5067,-6593,-9629,-10834,-13888,-16224,-19495,-19495,-22965,-24478,-27288,-26841,-30269,-31383,-35015,-36164,-39641,-45964,-52618,Upgrade
7,Interest Income,3797,907.75,1473,5076,5742,3106,1314,1126,1126,1327,1357,1306,972.03,585.86,431.92,116.92,490.81,1407,2107,1592,Upgrade
8,Net Interest Expense,471.73,-4160,-5120,-4553,-5092,-10782,-14910,-18369,-18369,-21638,-23121,-25982,-25869,-29683,-30951,-34898,-35673,-38233,-43858,-51025,Upgrade
9,Other Non-Operating Income (Expenses),578.23,458.86,-221.32,-443.54,-649.27,-825.14,-894.02,-726.95,-726.95,-2375,-1558,-574.08,-429.82,-162.2,-230.74,-265.72,-323.86,-962.02,-226.73,390.93,Upgrade
10,EBT Excluding Unusual Items,97268,88788,111095,-24046,24664,182625,281273,75254,75254,49133,47438,8133,21849,82971,67517,-20690,-78878,-67763,27614,154849,Upgrade
11,Pretax Income,97268,88788,111095,-24046,24664,182625,281273,75254,75254,49133,47438,8133,21849,82971,67517,-20690,-78878,-67763,27614,154849,Upgrade
12,Income Tax Expense,5209,4619,5574,-,1248,9317,14076,3770,3770,2715,2429,410.26,1098,1937,968.25,-,-,-,1387,1151,Upgrade
13,Net Income,92058,84168,105521,-24046,23416,173309,267197,71484,71484,46418,45010,7723,20751,81034,66549,-20690,-78878,-67763,26228,153698,Upgrade
14,Net Income to Common,92058,84168,105521,-24046,23416,173309,267197,71484,71484,46418,45010,7723,20751,81034,66549,-20690,-78878,-67763,26228,153698,Upgrade
15,Net Income Growth,293.14%,-51.43%,-60.51%,-,-67.24%,273.36%,493.65%,825.58%,244.48%,-42.72%,-32.37%,-,-,-,153.73%,-,-,-,0.08%,119.98%,Upgrade
16,Shares Outstanding (Basic),235,235,235,236,235,235,235,235,235,234,235,234,236,236,311,230,225,221,226,226,Upgrade
17,Shares Outstanding (Diluted),235,235,235,236,235,235,235,235,235,234,235,234,236,236,311,230,225,221,226,226,Upgrade
