,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1970,1728,1763,1480,1977,2596,2784,3008,3002,3459,3055,3062,3270,4945,4625,-,-,-,-,-,-
1,Market Cap Growth,-33.41%,-33.41%,-36.65%,-50.81%,-34.14%,-24.96%,-8.87%,-1.76%,-8.18%,-30.04%,-33.96%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1912,1670,1694,1414,1901,2519,2697,2924,2905,3362,2955,2974,3163,4838,4656,-,-,-,-,-,-
3,Last Close Price,11.40,10.00,10.19,8.43,11.22,14.73,15.79,17.07,17.04,19.63,17.33,17.37,18.55,28.06,26.24,-,-,-,-,-,-
4,PE Ratio,51.82,45.77,46.74,35.54,47.21,56.51,59.30,63.45,77.78,110.25,96.62,116.22,-,97.96,78.58,-,-,-,-,-,-
5,Forward PE,33.53,31.01,33.41,24.43,18.66,27.93,34.83,27.92,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.22,4.61,4.66,3.92,5.33,6.76,7.68,8.36,9.18,11.23,9.04,9.34,9.21,13.04,12.49,-,-,-,-,-,-
7,PB Ratio,2.58,2.26,2.31,1.91,2.60,3.39,3.68,4.05,4.15,4.82,4.32,4.43,4.78,7.23,6.85,-,-,-,-,-,-
8,P/TBV Ratio,2.47,2.47,2.52,2.09,2.85,3.71,4.02,4.45,4.57,5.31,4.76,4.90,5.30,8.02,7.61,-,-,-,-,-,-
9,P/FCF Ratio,-,-,535.06,-88.43,-,-,-,-206.33,-,-137.02,-,-39.22,-,-53.51,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,42.00,50.17,-,114.63,-,157.29,-,93.29,88.13,127.42,157.67,121.35,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.10,4.45,4.48,3.75,5.12,6.56,7.44,8.13,8.88,10.92,8.74,9.07,8.91,12.76,12.57,-,-,-,-,-,-
12,EV/EBITDA Ratio,26.62,23.04,25.97,20.69,28.21,35.03,40.25,45.84,51.16,71.68,58.07,61.33,52.84,60.27,52.61,-,-,-,-,-,-
13,EV/EBIT Ratio,50.15,43.80,54.85,39.61,52.96,59.80,69.35,80.45,94.07,155.09,112.25,122.50,-,84.75,70.62,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,514.10,-84.53,-,-,-,-200.58,-,-133.18,-,-38.11,-,-52.35,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,0.03,0.03,0.03,0.03,-,-,0.02,0.02,0.13,0.14,0.08,0.13,-,0.12
16,Debt / EBITDA Ratio,0.00,0.00,0.00,0.01,0.01,0.01,-,0.26,0.32,0.47,0.26,-,-,0.26,0.23,0.65,0.60,0.39,0.67,-,1.64
17,Debt / FCF Ratio,-,-,0.10,-0.03,-,-,-,-1.37,-,-0.78,-,-,-,-0.16,-,-1.49,-,-,4.54,-,1.45
18,Asset Turnover,-,0.45,0.50,0.35,0.44,0.45,0.45,0.39,0.36,0.48,0.37,0.36,0.54,0.48,0.63,0.64,0.68,-,-,-,
19,Inventory Turnover,-,-,2.72,2.97,2.23,3.06,2.94,3.01,2.76,2.29,2.84,2.23,2.45,3.61,2.43,3.45,3.66,3.85,-,-,-
20,Quick Ratio,-,-,1.79,2.04,2.05,2.15,1.86,2.57,1.43,1.89,2.12,3.77,2.71,2.89,2.46,0.97,0.90,1.21,1.13,-,1.21
21,Current Ratio,-,-,3.21,3.29,3.30,3.14,3.12,3.74,1.88,2.83,3.33,5.54,4.61,4.09,4.01,1.64,1.53,1.84,1.69,-,1.95
22,Return on Equity (ROE),5.01%,5.65%,7.54%,1.52%,4.32%,7.69%,8.39%,3.86%,5.04%,8.87%,4.16%,-0.15%,5.42%,7.20%,12.43%,15.35%,16.63%,-,-,-,
23,Return on Assets (ROA),-,2.98%,3.24%,0.66%,2.04%,4.45%,3.10%,2.32%,1.15%,4.01%,1.93%,-0.22%,2.73%,3.81%,7.29%,8.59%,7.69%,-,-,-,
24,Return on Capital (ROIC),4.68%,3.37%,3.63%,0.75%,2.33%,5.00%,3.76%,2.88%,1.31%,4.46%,2.13%,-0.24%,3.05%,4.37%,8.65%,10.30%,9.25%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,3.98%,4.55%,4.66%,5.43%,5.06%,4.82%,4.20%,2.98%,3.66%,3.45%,-,8.22%,9.60%,14.94%,15.28%,11.67%,8.11%,-,0.41%
26,Earnings Yield,1.92%,2.19%,2.14%,2.81%,2.12%,1.77%,1.69%,1.58%,1.29%,0.91%,1.03%,0.86%,1.02%,1.02%,1.27%,-,-,-,-,-,-
27,FCF Yield,-,0.19%,-1.13%,-1.01%,-1.05%,-0.79%,-0.48%,-0.11%,-0.73%,-0.48%,-2.55%,-2.75%,-1.87%,-2.38%,-,-,-,-,-,-,
28,Payout Ratio,0.00%,-,167.56%,-,-,2.14%,-,-,-,1.86%,-,-,-,-,2.18%,3.00%,5.41%,2.88%,4.08%,8.25%,1579.79%
29,Buyback Yield / Dilution,1.20%,3.63%,0.57%,-21.21%,21.75%,2.36%,-0.76%,-3.34%,1.53%,-6.70%,-2.48%,-30.40%,-36.06%,-35.00%,-17.56%,-10.06%,5.61%,-,-,-,-
30,Total Shareholder Return,2.19%,3.63%,0.57%,-21.21%,21.75%,2.36%,-0.76%,-3.34%,1.53%,-6.70%,-2.48%,-30.40%,-36.06%,-35.00%,-17.56%,-10.06%,5.61%,-,-,-,-
