,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,92.51,98.07,108.32,76.06,95.94,96.68,102.22,89.22,74,94.18,69.52,70.16,103.54,83.94,96.82,94.33,95.31,78.48,88.4,51.34
1,Other Revenue,-,-0.17,0.17,-,0.15,-0.04,0.04,-,0.19,-0.15,0.15,-,0.56,-0.01,0.01,-,0.07,-0.04,0,0.04
2,Revenue,92.51,97.89,108.49,76.06,96.09,96.64,102.26,89.22,74.19,94.03,69.67,70.16,104.1,83.92,96.83,94.33,95.38,78.44,88.4,51.37
3,Revenue Growth (YoY),-3.73%,1.30%,6.09%,-14.75%,29.52%,2.78%,46.77%,27.17%,-28.73%,12.04%,-28.05%,-25.62%,9.14%,6.99%,9.54%,83.61%,-,-,-,-
4,Cost of Revenue,-183.61,64.1,69.82,49.68,65.99,64.86,68.53,64.71,52.07,62.03,48.88,52.38,78.19,50.98,61.79,58.61,60.85,48.63,56.23,33.97
5,Gross Profit,276.12,33.79,38.67,26.38,30.1,31.78,33.73,24.51,22.12,32,20.79,17.78,25.91,32.94,35.04,35.72,34.53,29.81,32.17,17.4
6,"Selling, General & Admin",-48.22,15.78,17.29,15.14,14.13,11.5,13.14,10.65,10.32,12.78,10.31,12.31,7.08,15.56,10.96,10.78,8.89,10.89,9.28,8.62
7,Research & Development,-20.88,6.03,7.53,7.32,6.65,5.78,8.21,6.76,4.2,6.65,5.71,4.74,6.01,6.47,6.79,4.5,5.95,5.46,5.63,4.23
8,Other Operating Expenses,331.58,1.75,2.31,1.2,1.51,0.05,0.55,-1.13,3.87,-0.24,-0.74,0.82,4.24,0.15,-0.29,0.25,3.93,-1.06,-0.93,0.71
9,Operating Expenses,261.8,23.43,27.52,24.09,23.02,16.59,22.4,15.98,18.28,19.36,14.92,18.45,17.42,22.34,17.16,15.6,17.21,14.39,14.86,15.77
10,Operating Income,14.31,10.36,11.15,2.29,7.08,15.18,11.33,8.53,3.84,12.65,5.87,-0.68,8.49,10.6,17.87,20.13,17.32,15.42,17.32,1.62
11,Interest Expense,-0.54,-,-0.02,-,-,-0.28,-0.2,-,-0.36,-,-0.01,-,-,-0.22,-0.47,-0.95,-0.52,-0.46,-0.35,-0.47
12,Interest & Investment Income,-,0.42,0.05,0.08,1.45,-,0.26,0.44,0.69,0.76,0.08,0.09,0.61,0.12,-,0.06,-,0.54,0.08,0.68
13,Currency Exchange Gain (Loss),-,-1.77,1.77,-,1.78,-2.29,2.29,-,4.57,-2.22,2.22,-,-1.13,0.37,-0.37,-,-2.63,-0.32,-0.15,0.47
14,Other Non Operating Income (Expenses),0.48,-0.65,-0.22,0.29,-2.57,2.56,1.13,-1.08,-5.53,5.34,-0.1,-0.06,0.23,-0.42,-0.46,0.28,1.8,-1.73,-0.21,0.28
15,EBT Excluding Unusual Items,14.26,8.37,12.74,2.66,7.74,15.18,14.82,7.89,3.21,16.53,8.06,-0.64,8.19,10.45,16.58,19.52,15.98,13.46,16.69,2.59
16,Gain (Loss) on Sale of Investments,0.03,0.02,0.07,-0.13,-0.17,-0.02,-0.01,-0.2,-0.07,0.1,-0.25,0.01,-0.15,0.26,-0.29,0,-0.02,-0.23,0.39,0.02
