,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,57.64,67.5,62.9,79.48,74.62,104.62,103.64,119.09,116.61,72.96,87.09,130.75,52.38,23.54,25.58,17.95,39.42,-,64.37
1,Trading Asset Securities,-,2.1,3,4.3,1.12,1.6,2.8,-,0.37,-,26.58,0.07,4.5,69.89,7.03,7,25.16,33.18,-,6.02
2,Cash & Short-Term Investments,59.74,59.74,70.5,67.2,80.59,76.22,107.42,103.64,119.45,116.61,99.54,87.16,135.25,122.27,30.57,32.59,43.11,72.6,-,70.4
3,Cash Growth,-25.87%,-21.61%,-34.37%,-35.16%,-32.53%,-34.64%,7.92%,18.91%,-11.68%,-4.62%,225.65%,167.50%,213.74%,68.40%,-,-53.71%,-,-,-,-
4,Accounts Receivable,-,97.18,107.72,94.31,125.98,103.1,104.36,157.77,98.23,86.74,94.14,82.11,107.44,82.94,106.29,100.13,99.03,83.33,-,67.25
5,Other Receivables,-,1.61,2.03,1.72,2.06,3.5,3.95,103.45,6.53,5.3,5.56,4.62,4.9,5.1,4.82,0.23,5.27,0.06,-,0.11
6,Receivables,-,98.79,109.75,96.03,128.04,106.61,108.31,261.23,104.76,92.04,99.7,86.73,112.34,88.04,111.11,100.36,104.3,83.39,-,67.36
7,Inventory,-,92.4,95.96,92.29,86.26,86.23,90.31,91.79,95.91,85.97,88.82,86.29,84.63,88.64,79.21,64.28,63.76,62.53,-,71.32
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.07,-,0.01
