,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Interest Income on Loans,6736,6819,7082,7029,6760,6758,6919,7658,7095,7102
1,Interest Paid on Deposits,4199,4254,4212,4332,4388,4224,4528,4395,4607,4686
2,Net Interest Income,2537,2565,2869,2696,2372,2533,2391,3263,2488,2416
3,Net Interest Income Growth (YoY),-11.58%,-4.87%,20.99%,6.44%,-0.81%,-22.35%,-3.89%,35.06%,-13.38%,-30.39%
4,Income From Trading Activities,344.01,318.88,310.14,504.27,257.87,538.13,414.99,218.02,498.29,1490
5,Gain (Loss) on Sale of Assets,-0.47,-10.57,-11.29,-6.09,-0.7,6.17,0.29,-0.03,-0,1.07
6,Gain (Loss) on Sale of Investments,35.1,105.04,11.55,15.91,36,127.73,64.36,-8.45,7.03,131.18
7,Gain (Loss) on Sale of Equity Investments,-,-,-,-,-,-,-,-,-,2.31
8,Other Non-Interest Income,241.06,198.44,306.37,267.77,340.92,74.38,109.61,-228.81,250.28,-674.73
9,Total Non-Interest Income,619.7,611.8,616.77,781.86,634.08,746.42,589.25,-19.27,755.59,949.65
10,Non-Interest Income Growth (YoY),0.47%,-21.75%,-2.73%,4.75%,7.61%,-,-22.01%,-,-23.68%,-2.62%
11,Revenues Before Loan Losses,3157,3177,3486,3478,3006,3280,2980,3243,3243,3365
12,Provision for Loan Losses,1742,1644,2063,1878,1740,1746,1692,1865,1890,2022
13,Revenue,1414,1533,1423,1600,1265,1534,1288,1379,1354,1343
14,Revenue Growth (YoY),-0.61%,-4.18%,12.45%,4.32%,-1.73%,11.25%,-4.86%,2.65%,-13.93%,-54.56%
15,Salaries and Employee Benefits,588.24,684.2,577.6,689.75,554.81,726.41,499.49,777.98,436.99,1272
16,Occupancy Expenses,186.61,213.88,207.57,215.56,205.95,215.14,194.26,263.64,292.73,560.61
17,Amortization of Goodwill & Intangibles,3.81,2.37,8.74,23.87,7.16,13.82,3.36,3.48,2.91,4.38
18,"Selling, General & Administrative",245.77,387.12,203.71,381.28,157.72,342.78,171.64,271.98,177.12,-460.7
19,Other Non-Interest Expense,51.29,48.71,54.93,51.67,50.1,68.33,53.75,44.15,48.48,38.51
20,Total Non-Interest Expense,1076,1336,1052,1362,975.67,1367,922.17,1361,957.62,1408
21,EBT Excluding Unusual Items,338.73,196.69,370.81,237.67,289.81,167.06,365.59,18.1,395.95,-65.28
22,Other Unusual Items,-,1.41,0.63,41.03,1.9,17.7,-,6.47,-,5.71
23,Pretax Income,338.73,198.1,371.44,278.7,291.71,184.76,365.59,24.57,395.95,-59.58
24,Income Tax Expense,-55.78,-40.53,-36.55,69.62,-103.5,-5.81,-17.14,-169.25,27.43,-52.61
25,Earnings From Continuing Operations,394.51,238.63,407.99,209.09,395.21,190.58,382.72,193.82,368.53,-6.97
26,Minority Interest in Earnings,-,-1.31,-,-1.57,-1.3,-1.37,-1.27,-1.85,-2.35,-6.89
27,Net Income,394.51,237.32,407.99,207.52,393.92,189.21,381.45,191.98,366.18,-13.85
28,Net Income to Common,394.51,237.32,407.99,207.52,393.92,189.21,381.45,191.98,366.18,-13.85
29,Net Income Growth,-3.30%,14.36%,3.57%,9.68%,3.27%,-1.44%,4.17%,-,-29.98%,-
30,Basic Shares Outstanding,15070,15070,15070,15070,15070,15070,15070,10152,10070,10070
31,Diluted Shares Outstanding,15070,15070,15070,15070,15070,15070,15070,10152,10070,10070
32,Shares Change (YoY),-,-,-,-,-,48.45%,49.65%,0.81%,-,-0.02%
33,EPS (Basic),0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.02,0.04,-0.00
34,EPS (Diluted),0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.02,0.04,-0.00
35,EPS Growth,-3.34%,14.45%,3.29%,9.60%,3.27%,-33.47%,-30.39%,-,-29.98%,-
