,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,5991,10086,6992,8430,6077,13608,8984,9329,621.59,8907
1,Investment Securities,123947,108013,109960,102467,132137,95853,117004,122898,101331,128599
2,Trading Asset Securities,29705,29646,27122,35706,6945,30176,2850,2352,33915,1210
3,Total Investments,153651,137659,137082,138173,139081,126029,119854,125250,135246,129810
4,Gross Loans,234133,217117,223673,210063,207429,198595,194466,181826,173523,170449
5,Allowance for Loan Losses,-6107,-5782,-5985,-5649,-5455,-5354,-5517,-5439,-5286,-5682
6,Net Loans,228026,211336,217688,204414,201974,193241,188949,176387,168237,164767
7,"Property, Plant & Equipment",2854,2911,2908,2989,3026,3045,3047,3067,2949,2940
8,Other Intangible Assets,212.14,222.07,216.07,254.4,218.08,254.3,227.96,249.04,259.37,253.8
9,Accrued Interest Receivable,7133,6353,5748,4880,6333,3636,5076,4152,1160,2202
10,Other Receivables,1168,443.37,2104,764.81,777.63,497.3,1234,992.38,6594,3964
11,Restricted Cash,15289,14348,14102,14221,14778,15790,20208,20947,20393,20307
12,Other Current Assets,-,-,-,-,-,-,-,-,536.57,-
13,Long-Term Deferred Tax Assets,2259,2057,2060,1868,1897,1862,1839,1833,1608,1643
14,Other Real Estate Owned & Foreclosed,5418,2953,932.46,893.25,598.63,542.11,162.47,156.75,126.8,5.18
15,Other Long-Term Assets,171.28,221.24,195.62,315.62,-,0.04,0.34,0.32,925.71,246.03
16,Total Assets,422173,388589,390028,377202,374760,358505,349582,342364,338719,335044
17,Accrued Expenses,234.74,265.99,281.7,403.42,433.73,576.29,506.41,628.06,382.53,583.11
18,Interest Bearing Deposits,228451,207349,212721,191868,189959,172438,170641,160802,161598,161122
19,Non-Interest Bearing Deposits,105143,95522,93401,97434,92504,93979,89211,92344,89006,79076
20,Total Deposits,333594,302871,306121,289301,282464,266417,259852,253146,250604,240198
21,Short-Term Borrowings,6854,12852,10865,10192,4317,10997,11752,13666,3863,7011
22,Current Portion of Long-Term Debt,35681,25133,25451,29630,2672,29839,1944,23736,2160,35357
23,Current Portion of Leases,76.67,81.71,81.74,86.06,80.08,85.41,9.03,113.23,74.72,101.39
24,Current Income Taxes Payable,124.53,112.68,158.15,2.19,1.12,2.38,1.38,3.66,3.34,2.97
25,Accrued Interest Payable,6643,8456,7087,7532,6402,7246,6570,7630,8225,8762
26,Other Current Liabilities,4237,4596,5663,6363,10934,9308,8801,9857,9950,11930
27,Long-Term Debt,-,-,-,-,34291,1214,27598,1500,37572,5696
28,Long-Term Leases,141.12,104.76,91.02,94.01,102.14,112.25,230.95,169.59,218.07,182.54
29,Pension & Post-Retirement Benefits,23.07,23.2,26.01,25.56,39.08,26.65,30.24,25.4,67.08,44.62
30,Long-Term Deferred Tax Liabilities,23.19,16.37,33.91,39.64,4.17,32.97,8.3,23.7,92.47,97.24
31,Other Long-Term Liabilities,937.72,896.13,1170,933.56,590.87,591.61,438.15,400.38,438.37,390.31
32,Total Liabilities,388570,355409,357029,344603,342332,326448,317743,310899,313650,310355
33,Common Stock,15070,15070,15070,15070,15070,15070,15070,15070,10070,10070
34,Additional Paid-In Capital,5634,5634,5634,5634,5634,5634,5634,5634,4661,4340
35,Retained Earnings,12473,12079,11842,11434,11233,10840,10650,10269,10077,9711
36,Comprehensive Income & Other,383.67,355.13,411.8,420.92,452.19,475.83,448.54,456.13,226.41,536.9
37,Total Common Equity,33560,33138,32957,32559,32389,32019,31802,31429,25034,24657
38,Minority Interest,43.26,42.44,41.13,40.38,38.81,37.51,36.6,36.22,34.38,32.03
39,Shareholders' Equity,33603,33180,32998,32599,32428,32056,31839,31465,25068,24689
40,Total Liabilities & Equity,422173,388589,390028,377202,374760,358505,349582,342364,338719,335044
41,Total Debt,42753,38171,36489,40002,41463,42248,41535,39185,43887,48348
42,Net Cash (Debt),10590,12317,19873,11227,-17491,14674,-13341,-8247,12388,-21939
43,Net Cash Growth,-46.71%,9.71%,-,-23.49%,-,-,-,-,-,-
44,Net Cash Per Share,0.70,0.82,1.32,0.74,-1.16,0.97,-0.89,-0.81,1.23,-2.18
45,Filing Date Shares Outstanding,15070,15070,15070,15070,15070,15070,15070,15070,10070,10070
46,Total Common Shares Outstanding,15070,15070,15070,15070,15070,15070,15070,15070,10070,10070
47,Book Value Per Share,2.23,2.20,2.19,2.16,2.15,2.12,2.11,2.09,2.49,2.45
48,Tangible Book Value,33348,32916,32741,32304,32171,31765,31574,31179,24775,24403
49,Tangible Book Value Per Share,2.21,2.18,2.17,2.14,2.13,2.11,2.10,2.07,2.46,2.42
