,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3647,4973,5274,12056,15823,15522,22605,18234,22906,10573,15004
1,Market Cap Growth,-58.75%,-58.75%,-66.67%,-22.33%,-30.00%,-14.88%,-1.32%,72.46%,52.67%,-44.74%,-45.82%
2,Last Close Price,0.24,0.33,0.35,0.80,1.05,1.03,1.50,1.21,1.52,1.05,1.49
3,PE Ratio,5.38,7.33,7.42,18.13,23.27,22.72,32.27,26.44,34.56,27.35,-
4,PS Ratio,1.15,1.57,1.62,3.69,4.88,4.73,6.53,5.69,7.06,3.57,4.60
5,PB Ratio,0.10,0.14,0.14,0.34,0.43,0.41,0.57,0.48,0.61,0.38,0.54
6,P/FCF Ratio,-,-,-4.12,-,-,-,-,-,8.07,-,-
7,P/OCF Ratio,-,-,-4.82,-,-,-,-,-,7.27,-,-
8,Debt / Equity Ratio,1.27,1.27,1.15,1.11,1.23,1.28,1.32,1.30,1.25,1.75,1.96
9,Debt / FCF Ratio,-,-,-32.83,-,-,-,-,-,16.40,-,-
10,Earnings Yield,18.59%,13.65%,13.48%,5.52%,4.30%,4.40%,3.10%,3.78%,2.89%,3.66%,3.80%
11,FCF Yield,-648.59%,-475.63%,-24.28%,-61.05%,-152.57%,-162.03%,-114.13%,-66.62%,12.39%,-245.41%,-116.58%
12,Buyback Yield / Dilution,-,-,-,-,-,-48.45%,-49.65%,-0.81%,-,0.02%,
13,Total Shareholder Return,-,-,-,-,-,-48.45%,-49.65%,-0.81%,-,0.02%,
