,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,884.79,938.93,1008,977.54,915.7,1001,948.05,936.93,830.03,873.89,764.78,744.81,674.1,733.29,-,219.52,-,-,-
1,Trading Asset Securities,-,-,-,0.47,-,-,-,-,-,-,-,-,1.42,1.81,-,-,-,-,-
2,Cash & Short-Term Investments,884.79,938.93,1008,978.01,915.7,1001,948.05,936.93,830.03,873.89,764.78,744.81,675.52,735.1,219.52,219.52,-,-,158.36
3,Cash Growth,-3.38%,-6.23%,6.36%,4.39%,10.32%,14.58%,23.96%,25.79%,22.87%,18.88%,248.39%,239.29%,-,-,38.62%,-,-,-,-
4,Accounts Receivable,325.17,333.06,250.98,246.14,195.49,192.68,232.9,230.51,136.11,147.27,203.77,229.57,147.19,151.88,-,124.83,-,-,-
5,Other Receivables,25.4,17.97,11.24,19.65,14.46,4.56,12.13,19.2,8.9,5.13,5.46,17.37,11.94,11.12,-,12.46,-,-,-
6,Receivables,350.57,351.03,262.22,265.78,209.95,197.24,245.03,249.71,145.01,152.4,209.23,246.93,159.13,163,-,137.29,-,-,-
7,Inventory,556.74,478.02,473.29,433.09,357.4,382.83,434.77,421.86,345.08,397.16,425.29,463.6,471.65,455.63,-,361.3,-,-,-
8,Other Current Assets,31.22,11.01,10.33,11.9,10.82,8.55,8.83,23.1,8.07,6.05,8.05,3.13,7.08,15.54,-,15.33,-,-,-
9,Total Current Assets,1823,1779,1754,1689,1494,1590,1637,1632,1328,1429,1407,1458,1313,1369,-,733.43,-,-,-
10,"Property, Plant & Equipment",447.71,436.64,440.54,449.26,449.51,456.65,460.14,469.44,421.12,420.11,426.82,425.99,416.08,419.69,-,425.79,-,-,-
11,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
12,Other Intangible Assets,81.8,82.4,43.61,44.05,44.18,44.62,44.74,45.23,44.81,45.33,45.82,46.33,46.84,46.8,-,47.49,-,-,-
