,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,599.13,544.83,425.43,328.67,415.34,392.77,424.24,458.55,370.95,355.45,378.9,405.23,396.53,383.89,369.56,340.61,319.78,268.12,268.12
1,Other Revenue,-35.5,35.5,-,65.46,-34.23,34.23,-,55.11,-25.05,25.05,-,50.24,-31.14,31.14,-,28.51,-10.82,5.41,5.41
2,Revenue,563.63,580.33,425.43,394.13,381.11,427,424.24,513.66,345.91,380.5,378.9,455.48,365.39,415.02,369.56,369.12,308.96,273.53,273.53
3,Revenue Growth (YoY),47.89%,35.91%,0.28%,-23.27%,10.18%,12.22%,11.97%,12.77%,-5.33%,-8.32%,2.53%,23.40%,18.26%,51.73%,35.11%,-,-,-,-
4,Cost of Revenue,447.57,491.84,344.49,328.26,294.02,328.86,323.54,413.21,261.51,304.08,306.19,369.39,286.46,336.14,303.64,310.69,243.94,214.89,214.89
5,Gross Profit,116.05,88.5,80.94,65.87,87.09,98.15,100.69,100.45,84.4,76.42,72.71,86.09,78.93,78.89,65.92,58.43,65.03,58.64,58.64
6,"Selling, General & Admin",28.43,28.79,23.79,30.17,25.26,24.17,23.67,35.24,21.47,21.48,19.09,25.61,20.65,20.48,15.9,20.31,15.56,14.64,14.64
7,Research & Development,20.58,16.81,18.2,15.57,11.66,16.57,16.1,12.13,15.8,16.14,10.78,14.91,13.97,16.38,10.98,12.26,10.87,8.51,8.51
8,Other Operating Expenses,0.2,2.54,0.59,1.15,1.54,2.45,1.14,9.02,-2.97,-1.09,1.59,1.9,1.16,1.31,1.5,5.57,0.37,-0.43,-0.43
9,Operating Expenses,48.65,52.52,43.2,50.07,38.74,39.49,42.87,61.17,34.13,33.57,32.51,44.69,35.61,38.15,29.85,38.4,24.42,24,24
10,Operating Income,67.41,35.98,37.74,15.8,48.35,58.65,57.83,39.28,50.27,42.85,40.2,41.4,43.32,40.74,36.07,20.03,40.6,34.64,34.64
11,Interest Expense,-0.02,-0.02,-0.02,-,-0.02,-0,-0.02,-0.08,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-,-,-,-
12,Interest & Investment Income,3.09,10.14,9.9,11.21,7.52,6.91,9.08,8.49,6.5,5.06,5.05,7.57,6.7,1.81,1.66,0.3,1.61,0.36,0.36
13,Currency Exchange Gain (Loss),-8.3,8.3,-,4.64,-5.22,5.22,-,32.78,-26.15,26.15,-,-4.93,1.4,-1.4,-,-12.09,-0.65,0.32,0.32
14,Other Non Operating Income (Expenses),4.91,-3.6,3.06,-5.74,5.62,4.42,-5.2,-39.87,39.55,0.49,-0.94,0.3,-1.19,-0.16,0.36,5.03,-4.33,-0.72,-0.72
15,EBT Excluding Unusual Items,67.09,50.8,50.68,25.9,56.26,75.19,61.68,40.6,70.14,74.56,44.3,44.32,50.22,40.97,38.07,13.27,37.23,34.6,34.6
16,Gain (Loss) on Sale of Investments,0.81,-2.03,-6.03,3.84,-2.83,-17.3,0.53,1.12,-7.67,-,-,-1.42,-0.39,6.25,-3.47,2.37,5.02,-0.52,-0.52
17,Gain (Loss) on Sale of Assets,-,-0,0.06,-1.67,-,-,-,-0.07,-,-,0.17,-0.19,0.37,-,0.06,-0.03,0.03,-0.01,-0.01
18,Asset Writedown,-7.25,3.47,-3.47,4.95,-4.95,3.63,-3.63,6.44,-6.44,1.9,-1.9,3.97,-3.97,1.49,-1.49,1.33,-1.33,-,-
19,Other Unusual Items,-1.06,1.06,-0.03,0.84,-0.01,0.01,-,15.3,0.04,-0.04,-,6.86,-,-,-,8.06,-,-,-
20,Pretax Income,59.6,53.3,41.2,33.85,48.47,61.54,58.58,63.39,56.07,76.42,42.56,53.55,46.22,48.71,33.18,25.01,40.95,34.07,34.07
21,Income Tax Expense,6.27,4.56,4.47,3.52,5.5,6.27,7.25,1.84,6.48,9.81,5.26,7.39,5.44,5.66,4,3.7,5.5,4.45,4.45
22,Net Income,53.32,48.74,36.72,30.34,42.97,55.27,51.32,61.55,49.59,66.61,37.3,46.16,40.79,43.05,29.18,21.31,35.45,29.62,29.62
23,Net Income to Common,53.32,48.74,36.72,30.34,42.97,55.27,51.32,61.55,49.59,66.61,37.3,46.16,40.79,43.05,29.18,21.31,35.45,29.62,29.62
24,Net Income Growth,24.10%,-11.82%,-28.45%,-50.71%,-13.35%,-17.02%,37.59%,33.34%,21.58%,54.74%,27.85%,116.57%,15.07%,45.33%,-1.50%,-,-,-,-
25,Shares Outstanding (Basic),175,174,171,171,172,173,171,172,169,172,174,171,172,130,130,127,131,129,129
26,Shares Outstanding (Diluted),175,174,171,171,172,173,171,172,169,172,174,171,172,130,130,127,131,129,129
27,Shares Change (YoY),2.10%,0.47%,0.17%,-0.95%,1.49%,0.27%,-1.71%,0.62%,-1.39%,32.76%,33.93%,34.54%,30.79%,0.60%,0.74%,-,-,-,-
28,EPS (Basic),0.30,0.28,0.21,0.18,0.25,0.32,0.30,0.36,0.29,0.39,0.21,0.27,0.24,0.33,0.22,0.17,0.27,0.23,0.23
29,EPS (Diluted),0.30,0.28,0.21,0.18,0.25,0.32,0.30,0.36,0.29,0.39,0.21,0.27,0.24,0.33,0.22,0.17,0.27,0.23,0.23
30,EPS Growth,19.78%,-12.23%,-28.57%,-50.27%,-14.62%,-17.25%,39.99%,32.52%,23.29%,16.55%,-4.54%,60.97%,-12.02%,44.46%,-2.22%,-,-,-,-
31,Free Cash Flow,-16.62,-45.35,30.74,62.48,10.43,54.61,14.06,114.72,35.99,86.58,1.02,93.72,-44.45,-44.93,11.23,56.56,43.3,-3.42,-3.42
32,Free Cash Flow Per Share,-0.09,-0.26,0.18,0.37,0.06,0.32,0.08,0.67,0.21,0.50,0.01,0.55,-0.26,-0.35,0.09,0.44,0.33,-0.03,-0.03
33,Dividend Per Share,-,-,-,0.357,-,-,-,0.510,-,-,-,0.510,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-30.01%,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,20.59%,15.25%,19.03%,16.71%,22.85%,22.98%,23.74%,19.56%,24.40%,20.08%,19.19%,18.90%,21.60%,19.01%,17.84%,15.83%,21.05%,21.44%,21.44%
36,Operating Margin,11.96%,6.20%,8.87%,4.01%,12.69%,13.74%,13.63%,7.65%,14.53%,11.26%,10.61%,9.09%,11.86%,9.82%,9.76%,5.43%,13.14%,12.66%,12.66%
37,Profit Margin,9.46%,8.40%,8.63%,7.70%,11.27%,12.94%,12.10%,11.98%,14.34%,17.51%,9.84%,10.13%,11.16%,10.37%,7.89%,5.77%,11.47%,10.83%,10.83%
38,Free Cash Flow Margin,-2.95%,-7.81%,7.23%,15.85%,2.74%,12.79%,3.31%,22.33%,10.41%,22.75%,0.27%,20.58%,-12.17%,-10.82%,3.04%,15.32%,14.02%,-1.25%,-1.25%
39,EBITDA,78.32,47.47,48.65,26.71,57.65,69.56,67.13,48.58,59,52.07,48.93,50.13,50.53,49.3,43.28,27.24,47.53,41.56,41.56
40,EBITDA Margin,13.90%,8.18%,11.44%,6.78%,15.13%,16.29%,15.82%,9.46%,17.06%,13.68%,12.91%,11.01%,13.83%,11.88%,11.71%,7.38%,15.38%,15.20%,15.20%
41,D&A For EBITDA,10.91,11.49,10.91,10.91,9.3,10.9,9.3,9.3,8.73,9.22,8.73,8.73,7.21,8.56,7.21,7.21,6.92,6.92,6.92
42,EBIT,67.41,35.98,37.74,15.8,48.35,58.65,57.83,39.28,50.27,42.85,40.2,41.4,43.32,40.74,36.07,20.03,40.6,34.64,34.64
43,EBIT Margin,11.96%,6.20%,8.87%,4.01%,12.69%,13.74%,13.63%,7.65%,14.53%,11.26%,10.61%,9.09%,11.86%,9.82%,9.76%,5.43%,13.14%,12.66%,12.66%
44,Effective Tax Rate,10.53%,8.55%,10.86%,10.39%,11.35%,10.19%,12.38%,2.90%,11.56%,12.83%,12.36%,13.80%,11.76%,11.62%,12.05%,14.78%,13.43%,13.05%,13.05%
45,Revenue as Reported,563.63,580.33,425.43,394.13,381.11,427,424.24,513.66,345.91,380.5,378.9,455.48,365.39,415.02,369.56,369.12,308.96,273.53,273.53
