,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+11 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Oct '20 Oct 1, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020","Oct '19 Oct 1, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+11 Quarters
0,Revenue,1331167,1120393,1269890,1039984,1269943,1202325,1388527,1242623,1345064,1188865,1125240,722326,837726,837726,790406,790406,1077543,1077543,1049260,1049260,Upgrade
1,Revenue Growth (YoY),4.82%,-6.81%,-8.54%,-16.31%,-5.58%,1.13%,23.40%,72.03%,60.56%,41.92%,42.36%,-8.61%,-22.26%,-22.26%,-24.67%,-24.67%,-11.65%,1.90%,-3.52%,11.61%,Upgrade
2,Cost of Revenue,1166950,1032133,1128157,950651,1157135,1053508,1227236,1094095,1189673,1015285,1008954,649443,768446,768446,727697,727697,987044,987044,965797,965797,Upgrade
3,Gross Profit,164217,88259,141732,89333,112808,148817,161291,148528,155391,173581,116286,72883,69279,69279,62710,62710,90499,90499,83463,83463,Upgrade
4,"Selling, General & Admin",75367,64380,67407,54167,56505,60513,74715,73880,70461,67640,66932,47925,50229,50229,45050,45050,55355,55355,50338,50338,Upgrade
5,Operating Expenses,75367,64380,67407,54167,56505,60513,74715,73880,70461,67640,66932,47925,50229,50229,45050,45050,55355,55355,50338,50338,Upgrade
6,Operating Income,88850,23879,74325,35166,56303,88304,86576,74648,84929,105941,49354,24958,19051,19051,17659,17659,35144,35144,33125,33125,Upgrade
7,Interest Expense,-10807,-44810,-9187,-20668,-9019,-43225,-5803,-18207,-4544,-4548,-4260,-4005,-4739,-4739,-6260,-6260,-8147,-8147,-9967,-9967,Upgrade
8,Interest & Investment Income,39930,-,17718,-,17269,-,17775,-,15213,13046,14740,5871,614.57,614.57,483.45,483.45,438,438,548.87,548.87,Upgrade
9,Earnings From Equity Investments,421.81,351.16,222.82,1124,701.7,674.55,-81.77,699.06,211.25,997.29,137.71,255.68,288.63,288.63,994.39,994.39,508.67,508.67,955.16,955.16,Upgrade
10,Currency Exchange Gain (Loss),-,32691,-,18340,-,27040,-,14142,-,-,-,-,4284,4284,2729,2729,6905,6905,1918,1918,Upgrade
11,Other Non Operating Income (Expenses),-1114,27890,-8442,13505,-8656,23328,-7746,6832,-4212,-2004,-3329,-3044,246.78,246.78,291.7,291.7,484.91,484.91,-84.86,-84.86,Upgrade
12,EBT Excluding Unusual Items,117282,40001,74637,47467,56599,96121,90719,78115,91598,113433,56642,24034,19745,19745,15897,15897,35335,35335,26495,26495,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-296.53,-,-296.71,-,-,-,-,331.72,331.72,-378.3,-378.3,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,937.36,-,305.13,-,906.4,-,644.05,-,-,-,-,102.55,102.55,356.14,356.14,138.92,138.92,-,-,Upgrade
15,Other Unusual Items,-,-4878,-,-4258,-,-248.53,-,-8.99,-,-,-,-,-981.73,-981.73,-13.13,-13.13,-621.44,-621.44,-,-,Upgrade
16,Pretax Income,117282,36060,74637,43515,56599,96482,90719,78453,91598,113433,56642,24034,19198,19198,15862,15862,34852,34852,26495,26495,Upgrade
17,Income Tax Expense,23279,7309,15074,9578,8976,25655,17758,15393,13460,11482,4409,1493,2327,2327,1614,1614,1857,1857,1164,1164,Upgrade
18,Earnings From Continuing Operations,94002,28751,59563,33936,47624,70827,72961,63060,78138,101951,52233,22541,16871,16871,14248,14248,32995,32995,25331,25331,Upgrade
19,Minority Interest in Earnings,-1660,2524,-663.4,608.46,-361.6,3327,-1429,-2466,-5364,-2916,-4197,-1718,-312.39,-312.39,-438.82,-438.82,87.32,87.32,1909,1909,Upgrade
20,Net Income,92342,31275,58899,34545,47262,74154,71532,60595,72773,99035,48036,20823,16559,16559,13810,13810,33082,33082,27240,27240,Upgrade
21,Preferred Dividends & Other Adjustments,-,12000,-,3000,-,21784,-,11032,-,-,-,-,1471,1471,-,-,4730,4730,-,-,Upgrade
22,Net Income to Common,92342,19275,58899,31545,47262,52370,71532,49563,72773,99035,48036,20823,15087,15087,13810,13810,28353,28353,27240,27240,Upgrade
23,Net Income Growth,95.38%,-57.82%,-17.66%,-42.99%,-35.06%,-25.12%,48.91%,190.99%,339.49%,498.09%,247.85%,50.79%,-49.95%,-49.95%,-49.30%,-49.30%,22.87%,39.32%,17.16%,-21.32%,Upgrade
24,Shares Outstanding (Basic),36,34,37,13,30,52,31,18,24,24,23,23,23,23,23,23,23,23,23,23,Upgrade
25,Shares Outstanding (Diluted),36,34,37,13,30,52,31,18,24,24,23,23,23,23,23,23,23,23,23,23,Upgrade
26,Shares Change (YoY),19.98%,-34.98%,19.62%,-25.35%,27.00%,118.97%,36.65%,-20.79%,5.01%,5.05%,0.02%,0.05%,-,-,-,-,-0.01%,0.01%,-0.03%,-,Upgrade
27,EPS (Basic),2564.86,572.75,1601.14,2369.64,1575.00,1011.88,2326.09,2779.36,3080.00,4190.05,2134.61,925.00,670.55,670.55,613.76,613.76,1260.12,1260.12,1210.68,1210.68,Upgrade
28,EPS (Diluted),2564.86,572.75,1601.14,2369.64,1575.00,1011.88,2326.09,2779.36,3080.00,4190.05,2134.61,925.00,670.55,670.55,613.76,613.76,1260.12,1260.12,1210.68,1210.68,Upgrade
29,EPS Growth,62.85%,-43.40%,-31.17%,-14.74%,-48.86%,-75.85%,8.97%,200.47%,359.32%,524.86%,247.79%,50.71%,-46.79%,-46.79%,-49.30%,-49.30%,5.31%,19.38%,17.20%,-21.32%,Upgrade
30,Free Cash Flow,-,14776,129185,-17759,143489,-126301,-,13173,70027,8798,-7708,-28955,17481,17481,11553,11553,185528,185528,-4746,-4746,Upgrade
31,Free Cash Flow Per Share,-,439.08,3511.81,-1334.02,4781.77,-2440.35,-,738.68,2963.76,372.21,-342.54,-1286.21,776.94,776.94,513.45,513.45,8245.69,8245.69,-210.91,-210.91,Upgrade
32,Dividend Per Share,-,1000.000,-,2500.000,-,4000.000,-,-,-,1000.000,-,-,-,-,-,-,-,-,-,-,Upgrade
33,Dividend Growth,-,-75.00%,-,-,-,300.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,Gross Margin,12.34%,7.88%,11.16%,8.59%,8.88%,12.38%,11.62%,11.95%,11.55%,14.60%,10.33%,10.09%,8.27%,8.27%,7.93%,7.93%,8.40%,8.40%,7.95%,7.95%,Upgrade
35,Operating Margin,6.67%,2.13%,5.85%,3.38%,4.43%,7.34%,6.24%,6.01%,6.31%,8.91%,4.39%,3.46%,2.27%,2.27%,2.23%,2.23%,3.26%,3.26%,3.16%,3.16%,Upgrade
36,Profit Margin,6.94%,1.72%,4.64%,3.03%,3.72%,4.36%,5.15%,3.99%,5.41%,8.33%,4.27%,2.88%,1.80%,1.80%,1.75%,1.75%,2.63%,2.63%,2.60%,2.60%,Upgrade
37,Free Cash Flow Margin,-,1.32%,10.17%,-1.71%,11.30%,-10.50%,-,1.06%,5.21%,0.74%,-0.69%,-4.01%,2.09%,2.09%,1.46%,1.46%,17.22%,17.22%,-0.45%,-0.45%,Upgrade
38,EBITDA,119619,53689,105453,65593,88015,120142,118369,105995,116532,136935,82376,57401,54135,54135,55481,55481,72282,72282,80566,80566,Upgrade
39,EBITDA Margin,8.99%,4.79%,8.30%,6.31%,6.93%,9.99%,8.52%,8.53%,8.66%,11.52%,7.32%,7.95%,6.46%,6.46%,7.02%,7.02%,6.71%,6.71%,7.68%,7.68%,Upgrade
40,D&A For EBITDA,30769,29809,31127,30428,31712,31838,31793,31347,31602,30993,33023,32443,35084,35084,37822,37822,37138,37138,47441,47441,Upgrade
41,EBIT,88850,23879,74325,35166,56303,88304,86576,74648,84929,105941,49354,24958,19051,19051,17659,17659,35144,35144,33125,33125,Upgrade
42,EBIT Margin,6.67%,2.13%,5.85%,3.38%,4.43%,7.34%,6.24%,6.01%,6.31%,8.91%,4.39%,3.46%,2.27%,2.27%,2.23%,2.23%,3.26%,3.26%,3.16%,3.16%,Upgrade
43,Effective Tax Rate,19.85%,20.27%,20.20%,22.01%,15.86%,26.59%,19.57%,19.62%,14.69%,10.12%,7.78%,6.21%,12.12%,12.12%,10.17%,10.17%,5.33%,5.33%,4.39%,4.39%,Upgrade
44,Revenue as Reported,1331167,1120393,1269890,1039984,1269943,1202325,1388527,1242623,1345064,1188865,1125240,722326,837726,837726,790406,790406,1077543,1077543,1049260,1049260,Upgrade
