,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,212.39,720.45,146.69,365.75,-
1,Short-Term Investments,14.76,7.1,-,-,-
2,Trading Asset Securities,309.36,228.28,250.59,182.41,-
3,Cash & Short-Term Investments,536.51,955.83,397.28,548.15,-
4,Cash Growth,35.05%,74.37%,-,-,-
5,Accounts Receivable,381.15,219.09,126.89,289.36,-
6,Other Receivables,0.02,0.57,0.22,0.08,-
7,Receivables,381.17,219.66,128.11,289.44,-
8,Inventory,346.61,256.57,167.95,277.91,-
9,Prepaid Expenses,10.1,4.43,3.91,2.82,-
10,Restricted Cash,0.31,0.31,0.3,0.84,-
11,Other Current Assets,70.41,71.57,49.32,36.35,-
12,Total Current Assets,1345,1508,746.86,1155,-
13,"Property, Plant & Equipment",197.85,128.73,74.17,68.11,-
14,Long-Term Investments,3.52,3.52,3.5,3,-
15,Other Intangible Assets,41.06,11.24,4.32,4.86,-
16,Long-Term Deferred Charges,4.82,-1.22,16.75,3.46,-
17,Other Long-Term Assets,6.86,21.93,2.49,16.47,-
18,Total Assets,1599,1673,848.09,1251,-
19,Accounts Payable,142.14,185.53,128.38,438.42,-
20,Accrued Expenses,-,37.99,27.72,34.46,-
21,Short-Term Debt,237.08,201.5,-,49,-
22,Current Portion of Leases,4.18,1.8,2.48,3.34,-
23,Current Unearned Revenue,6.99,10.65,29.95,26.55,-
24,Other Current Liabilities,105.1,72.48,31.71,20.68,-
25,Total Current Liabilities,495.48,509.93,220.24,572.45,-
26,Long-Term Debt,62.25,24.16,-,-,-
27,Long-Term Leases,-,0.63,0.8,1.57,-
28,Long-Term Unearned Revenue,4.83,5,10.34,7.63,-
29,Other Long-Term Liabilities,11.55,9.12,5.19,3.28,-
30,Total Liabilities,574.11,548.84,236.57,584.93,-
31,Common Stock,226.33,226.33,204.21,10.21,-
32,Additional Paid-In Capital,1012,1012,472.95,666.95,-
33,Retained Earnings,-319.03,-220.4,-125.21,-25.29,-
34,Comprehensive Income & Other,105.61,105.6,59.56,14.6,-
35,Shareholders' Equity,1025,1124,611.52,666.47,-
36,Total Liabilities & Equity,1599,1673,848.09,1251,-
37,Total Debt,303.51,228.08,3.28,53.92,-
38,Net Cash (Debt),233,727.74,394,494.24,-
39,Net Cash Growth,-40.86%,47.25%,-,-,-
40,Net Cash Per Share,1.03,3.54,1.93,2.47,-
41,Filing Date Shares Outstanding,226.33,226.33,204.21,204.21,186.52
42,Total Common Shares Outstanding,226.33,226.33,204.21,10.21,186.52
43,Working Capital,849.62,998.43,526.62,583.05,-
44,Book Value Per Share,4.53,4.96,2.99,65.27,-
45,Tangible Book Value,984.04,1112,607.2,661.61,-
46,Tangible Book Value Per Share,4.35,4.92,2.97,64.80,-
47,Machinery,77.62,54.45,47.35,41.92,-
48,Construction In Progress,110.01,60.61,7.62,0.19,-
49,Leasehold Improvements,9.66,9.24,9.14,9.11,-
