,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,636.16,673.08,543.21,966.71,359.17
1,Revenue Growth (YoY),17.11%,-30.37%,51.24%,-,-
2,Cost of Revenue,591.31,593.16,502.17,879.24,336.07
3,Gross Profit,44.85,79.91,41.04,87.47,23.1
4,"Selling, General & Admin",34.75,64.25,51.95,38.9,30.3
5,Research & Development,99.59,112.64,103.99,57.62,46.43
6,Other Operating Expenses,-2.86,-3.52,-4.28,-6.34,1.38
7,Operating Expenses,131.48,171.71,151.66,93.89,78.1
8,Operating Income,-86.63,-91.8,-110.62,-6.42,-55
9,Interest Expense,-2.19,-1.11,-0.23,-,-245.33
10,Interest & Investment Income,3.66,1.08,2.03,244.59,0.09
11,Currency Exchange Gain (Loss),-6.03,-4.67,0.88,-5.59,-2.95
12,Other Non Operating Income (Expenses),-,-0.05,-,-279.42,-
13,EBT Excluding Unusual Items,-91.19,-96.56,-107.94,-46.85,-303.19
14,Gain (Loss) on Sale of Investments,-7.41,1.2,8.1,4.99,2.74
15,Gain (Loss) on Sale of Assets,-0,-0,0.09,-0.09,0.01
16,Pretax Income,-98.6,-95.36,-99.75,-41.94,-300.43
17,Income Tax Expense,0.03,-,-,-,-
18,Net Income,-98.63,-95.36,-99.75,-41.94,-300.43
19,Net Income to Common,-98.63,-95.36,-99.75,-41.94,-300.43
20,Shares Outstanding (Basic),226,206,204,200,187
21,Shares Outstanding (Diluted),226,206,204,200,187
22,Shares Change (YoY),10.83%,2.57%,9.49%,-,-
23,EPS (Basic),-0.44,-0.46,-0.49,-0.21,-1.61
24,EPS (Diluted),-0.44,-0.46,-0.49,-0.21,-1.61
25,Free Cash Flow,-453.59,-240.31,-95.97,-52.53,-37.48
26,Free Cash Flow Per Share,-2.00,-1.17,-0.47,-0.26,-0.20
27,Operating Margin,-13.62%,-13.64%,-20.36%,-0.66%,-15.31%
28,Profit Margin,-15.50%,-14.17%,-18.36%,-4.34%,-83.65%
29,Free Cash Flow Margin,-71.30%,-35.70%,-17.67%,-5.43%,-10.43%
30,EBITDA,-76.66,-86.78,-101.91,-2.63,-52.03
31,D&A For EBITDA,9.97,5.02,8.71,3.79,2.97
32,EBIT,-86.63,-91.8,-110.62,-6.42,-55
33,Advertising Expenses,1.22,-,1.12,-,0.39
