,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,200.4,115.46,106.66,122.91,131.91,137.31,83.71,40.17,88.91,162.77,156.44,149.64,109.25,135.07,133.84,84.74
1,Other Revenue,-,-0.52,0.52,-,0.53,-0.84,0.84,-,1.72,-,-,-,-,-,-,-
2,Revenue,200.4,114.94,107.18,122.91,132.44,136.47,84.55,40.17,90.63,162.77,156.44,149.64,109.25,135.07,133.84,84.74
3,Revenue Growth (YoY),51.31%,-15.78%,26.77%,205.94%,46.13%,-16.16%,-45.95%,-73.15%,-17.04%,20.51%,16.89%,76.59%,-,-,-,-
4,Cost of Revenue,-229.31,69.48,76.81,83.02,139.7,77.44,56.08,22.67,65.22,74.59,79.09,72.91,48.01,64.84,60.18,41.21
5,Gross Profit,429.71,45.46,30.37,39.89,-7.27,59.03,28.46,17.5,25.41,88.18,77.34,76.72,61.25,70.23,73.66,43.53
6,"Selling, General & Admin",-120.6,39.45,45.3,35.85,31.47,21.96,27.86,37.48,32.1,28.5,24.89,21.78,25.31,18.53,21.1,17.08
7,Research & Development,-191.92,71.71,61.85,58.36,59.29,63.7,54.91,59.54,54.81,54.61,47.35,45.72,40.35,40.06,41.84,27.48
8,Other Operating Expenses,833.97,0.04,0.04,0,0.21,-1.29,-0.93,-0.63,0.4,-0.08,-0.07,-0.04,3.74,-3.5,-0.03,-0.04
9,Operating Expenses,521.53,110.69,106.96,94.87,90.61,84.87,82.24,96.35,86.5,83.39,72.14,67.91,69,55.21,63.27,44.25
10,Operating Income,-91.82,-65.23,-76.59,-54.99,-97.87,-25.84,-53.78,-78.86,-61.09,4.79,5.21,8.81,-7.75,15.02,10.39,-0.72
11,Interest Expense,-17.29,-0.02,-0.4,-0.14,-0.31,-,-2.19,-0.1,-0.16,-0.1,-0.16,-0.17,-0.16,-0.19,-0.2,-0.18
12,Interest & Investment Income,0.56,5.56,6.29,5.43,0.81,11.14,7.36,8.03,2.27,3.91,5.17,5.37,1.36,3.53,1.75,2.64
13,Currency Exchange Gain (Loss),-,0.48,-0.48,-,5.47,-11.34,11.34,-,2.97,-3.31,3.31,-,-2.73,0.99,-0.99,-
14,Other Non Operating Income (Expenses),-2.56,2.64,-0.08,0.02,-7.3,5.45,2.72,135.62,-7.08,5.65,0.36,-1.38,-0.06,-1.21,-1.2,0.03
15,EBT Excluding Unusual Items,-111.12,-56.57,-71.25,-49.68,-99.21,-20.59,-34.55,64.69,-63.1,10.95,13.89,12.64,-9.34,18.14,9.73,1.77
16,Gain (Loss) on Sale of Investments,-0.05,-1.79,0.32,1.51,4.08,-0.17,-0.26,-1.23,0.09,1.57,2.26,-0.36,0.82,-1.15,0.38,-0.57
