,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1010,1085,830.55,621.13,822.28,686.03,846.72,1103,994.24,905.33,1272,35.7,-,192.04,-
1,Short-Term Investments,-,-,-,-,253.32,-,101.15,-,-,-,51.98,51.59,51.2,-,-,-
2,Trading Asset Securities,-,9.76,72.13,296.93,395.15,306.84,527,487.27,456.4,554.82,590.15,230.75,315.49,-,132.62,-
3,Cash & Short-Term Investments,1020,1020,1157,1127,1270,1129,1314,1334,1560,1549,1547,1555,402.39,-,324.66,377.67
4,Cash Growth,-19.67%,-9.67%,-11.93%,-15.48%,-18.60%,-27.11%,-15.08%,-14.20%,287.61%,-,376.64%,311.67%,-,-,-,-
5,Accounts Receivable,-,109.05,129.09,132.17,84.78,107.36,72.96,30.51,34.62,120.95,103.22,77.71,36.02,-,65.03,-
6,Other Receivables,-,69.41,22.98,49.58,25.26,23.42,17.85,9.37,17.12,12.76,13.91,13.84,7.97,-,0.06,-
7,Receivables,-,178.46,152.06,181.75,110.04,130.78,90.82,39.88,51.74,133.71,117.13,91.55,44,-,65.09,-
8,Inventory,-,221.25,155.58,168.71,204.46,236.76,238.85,221.88,186.83,162.85,138.09,110.15,94.96,-,44.03,-
9,Other Current Assets,-,34.81,25.72,80.01,32.89,246.43,18.88,18.13,16.28,16.42,24.21,33.42,35.59,-,22.05,-
10,Total Current Assets,-,1454,1491,1558,1617,1743,1663,1614,1815,1862,1827,1790,576.94,-,455.82,-
11,"Property, Plant & Equipment",-,104.84,61.38,48.85,25.91,22.53,20.83,20.81,21.12,22.81,24.62,26.12,24.66,-,24.93,-
12,Long-Term Investments,-,77.81,95.68,105.08,162.11,84.46,320.19,211.19,14.56,19.06,-,-,-,-,50.4,-
13,Goodwill,-,66.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,224.3,165.64,158.55,166.69,179.52,187.83,42.54,46.87,35.38,38.67,27.03,23.01,-,23.45,-
15,Long-Term Deferred Tax Assets,-,51.86,48.19,53.87,41.46,26.25,25.46,32.63,30.61,12.47,11.21,9.63,9.74,-,9.68,-
16,Long-Term Deferred Charges,-,0.97,0.92,1.1,1.57,1.82,0.93,1.25,1.71,2.3,2.54,2.69,3.13,-,1.72,-
17,Other Long-Term Assets,-,5.85,4.95,1.15,1.65,6.17,6.47,114.32,17.15,3.09,3.27,12.46,1.88,-,1.78,-
18,Total Assets,-,1987,1868,1927,2016,2064,2224,2037,1947,1957,1907,1868,639.36,-,567.78,-
19,Accounts Payable,-,141.9,98.2,115.15,79.43,80.86,48.55,23.5,10.21,24.13,11.59,30.91,13.88,-,3.45,-
20,Accrued Expenses,-,35.98,35.44,16.32,57.42,20.57,44.82,28.2,62.43,45.04,53.18,15.16,50.92,-,30.11,-
21,Short-Term Debt,-,24.32,0.17,0.2,0.33,0.14,0.19,0.22,0.14,0.26,3.11,0.23,0.14,-,2.92,-
22,Current Portion of Leases,-,-,7.14,-,6.07,-,5.33,-,5.07,-,5.78,-,4.88,-,5.82,-
23,Current Income Taxes Payable,-,11.6,7.26,7.21,5.72,8.99,14.74,20.85,7.81,14.47,10.57,11.11,7.46,-,1.69,-
24,Current Unearned Revenue,-,0.84,1.22,0.85,0.92,4.16,0.35,0.33,0.34,0.28,-,-,-,-,0.04,-
25,Other Current Liabilities,-,57.54,34.62,45.11,27.49,30.79,96.16,34.95,36.35,29.05,27.97,32.7,21.88,-,13.87,-
26,Total Current Liabilities,-,272.18,184.04,184.85,177.37,145.51,210.13,108.05,122.34,113.24,112.19,90.11,99.17,-,57.89,-
27,Long-Term Leases,-,6.39,6.19,2.41,2.86,4.16,3.61,3.11,3.84,4.92,6.17,7.09,6.03,-,8.81,-
28,Long-Term Unearned Revenue,-,0,0,0.19,1.2,2,-,-,-,-,-,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,-,16.33,-,-,-,4.21,20.31,-,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,11.38,5.12,-,-,5.47,5.48,9.45,26.52,22.21,24.42,41.71,51.97,-,51.85,-
