,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5029,4537,4652,4520,5388,7197,6587,9313,10062,9213,9273,13470,9728,-,-,-,-
1,Market Cap Growth,-36.96%,-36.96%,-29.38%,-51.47%,-46.45%,-21.88%,-28.97%,-30.86%,3.43%,-,-,-,-,-,-,-,-
2,Enterprise Value,4139,3648,3508,3395,4263,6072,5282,7982,8518,7669,7741,11923,9421,-,-,-,-
3,Last Close Price,12.28,11.08,11.36,11.03,13.15,17.59,16.10,22.88,24.72,22.73,22.88,33.55,24.32,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,347.52,-,495.89,461.43,278.10,-,-,-,-
5,Forward PE,-,-,-,-,93.93,152.96,134.17,117.33,145.41,72.74,83.20,141.26,121.60,-,-,-,-
6,PS Ratio,9.20,8.32,9.74,9.06,11.31,18.28,18.72,24.63,22.36,16.47,16.04,24.47,18.43,-,-,-,-
7,PB Ratio,3.19,2.70,2.77,2.70,3.10,3.92,3.46,4.69,5.25,5.14,5.10,7.63,5.63,-,-,-,-
8,P/TBV Ratio,3.52,3.52,3.61,3.00,3.41,4.31,3.82,5.18,5.37,5.27,5.21,7.81,5.72,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-88.64,-90.83,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-180.90,-155.56,-,-,-,-,-,-
11,EV/Sales Ratio,7.59,6.69,7.35,6.80,8.95,15.43,15.01,21.11,18.93,13.71,13.39,21.66,17.85,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,307.01,354.66,260.14,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,699.84,560.08,355.96,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-73.79,-75.82,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.02,-,0.04,0.01
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,0.16,0.28,0.15,2.86,-,0.29,1.37
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-0.09,-0.05,-,-,0.40,-,324.75,-
18,Asset Turnover,-,0.24,0.23,0.25,0.26,0.25,0.16,0.08,0.19,0.34,0.33,0.48,-,-,-,-,
19,Inventory Turnover,-,-,1.48,1.89,1.78,2.53,1.30,0.97,0.44,1.49,1.98,2.55,2.84,-,-,-,-
20,Quick Ratio,-,-,4.40,7.12,7.08,7.78,8.66,6.69,12.72,13.17,14.86,14.84,18.27,4.50,-,6.73,-
21,Current Ratio,-,-,5.34,8.10,8.43,9.12,11.98,7.91,14.94,14.83,16.44,16.28,19.86,5.82,-,7.87,-
22,Return on Equity (ROE),-20.16%,-19.03%,-16.10%,-10.94%,-15.05%,-4.93%,-2.78%,11.57%,-9.12%,0.73%,3.01%,3.46%,-,-,17.66%,-,
23,Return on Assets (ROA),-,-8.46%,-10.09%,-6.97%,-11.99%,-3.01%,-6.31%,-9.90%,-7.82%,0.62%,0.69%,1.76%,-,-,-,-,
24,Return on Capital (ROIC),-13.41%,-9.60%,-11.17%,-7.67%,-13.05%,-3.31%,-6.87%,-10.59%,-8.43%,0.67%,0.74%,1.98%,-,-,5.91%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,0.60%,1.19%,1.49%,-,-,1.90%,-
26,Earnings Yield,-5.61%,-6.22%,-5.71%,-4.69%,-2.91%,-0.75%,-0.38%,0.02%,0.29%,-0.16%,0.20%,0.22%,0.36%,-,-,-,-
27,FCF Yield,-,-4.44%,-5.04%,-4.93%,-5.59%,-5.86%,-3.04%,-2.38%,-1.13%,-1.10%,-0.70%,-0.58%,-,-,-,-,
28,Buyback Yield / Dilution,1.95%,7.15%,-0.75%,-1.08%,4.31%,-40.36%,2.71%,10.41%,-3.23%,17.71%,-17.56%,10.37%,-80.03%,-,-,-,-
29,Total Shareholder Return,1.95%,7.15%,-0.75%,-1.08%,4.31%,-40.36%,2.71%,10.41%,-3.23%,17.71%,-17.56%,10.37%,-80.03%,-,-,-,-
