,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,1693,3720,3473,4506,2363,-,2821,-,2600,2578,Upgrade
1,Revenue Growth (YoY),-51.24%,-17.45%,46.96%,-,-16.23%,-,8.50%,-,40.73%,16.74%,Upgrade
2,Cost of Revenue,1671,3496,3239,4346,2252,-,2449,-,2321,2328,Upgrade
3,Gross Profit,21.97,224.22,233.78,160.29,110.98,-,371.52,-,279.14,250.1,Upgrade
4,"Selling, General & Admin",141.68,203.56,176.12,263.02,81.49,-,199.46,-,247.16,278.88,Upgrade
5,Other Operating Expenses,-,-,-,-5.06,-,-,-,-,-,-94.73,Upgrade
6,Operating Expenses,141.95,202.88,164.15,283.74,81.99,-,208.77,-,247.18,189.41,Upgrade
7,Operating Income,-119.98,21.34,69.64,-123.45,28.99,-,162.74,-,31.95,60.69,Upgrade
8,Interest Expense,-31.36,-35.33,-35.79,-33.8,-44.99,-,-60.76,-,-65.74,-64.65,Upgrade
9,Interest & Investment Income,7.39,16.25,17.85,8.35,18.02,-,2.57,-,4.66,9.73,Upgrade
10,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-0.16,-0.72,Upgrade
11,Currency Exchange Gain (Loss),2.27,-9.8,40.8,40.11,3.81,-,-0.4,-,3.17,5.57,Upgrade
12,Other Non Operating Income (Expenses),65.3,16.19,56.7,6.99,19.23,-,52.93,-,56.97,-,Upgrade
13,EBT Excluding Unusual Items,-76.38,8.66,149.19,-101.81,25.06,-,157.09,-,30.85,10.61,Upgrade
14,Gain (Loss) on Sale of Investments,0.05,-,-,0.6,-,-,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Assets,19.34,-1.06,0.35,-1.02,1.67,-,8.13,-,1.42,-127.37,Upgrade
16,Asset Writedown,-48.77,-,-,-43.04,-,-,-,-,-68.59,-15.17,Upgrade
17,Other Unusual Items,-,-,-,-1.51,1.51,-,-,-,-,-26.98,Upgrade
18,Pretax Income,-105.75,7.6,149.53,-146.78,28.24,-,165.22,-,-36.32,-158.9,Upgrade
19,Income Tax Expense,-4.04,-6.93,22.39,15.99,0.2,-,44.57,-,6.38,18.35,Upgrade
20,Earnings From Continuing Operations,-101.72,14.52,127.15,-162.77,28.04,-,120.65,-,-42.7,-177.25,Upgrade
21,Earnings From Discontinued Operations,-,-,-,1141,105.68,-,-,-,-,-,Upgrade
22,Net Income to Company,-101.72,14.52,127.15,978.37,133.72,-,120.65,-,-42.7,-177.25,Upgrade
23,Minority Interest in Earnings,0.57,-2.53,-27.24,-88.97,-65.96,-,-59.31,-,-11.79,5.96,Upgrade
24,Net Income,-101.15,12,99.91,889.4,67.76,-,61.34,-,-54.49,-171.29,Upgrade
25,Net Income to Common,-101.15,12,99.91,889.4,67.76,-,61.34,-,-54.49,-171.29,Upgrade
26,Net Income Growth,-,-98.65%,47.44%,-,10.47%,-,-,-,-,-,Upgrade
27,Shares Outstanding (Basic),3324,3324,3324,3324,3324,-,3296,-,3180,3212,Upgrade
28,Shares Outstanding (Diluted),3324,3324,3324,3324,3324,-,3296,-,3180,3212,Upgrade
29,Shares Change (YoY),-,-,-,-,0.84%,-,3.63%,-,-0.98%,-,Upgrade
30,EPS (Basic),-0.03,0.00,0.03,0.27,0.02,-,0.02,-,-0.02,-0.05,Upgrade
31,EPS (Diluted),-0.03,0.00,0.03,0.27,0.02,-,0.02,-,-0.02,-0.05,Upgrade
32,EPS Growth,-,-98.65%,47.44%,-,9.55%,-,-,-,-,-,Upgrade
33,Free Cash Flow,-227.86,-417.62,-502.86,1719,-26.17,-,191.53,-,77.66,313.74,Upgrade
34,Free Cash Flow Per Share,-0.07,-0.13,-0.15,0.52,-0.01,-,0.06,-,0.02,0.10,Upgrade
35,Operating Margin,-7.09%,0.57%,2.01%,-2.74%,1.23%,-,5.77%,-,1.23%,2.35%,Upgrade
36,Profit Margin,-5.97%,0.32%,2.88%,19.74%,2.87%,-,2.17%,-,-2.10%,-6.64%,Upgrade
37,Free Cash Flow Margin,-13.46%,-11.23%,-14.48%,38.16%,-1.11%,-,6.79%,-,2.99%,12.17%,Upgrade
38,EBITDA,-45.14,98.23,143.76,37.87,173.51,-,294.39,-,157.98,177.07,Upgrade
39,D&A For EBITDA,74.84,76.89,74.13,161.32,144.52,134.94,131.64,170.95,126.02,116.38,Upgrade
40,EBIT,-119.98,21.34,69.64,-123.45,28.99,-,162.74,-,31.95,60.69,Upgrade
