,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+14 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+14 Quarters
0,Market Capitalization,17954781,19138965,16959324,14108578,14132778,13309979,12825980,12511380,13527779,13019579,14495777,13859986,13463987,12077988,8499996,7149996,7239996,6669997,6592000,6792000,6560000,Upgrade
1,Market Cap Growth,43.79%,43.79%,32.23%,12.77%,4.47%,2.23%,-11.52%,-9.73%,0.47%,7.80%,70.54%,93.85%,85.97%,81.08%,28.94%,5.27%,10.37%,-1.80%,-3.06%,1.07%,-1.56%,Upgrade
2,Enterprise Value,21968561,24892034,22707132,19949466,19227489,18108838,17046600,16880354,17579702,17732847,19485813,18565439,16251730,14947016,11209162,9554055,9442124,10310391,9951022,10088097,10373056,Upgrade
3,Last Close Price,56100.00,59800.00,58400.00,48583.33,48666.67,45833.33,44166.67,43083.33,46583.33,43977.74,48964.06,46816.45,45478.83,40797.19,28711.39,24151.34,24455.34,22529.99,22266.52,22942.09,22158.43,Upgrade
4,PE Ratio,54.36,57.94,66.86,77.03,50.43,26.82,19.68,18.03,17.09,24.13,24.19,23.58,34.08,34.69,26.97,22.83,23.53,22.17,11.93,13.42,12.91,Upgrade
5,PS Ratio,9.46,10.08,13.35,20.59,11.95,7.14,5.13,4.92,5.93,6.05,4.31,4.10,4.27,4.63,4.52,3.71,3.26,3.08,2.02,2.17,2.09,Upgrade
6,PB Ratio,3.70,3.77,4.06,3.47,3.50,3.36,3.24,3.19,3.54,3.46,3.98,3.89,4.18,3.56,2.78,2.39,2.44,2.25,2.20,2.52,2.44,Upgrade
7,P/TBV Ratio,3.94,3.94,4.29,3.67,3.70,3.57,3.45,3.40,3.77,3.71,4.33,4.25,4.41,3.79,2.98,2.57,2.62,2.42,2.57,2.73,2.65,Upgrade
8,P/FCF Ratio,59.81,-,-10.56,-,-,-,-,-,12.12,-32.95,1666.40,-,-,26.87,-,6.78,-,4.75,8.57,-,-90.42,Upgrade
9,P/OCF Ratio,59.17,-,-10.98,-,-,-,-,-,8.24,37.79,45.04,-20.29,-,22.40,-,5.26,5.87,3.90,7.04,13.24,13.59,Upgrade
10,EV/Sales Ratio,11.57,13.11,17.87,29.11,16.26,9.71,6.82,6.64,7.70,8.24,5.79,5.49,5.15,5.73,5.96,4.95,4.25,4.76,3.05,3.22,3.31,Upgrade
11,EV/EBITDA Ratio,80.93,113.56,86.23,84.52,37.17,18.35,13.67,12.96,14.41,21.12,25.85,28.42,35.70,39.66,30.51,21.21,17.39,20.42,11.44,12.92,-,Upgrade
12,EV/EBIT Ratio,94.20,139.44,102.25,103.02,40.79,19.29,14.31,13.49,14.97,22.15,26.69,29.43,37.35,41.90,32.26,22.19,18.18,21.37,11.67,13.31,-,Upgrade
13,EV/FCF Ratio,73.18,-,-14.14,-,-,-,-,-,15.75,-44.88,2240.04,-,-,33.25,-,9.07,-,7.34,12.94,-,-142.98,Upgrade
14,Debt / Equity Ratio,0.90,0.90,1.36,1.53,1.61,1.35,1.21,1.20,1.21,1.23,1.33,1.43,1.56,1.11,0.98,1.07,0.99,1.03,1.22,1.40,1.45,Upgrade
15,Debt / EBITDA Ratio,20.99,22.88,11.13,76.81,76.09,14.28,11.92,3.92,2.36,3.27,7.79,5.81,11.35,3.50,13.61,37.42,22.86,2.93,6.62,8.30,-,Upgrade
16,Debt / FCF Ratio,15.15,-,-3.54,-,-,-,-,-,4.14,-11.72,556.99,-,-,8.35,-,3.03,-,2.16,4.76,-,-53.73,Upgrade
17,Asset Turnover,-,0.30,0.06,0.04,0.04,0.10,0.24,0.29,0.28,0.11,0.15,0.27,0.80,0.13,0.07,0.06,0.51,0.16,0.20,0.04,Upgrade,
18,Inventory Turnover,0.48,-,0.79,0.14,0.09,-,0.23,0.45,0.49,0.33,0.10,0.13,0.53,2.18,0.44,0.20,0.16,1.67,0.35,0.60,0.13,Upgrade
19,Quick Ratio,0.78,0.56,0.49,0.31,0.37,0.15,0.16,0.26,0.20,0.43,0.29,0.53,0.55,0.46,0.33,0.41,0.40,0.54,0.54,0.89,0.90,Upgrade
20,Current Ratio,2.83,2.83,2.06,1.98,2.06,1.27,1.63,1.28,1.51,1.91,2.78,4.29,4.18,1.90,1.27,1.37,1.23,1.41,1.62,1.72,1.90,Upgrade
