,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+14 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+14 Quarters
0,Cash & Equivalents,457372,99616,435437,573012,191400,183889,227649,382175,488447,298794,282664,419380,1122726,332004,625573,717129,1030552,441137,624028,802983,Upgrade
1,Short-Term Investments,294204,55725,250194,295208,301218,46668,513130,101605,333480,125207,121959,45380,45380,-,275.96,2000,4276,4000,6000,15527,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53015,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,751576,155341,685631,868220,492618,230557,740779,483780,821927,424001,404623,464759,1168105,332004,678864,719129,1034828,445137,630028,818510,Upgrade
4,Cash Growth,52.57%,-32.62%,-7.44%,79.47%,-40.07%,-45.62%,83.08%,4.09%,-29.64%,27.71%,-40.40%,-35.37%,12.88%,-25.42%,7.75%,-12.14%,55.36%,-24.25%,63.17%,199.62%,Upgrade
5,Accounts Receivable,152858,289376,143388,147730,62226,52542,45618,56034,87950,163367,357290,318712,351130,925681,843250,922824,1044202,1705962,2358645,1974920,Upgrade
6,Other Receivables,108419,807854,117662,105130,150323,165408,146531,180908,212739,149483,127125,143731,110125,179351,209073,149450,119521,132075,219292,194324,Upgrade
7,Receivables,784013,1535798,787154,968232,1107858,1246391,1208166,1621329,1632928,1322850,1450415,1344443,937755,1573532,1553822,1588274,1757495,2814236,3135437,2756744,Upgrade
8,Inventory,2946174,3347634,3858433,3746836,3696785,2040915,1980896,1987434,1925600,3939288,4086116,4092157,3442825,2214508,2192487,2049274,1803209,2533199,1950690,2139323,Upgrade
9,Prepaid Expenses,4525,14984,5823,6456,7793,16195,26970,56112,41448,46763,41197,13046,51520,236202,224046,204163,178834,149065,6315,2125,Upgrade
10,Other Current Assets,666003,249437,635933,622703,645344,912896,700489,1306764,614649,1384787,1231609,1170532,1173130,1097583,1066775,936055,1019143,855128,520300,592334,Upgrade
11,Total Current Assets,5152292,5303194,5972974,6212447,5950397,4446954,4657299,5455420,5036552,7117688,7213960,7084937,6773335,5453829,5715994,5496895,5793508,6796764,6242770,6309036,Upgrade
12,"Property, Plant & Equipment",3178472,3173234,3015019,2980455,3259397,3243230,3233492,3208449,3225727,1489699,1292889,954910,934750,1516707,1426834,1058233,1010687,975515,924213,870297,Upgrade
13,Long-Term Investments,1593639,1577883,1562770,1552988,1742583,1717337,1709360,1457130,1439388,1435966,1435246,1460134,1475585,1268491,1266164,1262168,982561,583435,567419,560073,Upgrade
14,Other Intangible Assets,5167,5418,5748,5694,5028,5270,5081,5294,5516,5671,5561,5807,6037,4562,4524,4859,4821,4970,5119,5400,Upgrade
15,Long-Term Accounts Receivable,3379,6005,8018,10008,11977,14231,16244,18234,20203,22411,24388,-,-,-,-,-,-,-,-,-,Upgrade
16,Long-Term Deferred Tax Assets,115008,114238,116438,96455,91810,80709,54338,52608,58641,9507,4847,3999,2777,1555,1395,1547,1327,3247,2624,1774,Upgrade
17,Other Long-Term Assets,1096202,1108721,1118510,1074172,1469666,1313695,1324805,1299829,1309963,819721,837571,632593,642998,1526437,1494586,1911941,1910630,1455600,1513554,1442320,Upgrade
18,Total Assets,11144158,11288693,11799476,11932218,12530858,10821426,11000620,11496964,11095990,10900664,10814463,10142381,9835484,9771581,9909498,9735642,9703534,9819531,9255699,9188900,Upgrade
19,Accounts Payable,102581,94104,82048,69239,86420,59226,194511,167292,228517,201802,95949,225554,344264,211201,108538,265383,292907,167788,217169,252880,Upgrade
20,Accrued Expenses,329931,249879,237789,159122,821130,379901,410500,537249,358420,293524,357413,341419,293606,184841,178699,407946,235554,371184,384435,409559,Upgrade
21,Short-Term Debt,256915,1884256,335387,144001,178791,222696,218457,196039,199543,172009,158291,179164,209461,377846,563689,844763,691446,1067794,884680,754793,Upgrade
22,Current Portion of Long-Term Debt,709509,-,1856129,2133121,1916859,1054353,1622253,1172460,595199,898121,337250,491691,1585015,1149875,799394,688415,580809,875251,841956,834622,Upgrade
23,Current Income Taxes Payable,29424,-,1717,1344,231775,231938,204174,138732,194956,93305,56363,18482,28621,28604,22596,15379,97495,67493,27030,18663,Upgrade
24,Current Unearned Revenue,78659,2278,77489,82142,109183,100049,109664,77052,97745,76163,89039,76214,89421,78094,76938,76021,76420,1243,1086,609.32,Upgrade
25,Other Current Liabilities,311024,347782,432948,423950,1330401,687593,871423,1324388,961993,828198,586042,361961,1014289,2269888,2434634,2173068,2122866,1645621,1263466,1049553,Upgrade
26,Total Current Liabilities,1818043,2578300,3023506,3012918,4674559,2735756,3630983,3613211,2636373,2563122,1680347,1694485,3564679,4300348,4184489,4470976,4097496,4196374,3619822,3320679,Upgrade
27,Long-Term Debt,3582399,3808449,4027690,4225307,3262827,3520003,2881286,3257367,3835222,3775031,4607129,4337106,1958984,1473483,1825151,1390726,1764608,1716170,2061417,2309023,Upgrade
28,Long-Term Deferred Tax Liabilities,21219,13776,16630,13276,19786,22675,26006,30173,34784,24493,25227,6742,6742,-,-,-,-,-,-,-,Upgrade
29,Other Long-Term Liabilities,645412,714412,669332,644232,607056,588829,540594,774697,830904,895506,941300,883831,910634,940174,912841,909556,883205,914570,877650,865706,Upgrade
30,Total Liabilities,6067073,7114937,7737158,7895733,8564229,6867263,7078869,7675447,7337284,7258153,7254003,6922164,6441039,6714005,6922482,6771259,6745309,6827114,6558889,6495408,Upgrade
31,Common Stock,3200496,2903994,2419996,2419996,2419996,2419996,2419996,2419996,2419996,2199998,2199998,2199998,2199998,1999999,1999999,1999999,1999999,1600000,1600000,1600000,Upgrade
32,Additional Paid-In Capital,574657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
33,Retained Earnings,1077811,974070,1348101,1329823,1237794,1221816,1182366,1094646,1014838,1052319,970388,759882,893973,850161,779632,757512,750544,958512,888224,869734,Upgrade
34,Comprehensive Income & Other,7589,79986,79986,79986,79986,79986,79986,79986,79986,98085,98085,98085,98085,7589,7589,7589,7589,7589,7589,7589,Upgrade
35,Total Common Equity,4860552,3958050,3848084,3829805,3737777,3721799,3682348,3594629,3514821,3350402,3268472,3057966,3192056,2857748,2787220,2765100,2758132,2566101,2495813,2477323,Upgrade
36,Minority Interest,216533,215706,214234,206679,228853,232365,239403,226888,243886,292109,291988,162251,202389,199828,199796,199283,200093,426317,200997,216169,Upgrade
37,Shareholders' Equity,5077085,4173756,4062318,4036485,3966629,3954164,3921751,3821517,3758707,3642511,3560460,3220217,3394445,3057576,2987016,2964384,2958224,2992418,2696810,2693492,Upgrade
38,Total Liabilities & Equity,11144158,11288693,11799476,11932218,12530858,10821426,11000620,11496964,11095990,10900664,10814463,10142381,9835484,9771581,9909498,9735642,9703534,9819531,9255699,9188900,Upgrade
39,Total Debt,4548823,5692705,6219205,6502429,5358476,4797052,4721996,4625866,4629964,4845161,5102671,5007961,3753460,3001205,3188234,2923904,3036863,3659214,3788052,3898438,Upgrade
40,Net Cash (Debt),-3797247,-5537363,-5533574,-5634209,-4865859,-4566495,-3981218,-4142086,-3808037,-4421159,-4698048,-4543201,-2585355,-2669200,-2509370,-2204775,-2002035,-3214078,-3158025,-3079928,Upgrade
41,Net Cash Per Share,-11859.37,-19084.50,-19055.04,-19401.58,-16785.99,-15723.02,-11992.78,-13766.71,-11880.65,-15207.54,-16180.50,-15222.72,-8902.77,-9191.47,-8641.09,-7592.20,-8461.10,-11067.76,-10033.23,-11576.80,Upgrade
42,Filing Date Shares Outstanding,320.05,290.15,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,Upgrade
43,Total Common Shares Outstanding,320.05,290.15,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,290.4,Upgrade
44,Working Capital,3334249,2724894,2949467,3199528,1275837,1711198,1026316,1842209,2400179,4554566,5533613,5390452,3208657,1153481,1531505,1025919,1696012,2600391,2622948,2988357,Upgrade
45,Book Value Per Share,15186.87,13641.41,13251.00,13188.06,12871.15,12816.13,12680.28,12378.22,12103.40,11537.21,11255.08,10530.20,10991.94,9840.74,9597.87,9521.70,9497.70,8836.43,8594.40,8530.73,Upgrade
46,Tangible Book Value,4855385,3952633,3842335,3824112,3732748,3716529,3677267,3589335,3509305,3344731,3262910,3052158,3186019,2853187,2782696,2760241,2753311,2561131,2490694,2471923,Upgrade
47,Tangible Book Value Per Share,15170.73,13622.73,13231.20,13168.45,12853.84,12797.99,12662.78,12359.99,12084.40,11517.68,11235.93,10510.20,10971.15,9825.03,9582.29,9504.97,9481.10,8819.32,8576.77,8512.13,Upgrade
48,Buildings,494401,-,494401,494401,494401,494401,494401,494401,494401,486884,486884,580181,580181,580181,580181,580181,580181,584523,584523,584523,Upgrade
49,Machinery,85853,-,85702,85702,86138,85355,83662,84257,84078,77047,76767,36969,32089,32089,31203,33759,26241,26962,29481,29481,Upgrade
50,Construction In Progress,2648755,2637514,2473003,2432113,2704416,2682149,2667683,2636289,2647566,926325,723764,379683,359670,936743,842800,468109,423210,379346,322513,260083,Upgrade
