,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Revenue,132.41,111.79,117.5,104.3,101.04,88.18,82.28,51.65,68.27,50.47,55.84,66.36,73.56
1,Revenue Growth (YoY),31.04%,26.78%,42.81%,101.95%,48.01%,74.72%,47.34%,-22.17%,-7.19%,-,-,-,-
2,Cost of Revenue,60.59,43.44,55.54,47.87,46.04,41.45,37.87,23.29,35.1,14.34,24.19,24.31,26.84
3,Gross Profit,71.82,68.35,61.96,56.43,55.01,46.73,44.41,28.36,33.17,36.13,31.65,42.05,46.72
4,"Selling, General & Admin",9.69,10.63,9.45,8.91,10.13,7.78,8.02,9.49,7.83,7.89,8.04,6.6,6.55
5,Research & Development,25.21,28.32,24.05,22.39,25.47,19.09,16.04,13.92,14.46,14.14,16.11,10.69,12.96
6,Other Operating Expenses,-5.51,-3.73,2.24,-1.84,-4.83,-0.67,-1.78,-1.41,8.17,-0.57,-4.57,-1.07,3.66
7,Operating Expenses,28.29,35.11,35.8,30.61,29.85,26.23,22.69,22.49,29.8,22.16,19.65,16.21,22.62
8,Operating Income,43.53,33.24,26.15,25.82,25.15,20.5,21.72,5.87,3.36,13.97,12,25.83,24.1
9,Interest Expense,-0.78,-0.01,-0.01,-0.01,-,-0.01,-0.02,-0.02,-0,-0,-0.01,-,-0.01
10,Interest & Investment Income,0.03,2.84,10.6,2.83,3.13,2.43,4.23,1.74,0.93,0.91,0.64,0.82,0.79
11,Currency Exchange Gain (Loss),-,2.34,-2.34,-,-,-0.5,0.5,-,1.4,-0.85,0.85,-,-0.6
12,Other Non Operating Income (Expenses),5.87,-3.62,0.77,-0.82,-0.11,-0.28,3.56,0.13,-1.83,1.19,0.43,0.13,-0.61
13,EBT Excluding Unusual Items,48.65,34.79,35.18,27.83,28.17,22.14,29.99,7.72,3.87,15.22,13.91,26.78,23.66
14,Gain (Loss) on Sale of Investments,5.18,3.39,-4,4.83,4.78,6.91,4.49,1,-0.08,-0.09,0.82,-0.29,-0.26
15,Gain (Loss) on Sale of Assets,0.03,-,-,-,-,-,-,-,-0.01,-,-,-,-0.01
