,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,359.92,758.2,640.56,112.45,112.33,311.08,384.44,505.07,62.8,46.9,66.59,-,67.45
1,Trading Asset Securities,867.89,404.22,495.82,1093,1158,912.25,824.72,681,100.36,100.44,100.53,-,100.37
2,Cash & Short-Term Investments,1228,1162,1136,1205,1271,1223,1209,1186,163.17,147.34,167.12,167.83,167.83
3,Cash Growth,-3.36%,-4.98%,-6.02%,1.63%,678.66%,730.29%,623.52%,606.73%,-2.78%,-,-,-,-
4,Accounts Receivable,33.54,26.01,28.13,26.94,5.25,20.06,19.58,16.94,2.4,14.58,1.63,-,0.57
5,Other Receivables,0.15,0.17,0.17,0.28,0.12,0.27,0.19,0.22,0.33,0.37,0.17,-,0.15
6,Receivables,33.68,26.18,28.3,27.22,5.37,20.32,19.77,17.16,2.73,14.95,1.8,-,0.72
7,Inventory,114.77,130.08,119.04,86.48,73.09,69.64,67.76,81.44,84.88,76.67,54.11,-,43.64
8,Prepaid Expenses,-,0.08,1.01,8.19,-,-,0.5,-,0.16,0.63,0.08,-,1.27
9,Other Current Assets,1.75,3.21,18.55,42.45,24.4,12.15,8.3,6.16,7.59,9.26,12.13,-,12.1
10,Total Current Assets,1378,1322,1303,1370,1373,1325,1305,1291,258.53,248.85,235.24,-,225.55
11,"Property, Plant & Equipment",101.76,106.37,105.35,101.95,105.19,103.24,96.21,94.93,93.63,94.51,96.75,-,97.43
12,Other Intangible Assets,12.46,12.14,13.24,13.9,7.37,8.36,9.34,2.41,2.97,3.56,4.12,-,4.36
13,Long-Term Deferred Tax Assets,3.74,2.1,2.08,0.42,-,0.5,1.17,1.83,2.03,2.23,2.01,-,1.57
14,Long-Term Deferred Charges,1.41,-,-,-,-,0.19,0.47,0.76,1.04,1.32,1.61,-,2.23
15,Other Long-Term Assets,4.97,1.9,2.4,8.21,0.61,6.53,8.8,8.38,1.49,1.04,1.5,-,0.18
16,Total Assets,1502,1444,1426,1494,1487,1444,1421,1399,359.69,351.51,341.23,-,331.32
17,Accounts Payable,14.79,18.99,21.32,21.47,15.45,6.79,6.78,6.26,5.94,9.98,6.63,-,13.87
18,Accrued Expenses,27.68,21.35,16.1,9.62,20.88,8.92,11.41,8.21,13.24,8.84,11.94,-,12.75
19,Current Portion of Long-Term Debt,0.53,-,-,-,0.49,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,0.51,0.5,0.49,-,-,0.53,-,0.53,0.11,0.32,-,0.64
21,Current Income Taxes Payable,7.71,4.24,1.75,3.57,1.47,1.42,-,1.58,-,-,-,-,1.11
22,Current Unearned Revenue,0.27,3.48,7.44,7.77,7.67,4.18,4.21,4.24,5.4,7.17,8.28,-,5.75
23,Other Current Liabilities,5.59,8.73,9.4,8.67,0.44,15.1,15.64,12.03,4.19,14.79,14.56,-,3.55
24,Total Current Liabilities,56.57,57.3,56.51,51.58,46.41,36.4,38.58,32.32,29.31,40.89,41.73,-,37.67
25,Long-Term Leases,-,0.13,0.27,0.4,0.55,0.63,0.74,0.86,0.95,-,-,-,-
26,Long-Term Unearned Revenue,13.99,9.91,8.59,9.35,9.87,10.21,11.19,12.22,13.27,14.6,13.1,-,15.6
27,Long-Term Deferred Tax Liabilities,-,-,-,-,0.24,-,-,-,-,0.04,0.05,-,0.04
28,Other Long-Term Liabilities,-,-,-,-,-,-,2.69,-,-,-,-,-,2.61
29,Total Liabilities,70.56,67.35,65.36,61.33,57.07,47.24,53.2,45.4,43.53,55.54,54.89,-,55.92
30,Common Stock,102.28,102.28,102.28,69.26,69.26,69.26,69.26,69.26,51.94,51.94,51.94,-,51.94
31,Additional Paid-In Capital,1056,1052,1048,1078,1075,1075,1075,1074,60.94,60.15,59.91,-,59.64
32,Retained Earnings,333.14,282.71,250.83,316.21,285.2,252.92,224.45,210.58,203.28,183.89,174.49,-,163.68
33,Treasury Stock,-59.63,-59.63,-40.44,-30.46,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,0,-0,0,-,-,-,-,-,-,-,-,-,0.13
35,Shareholders' Equity,1432,1377,1361,1433,1429,1397,1368,1354,316.16,295.97,286.34,275.4,275.4
36,Total Liabilities & Equity,1502,1444,1426,1494,1487,1444,1421,1399,359.69,351.51,341.23,-,331.32
37,Total Debt,0.53,0.65,0.77,0.88,1.04,0.63,1.28,0.86,1.48,0.11,0.32,0.64,0.64
38,Net Cash (Debt),1227,1162,1136,1205,1269,1223,1208,1185,161.68,147.23,166.8,167.18,167.18
39,Net Cash Growth,-3.32%,-4.98%,-5.98%,1.63%,685.16%,730.47%,624.16%,608.93%,-3.29%,-,-,-,-
40,Net Cash Per Share,12.23,11.29,11.17,11.81,12.47,11.88,11.69,14.26,2.08,1.91,2.19,2.16,2.21
41,Filing Date Shares Outstanding,100.31,102.86,101.8,101.98,102.5,102.5,102.5,102.5,102.5,76.88,76.88,77.33,76.88
42,Total Common Shares Outstanding,100.31,102.86,101.8,101.98,102.5,102.5,102.5,102.5,76.88,76.88,76.88,77.33,76.88
43,Working Capital,1321,1265,1247,1318,-,1289,1267,1259,229.22,207.95,193.51,-,187.88
44,Book Value Per Share,14.27,13.39,13.37,14.05,13.95,13.63,13.35,13.21,4.11,3.85,3.72,3.58,3.58
45,Tangible Book Value,1419,1365,1348,1419,-,1389,1359,1351,313.19,292.42,282.23,271.05,271.05
46,Tangible Book Value Per Share,14.15,13.27,13.24,13.91,13.87,13.55,13.26,13.18,4.07,3.80,3.67,3.53,3.53
47,Buildings,-,-,71.31,-,-,-,71.31,-,71.31,71.31,71.31,-,67.61
48,Machinery,-,-,58.46,-,-,-,44.73,-,43.09,42.72,41.68,-,40.13
49,Construction In Progress,-,-,0.62,-,-,-,0.03,-,-,-,-,-,0.56
