,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,10624,7944,5749,5830,5996,8226,6531,7622,6416,-,-,-,-,-
1,Market Cap Growth,-3.42%,-3.42%,-11.98%,-23.50%,-6.55%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9396,6783,4613,4626,4726,7003,5323,6437,6269,-,-,-,-,-
3,Last Close Price,104.36,78.04,56.47,57.30,57.52,78.92,62.66,73.12,61.37,-,-,-,-,-
4,PE Ratio,73.49,55.01,45.53,47.46,47.43,80.10,72.72,107.75,122.28,-,-,-,-,-
5,Forward PE,49.07,40.72,31.57,35.17,43.21,62.69,53.94,73.24,-,-,-,-,-,-
6,PS Ratio,22.78,17.05,13.23,14.19,15.95,25.46,22.49,30.17,28.36,-,-,-,-,-
7,PB Ratio,7.31,5.55,4.17,4.28,4.18,5.75,4.68,5.57,4.74,-,-,-,-,-
8,P/TBV Ratio,5.60,5.60,4.21,4.33,4.23,-,4.70,5.61,4.75,-,-,-,-,-
9,P/FCF Ratio,120.56,90.15,87.53,185.96,-,117.81,128.97,313.76,-,-,-,-,-,-
10,P/OCF Ratio,67.97,67.97,68.57,115.33,-,79.54,75.16,144.45,174.22,-,-,-,-,-
11,EV/Sales Ratio,20.16,14.55,10.61,11.25,12.58,21.67,18.33,25.48,27.71,-,-,-,-,-
12,EV/EBITDA Ratio,62.67,46.45,36.30,40.78,43.37,79.48,81.97,112.24,133.21,-,-,-,-,-
13,EV/EBIT Ratio,72.99,52.68,41.80,47.38,50.71,95.62,103.46,143.28,178.10,-,-,-,-,-
14,EV/FCF Ratio,106.63,76.97,70.24,147.54,-,100.29,105.12,264.97,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Debt / EBITDA Ratio,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.00,0.01,0.01,0.01
17,Debt / FCF Ratio,0.01,0.01,0.01,0.02,-,0.01,0.01,0.05,-,0.06,-,-0.03,-0.02,-
18,Asset Turnover,0.36,0.31,0.32,0.28,0.28,0.25,0.23,0.23,0.77,0.58,-,-,-,
19,Inventory Turnover,2.21,1.98,1.39,2.16,2.40,2.58,2.41,2.03,1.12,1.74,0.88,-,-,-
20,Quick Ratio,22.30,22.30,20.74,20.61,23.90,27.49,34.16,31.86,37.23,5.66,3.97,4.05,-,4.47
21,Current Ratio,24.36,24.36,23.07,23.06,26.55,29.59,36.41,33.84,39.94,8.82,6.09,5.64,-,5.99
22,Return on Equity (ROE),14.36%,9.31%,8.90%,8.67%,9.14%,8.23%,10.18%,3.50%,25.35%,12.91%,23.33%,34.91%,-,
23,Return on Assets (ROA),7.39%,5.79%,4.48%,4.33%,4.29%,3.58%,3.85%,1.67%,2.36%,10.08%,-,-,-,
24,Return on Capital (ROIC),7.74%,6.07%,4.68%,4.51%,4.45%,3.70%,3.99%,1.75%,2.74%,11.99%,10.66%,23.39%,-,
25,Return on Capital Employed (ROCE),8.90%,8.90%,7.96%,7.13%,6.46%,5.09%,3.65%,3.25%,2.58%,16.70%,24.44%,20.68%,-,8.21%
26,Earnings Yield,1.36%,1.82%,2.20%,2.11%,2.11%,1.25%,1.38%,0.93%,0.82%,-,-,-,-,-
27,FCF Yield,0.83%,1.11%,1.14%,0.54%,0.59%,0.85%,0.78%,0.32%,0.19%,-,-,-,-,-
28,Payout Ratio,66.80%,-,1.05%,309.17%,-,-,-,59.96%,-,-,-,180.74%,-,-
29,Buyback Yield / Dilution,-3.98%,1.50%,0.08%,1.61%,-22.66%,-31.13%,-33.67%,-35.84%,-7.50%,-2.64%,-,-,-,-
30,Total Shareholder Return,-3.14%,1.50%,0.08%,1.61%,-22.66%,-31.13%,-33.67%,-35.84%,-7.50%,-2.64%,-,-,-,-
