,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q3 2019
,Period Ending,"Feb '25 Feb 28, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019"
0,Market Capitalization,27600,23520,24240,26880,20280,22920,32640,21840,19200,15000,18960,10320,12600,12600,12600
1,Market Cap Growth,-,2.62%,-25.74%,23.08%,5.62%,52.80%,72.15%,111.63%,52.38%,19.05%,50.48%,-,-,-,-
2,Enterprise Value,29699,27129,30459,33099,26499,40177,49897,39097,36457,36047,40007,-,-,-,-
3,Last Close Price,23000.00,19600.00,20200.00,21404.44,16148.89,18251.11,25991.11,8439.80,6998.04,5467.22,6691.88,3642.41,4023.60,4023.60,4023.60
4,PE Ratio,13.97,29.19,35.22,-,-,41.68,32.66,18.25,14.41,9.62,22.53,11.60,20.02,-,29.59
5,PS Ratio,0.21,0.19,0.22,0.27,0.20,0.23,0.32,0.22,0.21,0.17,0.22,0.11,0.18,0.26,0.46
6,PB Ratio,0.77,0.66,0.69,0.77,0.58,0.65,-,-,-,0.53,-,0.37,-,-,-
7,P/TBV Ratio,0.73,0.73,0.76,0.86,0.64,0.72,-,-,-,0.87,-,0.61,-,-,-
8,P/FCF Ratio,5.70,-2.46,-,-,-,-,-,-,-,3.36,5.01,-,6.11,12.22,-
9,P/OCF Ratio,2.24,-3.40,-,-1.87,-,-,-,-,-,3.36,5.01,-,6.11,12.22,-
10,EV/Sales Ratio,0.23,0.22,0.28,0.33,0.26,0.40,0.49,0.39,0.39,0.40,0.46,-,-,-,-
11,EV/EBIT Ratio,11.67,19.85,61.40,-,63.59,-,-,15.18,13.86,12.77,16.44,-,-,-,-
12,EV/FCF Ratio,6.14,-2.83,-,-,-,-,-,-,-,8.07,10.58,-,-,-,-
13,Debt / Equity Ratio,0.18,0.18,0.18,0.43,0.41,0.41,-,-,-,0.71,-,0.85,-,-,-
14,Debt / FCF Ratio,1.31,-0.66,-,-,-,-,-,-,-,4.45,-,-,-,-,-
15,Asset Turnover,2.63,-,-,-,-,-,-,-,-,-,-,-,-,-,
16,Inventory Turnover,43.55,59.77,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Quick Ratio,1.67,1.67,1.90,1.92,-,2.31,-,-,-,0.70,-,0.73,-,-,-
18,Current Ratio,1.85,1.85,2.15,2.19,-,2.71,-,-,-,0.96,-,0.85,-,-,-
19,Return on Equity (ROE),4.05%,-,-2.12%,-0.68%,-,-,-,-,-,-,-,-,-,-,
20,Return on Assets (ROA),2.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,
21,Return on Capital (ROIC),2.77%,-,-1.08%,1.19%,-,-,-,-,-,-,-,-,-,-,
22,Return on Capital Employed (ROCE),6.61%,3.55%,1.26%,-,-,-,-,-,-,7.63%,-,7.24%,-,-,-
23,Earnings Yield,7.16%,3.43%,2.84%,0.66%,2.40%,2.40%,3.06%,5.48%,6.94%,10.40%,4.44%,8.62%,4.99%,3.17%,3.38%
24,FCF Yield,17.54%,-40.72%,-,-58.35%,-79.55%,-24.81%,-4.86%,11.53%,15.51%,29.78%,19.94%,-,16.37%,8.19%,-
25,Payout Ratio,60.75%,-,-,-,-,8672.53%,11624.91%,480.21%,26706.16%,-,-,-,-,-,-
26,Buyback Yield / Dilution,-0.04%,0.05%,0.25%,-7.00%,0.18%,0.03%,-0.07%,6.58%,-1.18%,-0.10%,-,-,-,-,
27,Total Shareholder Return,4.12%,-0.04%,0.05%,0.25%,-7.00%,0.18%,0.03%,-0.07%,6.58%,-1.18%,-0.10%,-,-,-,-
