,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q3 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019"
0,Revenue,34543,31909,26550,27844,21849,23252,28170,26337,23963,22015,21052,22321,21785,27557
1,Revenue Growth (YoY),58.09%,37.23%,-5.75%,5.72%,-8.82%,5.62%,33.81%,18.00%,10.00%,-20.11%,-,-,-,-
2,Cost of Revenue,31727,28983,24562,26126,20309,21583,26092,24432,21491,19764,19169,20181,19955,25775
3,Gross Profit,2816,2925,1988,1718,1541,1670,2078,1906,2472,2251,1883,2139,1830,1782
4,"Selling, General & Admin",2352,2044,2201,1483,1947,1729,1431,1427,1662,1612,1180,1469,1410,917.78
5,Operating Expenses,2352,2044,2201,1483,1947,1729,1431,1427,1662,1612,1180,1469,1410,917.78
6,Operating Income,464.13,881.31,-213.8,235.16,-406.63,-59.24,647.43,478.59,810.31,638.87,702.87,670.72,420.48,864.28
7,Interest Expense,-207.84,-126.94,-1197,-292.24,-238.29,-196.73,-450.01,-429.33,-376.22,-363.05,-418.19,-409.13,-408.81,-456.04
8,Interest & Investment Income,-,0.58,-,0.49,891.34,448.01,0.5,0.48,0.63,0.56,0.49,0.47,0.6,0.48
9,Other Non Operating Income (Expenses),206.9,114.11,1225,-3.5,-4.28,-11.39,-43.5,-32.75,465.13,219.52,46.74,-27.5,-35.92,129.55
10,Pretax Income,463.19,869.06,-186.05,-60.09,242.14,180.65,154.42,17,899.85,495.9,331.91,234.55,-23.66,538.26
11,Income Tax Expense,103.54,176.81,-,-,-,-,29.5,14.75,208.16,118.28,71.43,4.91,2.45,112.45
12,Net Income,359.64,692.25,-186.05,-60.09,242.14,180.65,124.92,2.25,691.69,377.62,260.47,229.64,-26.11,425.81
13,Net Income to Common,359.64,692.25,-186.05,-60.09,242.14,180.65,124.92,2.25,691.69,377.62,260.47,229.64,-26.11,425.81
14,Net Income Growth,48.52%,283.20%,-,-,-64.99%,-52.16%,-52.04%,-99.02%,-,-11.32%,-,-,-,-
15,Shares Outstanding (Basic),1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,Shares Outstanding (Diluted),1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Shares Change (YoY),0.04%,-0.05%,-0.25%,7.00%,-0.18%,-0.03%,0.07%,-6.58%,1.18%,0.10%,-,-,-,-
18,EPS (Basic),299.90,577.00,-155.28,-50.00,202.00,150.50,104.00,2.00,576.00,314.50,217.00,191.00,-22.00,355.00
19,EPS (Diluted),299.90,577.00,-155.28,-50.00,202.00,150.50,104.00,2.00,576.00,314.50,217.00,191.00,-22.00,355.00
20,EPS Growth,48.47%,283.39%,-,-,-64.93%,-52.15%,-52.07%,-98.95%,-,-11.41%,-,-,-,-
21,Free Cash Flow,1338,-,-13.14,-10903,-2385,-2385,-459.2,-459.2,1718,1718,-,1031,1031,-
22,Free Cash Flow Per Share,1116.01,-,-10.97,-9073.15,-1989.21,-1986.60,-382.29,-408.86,1430.73,1430.92,-,857.84,869.04,-
23,Gross Margin,8.15%,9.17%,7.49%,6.17%,7.05%,7.18%,7.38%,7.24%,10.32%,10.22%,8.94%,9.58%,8.40%,6.47%
24,Operating Margin,1.34%,2.76%,-0.81%,0.84%,-1.86%,-0.25%,2.30%,1.82%,3.38%,2.90%,3.34%,3.00%,1.93%,3.14%
25,Profit Margin,1.04%,2.17%,-0.70%,-0.22%,1.11%,0.78%,0.44%,0.01%,2.89%,1.72%,1.24%,1.03%,-0.12%,1.55%
26,Free Cash Flow Margin,3.87%,-,-0.05%,-39.16%,-10.91%,-10.25%,-1.63%,-1.74%,7.17%,7.80%,-,4.62%,4.73%,-
27,EBIT,464.13,881.31,-213.8,235.16,-406.63,-59.24,647.43,478.59,810.31,638.87,702.87,670.72,420.48,864.28
28,EBIT Margin,1.34%,2.76%,-0.81%,0.84%,-1.86%,-0.25%,2.30%,1.82%,3.38%,2.90%,3.34%,3.00%,1.93%,3.14%
29,Effective Tax Rate,22.35%,20.35%,-,-,-,-,19.10%,86.78%,23.13%,23.85%,21.52%,2.09%,-,20.89%
30,Revenue as Reported,34543,31909,26550,27844,21849,23252,28170,26337,23963,22015,21052,22321,21785,27557
