,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q3 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019"
0,Cash & Equivalents,4260,2745,2572,-,2080,-,-,-,2641,-,2763,-,-,-
1,Short-Term Investments,-,-,6000,-,6000,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,4260,2745,8572,8080,8080,-,-,-,2641,-,2763,-,-,-
3,Cash Growth,-47.28%,-,-,-,205.99%,-,-,-,-,-,-,-,-,-
4,Accounts Receivable,18920,20675,20416,-,20470,-,-,-,11187,-,14678,-,-,-
5,Other Receivables,769.81,901.4,733.18,-,1082,-,-,-,263.93,-,332.61,-,-,-
6,Receivables,19690,21577,21149,-,21552,-,-,-,11451,-,15011,-,-,-
7,Inventory,1779,2468,3708,-,4152,-,-,-,4015,-,2422,-,-,-
8,Prepaid Expenses,312.89,438.47,242.89,-,477.68,-,-,-,354.22,-,169.22,-,-,-
9,Other Current Assets,413.38,263.65,185.74,-,473.42,-,-,-,756.4,-,188.19,-,-,-
10,Total Current Assets,26455,27492,33858,-,34735,-,-,-,19217,-,20554,-,-,-
11,"Property, Plant & Equipment",21607,19814,18067,-,18820,-,-,-,25305,-,27829,-,-,-
12,Long-Term Investments,66,66,66,-,66,-,-,-,66,-,66,-,-,-
13,Other Intangible Assets,3520,3520,3520,-,3520,-,-,-,11033,-,11033,-,-,-
14,Other Long-Term Assets,1153,1337,1385,-,1443,-,-,-,1434,-,1471,-,-,-
15,Total Assets,52801,52228,56895,-,58584,-,-,-,57054,-,60952,-,-,-
16,Accounts Payable,7010,5878,3659,-,4455,-,-,-,5436,-,6180,-,-,-
17,Accrued Expenses,2372,2924,2288,-,3246,-,-,-,1192,-,1133,-,-,-
18,Current Portion of Long-Term Debt,3569,2267,8325,-,3710,-,-,-,11067,-,14932,-,-,-
19,Current Income Taxes Payable,1267,1158,885.57,-,962.52,-,-,-,1484,-,1650,-,-,-
20,Current Unearned Revenue,36.92,411.14,83.12,-,83.12,-,-,-,566.43,-,192.55,-,-,-
21,Other Current Liabilities,67.18,172.99,214.67,-,377.92,-,-,-,301.88,-,133.23,-,-,-
22,Total Current Liabilities,14321,12811,15455,-,12835,-,-,-,20047,-,24220,-,-,-
23,Long-Term Debt,2791,4088,6526,-,10589,-,-,-,8830,-,8879,-,-,-
24,Total Liabilities,17112,16899,21981,-,23424,-,-,-,28877,-,33099,-,-,-
25,Common Stock,12000,12000,12000,-,12000,-,-,-,12000,-,12000,-,-,-
26,Additional Paid-In Capital,69.05,69.05,69.05,-,69.05,-,-,-,69.05,-,69.05,-,-,-
27,Retained Earnings,21987,21627,21211,-,21458,-,-,-,1441,-,1117,-,-,-
28,Comprehensive Income & Other,1634,1634,1634,-,1634,-,-,-,14667,-,14667,-,-,-
29,Shareholders' Equity,35689,35330,34914,35160,35160,-,-,-,28177,-,27853,-,-,-
30,Total Liabilities & Equity,52801,52228,56895,-,58584,-,-,-,57054,-,60952,-,-,-
31,Total Debt,6359,6354,14851,14299,14299,-,-,-,19897,-,23811,-,-,-
32,Net Cash (Debt),-2099,-3609,-6280,-6219,-6219,-,-,-,-17257,-,-21047,-,-,-
33,Net Cash Per Share,-1750.61,-3008.30,-5241.00,-5175.01,-5187.96,-,-,-,-14370.23,-,-17534.68,-,-,-
34,Filing Date Shares Outstanding,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.12,1.2,1.2,1.2,1.2,1.19,1.2
35,Total Common Shares Outstanding,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.12,1.2,1.2,1.2,1.2,1.19,1.2
36,Working Capital,12134,14681,18403,-,21900,-,-,-,-830.37,-,-3666,-,-,-
37,Book Value Per Share,29760.65,29447.93,29139.39,29331.15,29331.15,-,-,-,23463.74,-,23204.62,-,-,-
38,Tangible Book Value,32169,31809,31394,31640,31640,-,-,-,17144,-,16821,-,-,-
39,Tangible Book Value Per Share,26825.22,26513.78,26201.41,26394.55,26394.55,-,-,-,14276.39,-,14013.26,-,-,-
40,Construction In Progress,11571,11571,11565,-,11220,-,-,-,11220,-,11274,-,-,-
