,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5518,3800,4160,3568,3253,2885,2979,2473,2634,1897,2388,2999,2818,3252,2877,-,-,-,-,-
1,Market Cap Growth,31.69%,31.69%,39.64%,44.27%,23.49%,52.08%,24.77%,-17.55%,-6.50%,-41.65%,-17.01%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5505,3772,4099,3516,3201,2830,2890,2334,2495,1711,2052,2593,2412,2798,2872,-,-,-,-,-
3,Last Close Price,41.35,28.44,31.00,26.18,23.87,21.24,21.93,18.02,19.19,14.00,17.62,21.86,20.53,23.70,20.82,-,-,-,-,-
4,PE Ratio,193.96,131.22,133.66,123.33,137.96,73.08,62.37,46.63,42.41,31.88,39.04,41.16,37.14,36.43,31.65,-,-,-,-,-
5,PS Ratio,9.29,6.28,7.19,6.56,6.60,6.12,6.16,5.48,5.61,4.33,6.16,7.42,7.15,8.02,7.24,-,-,-,-,-
6,PB Ratio,7.20,4.91,5.14,4.32,3.91,3.47,3.60,2.83,3.04,2.25,2.89,3.80,3.64,4.29,3.77,-,-,-,-,-
7,P/TBV Ratio,5.36,5.36,5.78,4.87,4.41,4.12,4.30,3.41,3.67,2.79,3.61,3.95,3.79,4.48,3.94,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-205.73,-,-43.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,85.65,-,42.66,90.97,665.33,-,-,44.28,50.29,38.95,42.67,40.19,-,-,-,-,-
10,EV/Sales Ratio,9.10,6.24,7.09,6.46,6.49,6.00,5.97,5.17,5.31,3.91,5.29,6.42,6.12,6.90,7.23,-,-,-,-,-
11,EV/EBITDA Ratio,100.91,81.56,85.09,83.10,-,56.79,48.64,39.95,35.96,25.28,29.87,31.03,27.05,25.79,25.47,-,-,-,-,-
12,EV/EBIT Ratio,1234.15,363.05,250.20,286.04,-,101.20,73.73,54.55,45.03,30.92,36.31,35.94,30.96,28.73,28.17,-,-,-,-,-
13,EV/FCF Ratio,-125.40,-,-,-202.74,-,-42.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.22,0.22,0.20,0.18,0.14,0.14,0.13,0.11,0.09,0.08,0.06,0.01,0.01,0.02,0.03,0.11,0.10,-,0.08,0.07
15,Debt / EBITDA Ratio,3.12,2.95,2.29,1.74,-,1.82,2.41,2.22,1.34,0.68,1.47,0.10,0.18,0.11,0.21,0.30,0.23,-,0.21,0.22
16,Debt / FCF Ratio,-,-,-,-8.66,-,-1.79,-,-,-,-,-,-,-,-,-,-,-,-,0.83,1.32
17,Asset Turnover,0.56,0.52,0.48,0.56,0.50,0.42,0.30,0.49,0.57,0.35,0.47,0.48,0.46,0.62,0.93,-,-,-,-,
18,Inventory Turnover,2.53,2.52,2.50,2.32,3.19,2.45,2.22,1.47,2.63,3.03,1.99,2.47,2.73,2.35,2.76,2.59,-,-,-,-
19,Quick Ratio,1.16,1.16,1.37,1.58,1.59,1.62,1.81,1.88,1.95,2.12,2.83,4.69,5.10,5.70,5.69,1.28,1.34,-,1.53,-
20,Current Ratio,1.81,1.81,2.03,2.25,2.23,2.36,2.66,2.81,2.72,2.88,3.64,6.03,6.22,6.96,6.69,2.15,2.05,-,2.42,-
21,Return on Equity (ROE),3.07%,1.65%,5.51%,-0.18%,3.69%,0.87%,2.62%,10.07%,8.55%,4.01%,8.34%,8.76%,10.40%,15.22%,27.70%,-,-,32.91%,-,
22,Return on Assets (ROA),1.25%,1.12%,2.84%,-3.00%,2.72%,0.25%,1.48%,1.90%,5.53%,1.23%,5.44%,2.41%,7.00%,7.92%,15.55%,-,-,-,-,
23,Return on Capital (ROIC),1.52%,1.32%,3.36%,-3.55%,3.13%,0.28%,1.74%,2.26%,6.43%,1.39%,6.10%,2.69%,7.79%,9.20%,20.22%,-,-,19.24%,-,
24,Return on Capital Employed (ROCE),0.38%,1.30%,1.96%,1.45%,-,3.27%,4.60%,4.78%,6.22%,6.49%,6.76%,9.10%,10.02%,12.79%,13.28%,34.03%,33.68%,-,15.67%,-
25,Earnings Yield,0.52%,0.76%,0.75%,0.81%,0.72%,1.37%,1.60%,2.14%,2.36%,3.14%,2.56%,2.43%,2.69%,2.74%,3.16%,-,-,-,-,-
26,FCF Yield,-0.80%,-1.16%,-0.73%,-0.49%,-1.67%,-2.31%,-4.15%,-6.13%,-4.97%,-6.41%,-3.84%,-2.13%,-1.73%,-0.93%,-0.40%,-,-,-,-,-
27,Dividend Yield,0.19%,-,-,-,0.32%,-,-,-,1.00%,-,-,-,1.98%,-,0.92%,-,-,-,-,-
28,Payout Ratio,48.81%,14.06%,211.93%,6.43%,31.92%,1.48%,869.26%,5.54%,2.24%,1.81%,344.67%,0.30%,1.62%,129.42%,1.52%,1.44%,0.86%,0.94%,193.76%,1.17%
29,Buyback Yield / Dilution,10.94%,-54.34%,44.77%,-1.43%,35.33%,7.77%,0.38%,-1.98%,-75.85%,-0.93%,-20.28%,-31.05%,-25.46%,-34.05%,-9.81%,-0.09%,-,-,-,-
30,Total Shareholder Return,11.13%,-54.34%,44.77%,-1.43%,35.65%,7.77%,0.38%,-1.98%,-74.85%,-0.93%,-20.28%,-31.05%,-23.48%,-34.05%,-8.89%,-0.09%,-,-,-,-
