,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,546.08,719.68,1319,1198,1247,1179,1812,1709,1213,1071,1035,1158,-,-,-
1,Trading Asset Securities,-,483.01,415.42,238.42,388.42,448.07,798.12,466.78,573.66,1229,311.46,375.11,359.88,-,-,-
2,Cash & Short-Term Investments,1029,1029,1135,1558,1586,1695,1977,2279,2283,2442,1382,1410,1518,-,-,-
3,Cash Growth,-35.13%,-39.29%,-42.59%,-31.66%,-30.51%,-30.58%,43.07%,61.66%,50.42%,-,-,-,-,-,-,-
4,Accounts Receivable,-,100.92,82.34,76.95,83.17,115.76,112.33,82.12,90.63,51.39,85.11,77.76,120.02,-,-,-
5,Other Receivables,-,5.69,3.66,3.25,4.23,5.95,6.86,5.05,4.44,6.19,6.8,6.28,5.7,-,-,-
6,Receivables,-,106.61,86,80.2,87.4,121.71,119.19,87.17,95.07,57.59,91.91,84.04,125.72,-,-,-
7,Inventory,-,199.15,182.84,162.42,159.04,156.33,155.66,148.73,151.75,150.44,144.42,150.69,150.08,-,-,-
8,Prepaid Expenses,-,-,-,-,0.56,-,-,-,1.06,-,-,-,-,-,-,-
9,Other Current Assets,-,103.58,97.88,99.16,88.9,91.11,82.93,76.48,77.78,77.06,69.41,77.66,81.75,-,-,-
10,Total Current Assets,-,1438,1502,1899,1922,2064,2335,2592,2608,2727,1688,1722,1875,-,-,-
11,"Property, Plant & Equipment",-,366.43,337.06,310.75,314.8,320.57,279.43,245.08,240.52,200.13,182.33,175.88,178.69,-,-,-
12,Long-Term Investments,-,1104,1097,816.4,810.29,707,462.28,260.36,281.72,243.63,243.77,243.32,243.94,-,-,-
13,Goodwill,-,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,-,-,-
14,Other Intangible Assets,-,116.04,117.08,121.22,125.27,75.74,79.81,84.36,84.39,76.75,81.25,84.16,84.8,-,-,-
15,Long-Term Deferred Tax Assets,-,162.94,162.94,162.94,162.94,169.62,169.62,169.62,169.62,165.58,151.57,137.16,127.27,-,-,-
16,Long-Term Deferred Charges,-,22.01,14.29,19.14,23.17,15.12,17.46,19.57,21.42,33.94,36.88,29.25,32.55,-,-,-
17,Other Long-Term Assets,-,28.37,26.15,25.33,22.33,37.42,28.26,17.52,17.93,23.18,11.36,26.36,8.72,-,-,-
18,Total Assets,-,3242,3260,3358,3384,3393,3375,3391,3427,3473,2398,2422,2554,-,-,-
19,Accounts Payable,-,87.67,65.91,64.46,47.73,96.56,47.98,25.39,36.31,27.81,24.52,24.56,45.05,-,-,-
20,Accrued Expenses,-,21.45,31.58,14.88,54.93,28.14,35.52,19.76,73.8,48.27,53.57,27.68,84.13,-,-,-
21,Short-Term Debt,-,92.06,92,201.63,147.51,104.41,80,80,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,9.98,10.71,11.89,13.8,11.95,17.79,15.51,18.61,20.39,22.23,25.67,26.04,-,-,-
23,Current Income Taxes Payable,-,5.74,0.01,4.65,-,5.55,0,2.68,0,4.51,-,-,-,-,-,-
24,Current Unearned Revenue,-,20.13,19.41,19.95,24.86,14.23,11.3,10.2,13.19,12.98,13.52,14.19,14.8,-,-,-
25,Other Current Liabilities,-,8.47,31.52,2.7,50.63,5.32,4.37,2.62,8.76,2.69,8.71,5.09,5.71,-,-,-
26,Total Current Liabilities,-,245.5,251.14,320.16,339.45,266.15,196.96,156.16,150.67,116.65,122.55,97.18,175.73,-,-,-
27,Long-Term Leases,-,2,5.19,8.25,13.28,16.92,30.24,28.21,30.74,34.35,39.26,43.77,50.17,-,-,-
28,Long-Term Unearned Revenue,-,50.73,50.48,53.31,20.95,25.81,28.39,36.8,23.82,23.55,29.23,22.61,22.77,-,-,-
