,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,24379,18550,11669,10684,12060,15032,13004,16688,14152,8620,9848,-,-,-,-,-,-
1,Market Cap Growth,23.41%,23.41%,-10.27%,-35.98%,-14.78%,74.39%,32.05%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,23462,17634,10639,9344,10479,13451,11139,14521,11762,6230,8529,-,-,-,-,-,-
3,Last Close Price,61.11,46.50,29.25,26.71,30.15,37.58,32.51,41.72,35.38,21.55,24.62,-,-,-,-,-,-
4,PE Ratio,-,-309.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,43.47,33.00,25.84,26.19,30.79,41.75,35.69,50.21,43.05,24.63,24.12,-,-,-,-,-,-
6,PB Ratio,8.02,6.30,3.96,3.62,4.05,4.99,4.22,5.35,4.46,2.68,2.99,-,-,-,-,-,-
7,P/TBV Ratio,6.59,6.59,4.14,3.77,4.22,5.21,4.30,5.47,4.57,2.74,3.06,-,-,-,-,-,-
8,P/OCF Ratio,-,-,-,-244.43,-,-94.09,-,-,-,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,41.73,31.37,23.56,22.90,26.76,37.36,30.57,43.69,35.78,17.80,20.89,-,-,-,-,-,-
10,EV/EBITDA Ratio,-,-740.84,-58.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,-,-288.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.07,0.06,0.04,0.04,0.04,0.02,0.02,0.03,0.03,0.03,-,-,-
13,Debt / EBITDA Ratio,-,0.41,24.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Asset Turnover,-,0.17,0.15,0.11,0.12,0.11,0.12,0.07,0.12,0.08,0.17,0.13,-,-,-,-,
15,Inventory Turnover,-,-,1.47,1.59,1.45,1.75,1.27,1.61,0.91,1.97,0.99,1.55,1.18,-,-,-,-
16,Quick Ratio,-,-,4.63,4.86,5.12,4.93,6.83,10.64,15.15,15.78,21.42,12.03,15.37,9.35,-,-,-
17,Current Ratio,-,-,5.86,5.98,5.93,5.66,7.76,11.86,16.60,17.31,23.37,13.77,17.72,10.67,-,-,-
18,Return on Equity (ROE),-0.08%,-1.00%,-3.26%,-3.72%,-9.26%,-7.25%,-9.93%,-8.85%,-11.15%,-13.11%,-12.11%,-11.53%,-,-,-,-,
19,Return on Assets (ROA),-,-0.64%,-4.06%,-3.98%,-7.66%,-5.12%,-6.61%,-6.31%,-11.65%,-9.92%,-9.36%,-8.16%,-,-,-,-,
20,Return on Capital (ROIC),4.49%,-0.68%,-4.30%,-4.20%,-8.11%,-5.36%,-6.84%,-6.55%,-12.14%,-10.36%,-9.82%,-8.63%,-,-,-,-,
21,Earnings Yield,-0.25%,-0.32%,-1.24%,-1.77%,-1.96%,-1.84%,-2.13%,-1.84%,-2.10%,-3.36%,-3.31%,-,-,-,-,-,-
22,FCF Yield,-,-2.15%,-2.08%,-2.44%,-2.23%,-3.17%,-2.44%,-2.54%,-2.88%,-1.94%,-,-,-,-,-,-,
23,Buyback Yield / Dilution,-0.02%,1.55%,3.36%,-2.36%,-2.61%,1.45%,-6.65%,-8.85%,-11.84%,-10.34%,-3.72%,-3.91%,2.09%,-,-,-,-
24,Total Shareholder Return,-0.02%,1.55%,3.36%,-2.36%,-2.61%,1.45%,-6.65%,-8.85%,-11.84%,-10.34%,-3.72%,-3.91%,2.09%,-,-,-,-
