,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,211.32,138.69,119.26,92.91,92.6,103.29,94.83,61.26,98.77,62.94,99.54,82.6,150.26,154.78,90.93,65.18
1,Other Revenue,-,-1.14,1.14,-,8.03,-9.25,9.25,-,6.19,-0.88,0.88,-,13,-5.4,4.15,1.25
2,Revenue,211.32,137.55,120.4,92.91,100.63,94.03,104.08,61.26,104.97,62.06,100.42,82.6,163.26,149.38,95.08,66.43
3,Revenue Growth (YoY),109.99%,46.27%,15.69%,51.66%,-4.13%,51.52%,3.64%,-25.83%,-35.71%,-58.46%,5.62%,24.34%,-,-,-,-
4,Cost of Revenue,-196.52,70.01,68.42,58.09,69.03,49.7,61.17,34.23,74.27,36.61,57.25,44.36,104.1,73.62,62.08,34.24
5,Gross Profit,407.85,67.54,51.98,34.82,31.6,44.33,42.91,27.03,30.69,25.46,43.18,38.23,59.17,75.77,33,32.19
6,"Selling, General & Admin",-129.84,41.63,45.72,42.48,55,48.69,52.39,44.82,60.3,54.18,47.61,44.07,69.75,58.82,53.5,40.03
7,Research & Development,-153.31,47.26,52.52,53.53,63.18,69.22,90.84,77.57,89.11,97.82,106.49,87.17,117.97,96.96,100.73,71.86
8,Other Operating Expenses,638,-13.72,6.58,-7.66,18.8,-4.86,-12.24,-8.21,37.75,-8.82,-20.34,-11.03,32.9,-8.19,-20.37,-16.74
9,Operating Expenses,353.1,75.83,105.78,88.5,135.44,113.65,132.36,113.04,191.53,142,133.45,119.48,219.88,150.09,135.34,96.33
10,Operating Income,54.74,-8.29,-53.8,-53.68,-103.84,-69.32,-89.45,-86,-160.84,-116.54,-90.27,-81.25,-160.72,-74.32,-102.35,-64.14
11,Interest Expense,-66.12,-1.87,-0.77,-0.77,-1.56,-1.23,-1.01,-0.59,-0.73,-0.73,-0.79,-0.86,-1.24,-0.64,-1.01,-0.61
12,Interest & Investment Income,3.41,18.48,20.61,27.02,14.59,13.15,9.41,17.25,27.6,10.27,5.84,7.16,9.25,9.09,9.61,8.74
13,Currency Exchange Gain (Loss),-,-0.18,0.18,-,0.94,-1.84,1.84,-,4.86,-2.7,2.7,-,-1.53,0.72,-0.72,-
14,Other Non Operating Income (Expenses),128.56,-1.4,0.09,-0.36,-0.13,0.82,1.32,-1.33,-7.59,5.65,0.4,-0.7,19.39,-20.55,-1.13,0.71
15,EBT Excluding Unusual Items,120.6,6.74,-33.67,-27.79,-89.99,-58.42,-77.89,-70.68,-136.7,-104.05,-82.13,-75.65,-134.85,-85.71,-95.6,-55.31
16,Gain (Loss) on Sale of Investments,-0.09,0.09,-,-,-6.54,-,-,-,-1.67,-,-,-,-53.13,-,0.57,-0.57
17,Gain (Loss) on Sale of Assets,0.67,0.13,-0.83,0.03,-0.15,2.13,-0.17,0,-0.2,-0.09,-0.01,-,-0.63,0.21,-0.21,-
18,Asset Writedown,3.94,-3.94,-,-,-,-,-,-,-0,0,-,-,5.61,-5.61,-,-
19,Other Unusual Items,0.13,-10.41,10.33,-0.05,32.84,0.04,-0.04,-,43.7,-0.12,0.12,-,26.71,-,-,-
20,Pretax Income,125.25,-7.4,-24.17,-27.81,-63.84,-56.25,-78.09,-70.68,-94.87,-104.26,-82.02,-75.65,-156.3,-91.11,-95.24,-55.87
21,Income Tax Expense,125.86,-0.01,0.01,-,6.68,-,-,-,-4.02,-14.01,-14.41,-9.89,-29.95,-8.56,-16.66,-7.8
22,Earnings From Continuing Operations,-0.61,-7.39,-24.18,-27.81,-70.52,-56.25,-78.09,-70.68,-90.85,-90.25,-67.61,-65.76,-126.35,-82.55,-78.58,-48.07
23,Minority Interest in Earnings,0.93,0.45,-0.41,-0.97,-13.43,4.53,6,2.56,6.36,8.42,5.05,4.85,5.91,6.92,7.28,4.16
24,Net Income,0.32,-6.93,-24.59,-28.78,-83.95,-51.72,-72.1,-68.12,-84.49,-81.83,-62.55,-60.91,-120.44,-75.63,-71.3,-43.91
25,Net Income to Common,0.32,-6.93,-24.59,-28.78,-83.95,-51.72,-72.1,-68.12,-84.49,-81.83,-62.55,-60.91,-120.44,-75.63,-71.3,-43.91
26,Shares Outstanding (Basic),394,385,410,411,400,398,401,401,406,374,368,358,368,360,354,366
27,Shares Outstanding (Diluted),394,385,410,411,400,398,401,401,406,374,368,358,368,360,354,366
28,Shares Change (YoY),-1.55%,-3.36%,2.36%,2.61%,-1.45%,6.65%,8.85%,11.84%,10.34%,3.72%,3.91%,-2.09%,-,-,-,-
29,EPS (Basic),0.00,-0.02,-0.06,-0.07,-0.21,-0.13,-0.18,-0.17,-0.21,-0.22,-0.17,-0.17,-0.33,-0.21,-0.20,-0.12
