,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,2027,1866,1962,1779,1999,2285,2709,3425,3615,3610,-,-,-,-
1,Market Cap Growth,-18.36%,-18.36%,-27.58%,-48.06%,-44.69%,-36.70%,-,-,-,-,-,-,-,-
2,Enterprise Value,1272,1111,1154,947,1084,1370,1742,2415,3564,3559,-,-,-,-
3,Last Close Price,23.66,21.78,22.91,20.38,22.28,25.47,30.20,38.17,39.95,39.89,-,-,-,-
4,PE Ratio,49.29,44.93,25.97,23.50,26.07,30.78,36.14,34.18,28.65,28.99,-,-,-,-
5,Forward PE,-,16.31,16.31,16.31,16.31,16.31,16.31,19.46,20.54,-,-,-,-,-
6,PS Ratio,3.55,3.23,3.14,2.94,3.38,4.01,5.24,6.15,6.80,7.38,-,-,-,-
7,PB Ratio,1.37,1.28,1.35,1.22,1.38,1.53,1.87,2.37,2.49,2.50,-,-,-,-
8,P/TBV Ratio,1.32,1.32,1.38,1.26,1.40,1.56,1.90,2.41,2.53,2.54,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-20.60,-,-,-,131.30,-,-,-,-
10,P/OCF Ratio,-,-,-,-57.70,-,-28.30,-,-,-,77.25,-,-,-,-
11,EV/Sales Ratio,2.21,1.93,1.84,1.57,1.83,2.40,3.37,4.34,6.70,7.27,-,-,-,-
12,EV/EBITDA Ratio,32.77,28.30,22.32,20.18,20.48,25.79,36.74,31.13,30.95,30.64,-,-,-,-
13,EV/EBIT Ratio,36.76,32.11,24.53,22.25,22.04,27.59,39.40,32.42,31.77,31.42,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-12.35,-,-,-,129.46,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02
16,Debt / EBITDA Ratio,0.21,0.13,0.34,0.11,0.88,0.06,0.95,0.06,0.35,0.02,0.03,0.02,0.54,0.04
17,Debt / FCF Ratio,-,-,-,-,-,-0.08,-,-,-,0.09,-,0.06,-,0.10
18,Asset Turnover,-,0.26,0.39,0.24,0.51,0.21,0.36,0.20,0.55,0.72,-,-,-,
19,Inventory Turnover,-,-,1.43,2.35,1.30,2.16,0.82,1.51,0.80,1.52,1.13,-,-,-
20,Quick Ratio,-,-,3.91,4.68,4.62,4.59,4.16,4.37,4.53,4.33,1.25,1.27,-,1.20
21,Current Ratio,-,-,4.63,5.40,5.43,5.37,5.16,5.30,5.59,5.16,2.19,2.14,-,1.89
22,Return on Equity (ROE),2.34%,0.70%,6.44%,1.91%,11.16%,0.83%,6.96%,1.39%,17.85%,27.25%,55.01%,3.90%,-,
23,Return on Assets (ROA),-,0.69%,1.97%,0.13%,3.75%,0.07%,2.91%,0.19%,4.25%,10.45%,-,-,-,
24,Return on Capital (ROIC),2.50%,0.85%,2.39%,0.16%,4.60%,0.09%,3.55%,0.24%,5.77%,18.42%,38.62%,1.75%,-,
25,Return on Capital Employed (ROCE),-,-,3.19%,2.88%,3.34%,3.29%,3.02%,5.11%,7.67%,7.77%,29.57%,24.14%,-,10.75%
26,Earnings Yield,2.05%,2.23%,3.85%,4.25%,3.84%,3.25%,2.77%,2.93%,3.49%,3.45%,-,-,-,-
27,FCF Yield,-,-3.10%,-3.43%,-4.11%,-4.86%,-3.34%,-2.53%,-0.23%,0.76%,-,-,-,-,
28,Dividend Yield,1.25%,-,-,-,-,1.18%,-,-,-,0.88%,-,-,-,-
29,Payout Ratio,0.00%,-,390.98%,59.71%,-,-,-,122.70%,-,-,-,-,-,-
30,Buyback Yield / Dilution,2.12%,4.75%,1.61%,1.20%,0.80%,-37.48%,-28.81%,-43.24%,-24.31%,0.34%,-,-,-,-
31,Total Shareholder Return,3.37%,4.75%,1.61%,1.20%,0.80%,-36.30%,-28.81%,-43.24%,-24.31%,1.22%,-,-,-,-
