,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,179.42,115.63,172.42,109.28,228.5,93.87,159.43,88.15,175.98,133,134.59,45.72,172.98
1,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-17.63
2,Revenue,179.42,115.63,172.42,109.28,228.5,93.87,159.43,88.15,175.98,133,134.59,45.72,155.36
3,Revenue Growth (YoY),-21.48%,23.18%,8.15%,23.97%,29.85%,-29.42%,18.46%,92.82%,13.27%,-,-,-,-
4,Cost of Revenue,-250.33,71.35,112.42,66.56,130.23,52.18,94.67,48.41,86.55,62.39,61.28,18.14,74.93
5,Gross Profit,429.75,44.28,60,42.71,98.27,41.69,64.76,39.74,89.43,70.61,73.31,27.58,80.42
6,"Selling, General & Admin",-86.02,28.52,28.24,29.26,34.32,26.04,23.62,24.69,29.32,25.02,20.02,19.7,24.56
7,Research & Development,-50.26,18.67,17.67,13.92,19.91,15.66,19.45,13.7,16.99,12.82,14.88,9.74,14.93
8,Other Operating Expenses,558.14,-16.61,2.83,-2.22,2.97,-3.53,-4.33,-1.26,16.49,0.25,-20.53,-3.86,-2.08
9,Operating Expenses,415.07,39.27,46.02,41.79,71.15,41.17,44.13,38.36,67.75,39.82,14.95,25.12,42
10,Operating Income,14.69,5.01,13.98,0.93,27.12,0.52,20.63,1.38,21.68,30.79,58.36,2.46,38.42
11,Interest Expense,-11.27,-0.2,-0.12,-0.07,-0.2,-,-,-,-0.17,-,-,-,-
12,Interest & Investment Income,0.39,4.15,3.72,3.39,3.97,5.56,6.53,2.58,0.31,0.29,0.15,0.28,0.1
13,Other Non Operating Income (Expenses),0.54,1.63,-0.79,0.03,0.28,-0,-0.11,-0.02,-1.21,0.91,0.16,-0.08,-0.24
14,EBT Excluding Unusual Items,4.34,10.6,16.79,4.28,31.17,6.07,27.05,3.94,20.61,31.99,58.67,2.66,38.27
15,Gain (Loss) on Sale of Investments,-,-,-,-,-0.11,-,-,-,-1.24,-0.16,-0.53,-0.02,-0.83
