,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,681.62,735.2,443.48,949.12,760.25,714.01,383.24,1118,54.06,105.07,-,103.57
1,Trading Asset Securities,-,100,100,400,-,160,260,630,-,-,-,-,-
2,Cash & Short-Term Investments,781.62,781.62,835.2,843.48,949.12,920.25,974.01,1013,1118,54.06,105.07,103.57,103.57
3,Cash Growth,-17.65%,-15.06%,-14.25%,-16.75%,-15.07%,1602.18%,826.99%,878.33%,979.05%,-,-,-,-
4,Accounts Receivable,-,603.78,541.41,524.28,480.07,442.18,411.4,352.51,330.29,334.28,282.3,-,314.59
5,Other Receivables,-,11.52,11.49,7.79,7.51,7.67,5.72,7.21,6.97,5.47,4.39,-,1.04
6,Receivables,-,615.3,552.89,532.07,487.59,449.85,417.11,359.72,337.26,339.75,286.7,-,315.63
7,Inventory,-,215.93,183.28,199.51,210.77,271.21,240.3,261.83,222.67,232.35,211.33,-,187.12
8,Prepaid Expenses,-,-,4.56,-,1.6,-,3.44,-,2.14,2.17,-,-,1.23
9,Other Current Assets,-,39.94,28,39.14,33.64,58.36,50.59,60.78,51.43,59.96,56.3,-,53
10,Total Current Assets,-,1653,1604,1614,1683,1700,1685,1696,1731,688.29,659.4,-,660.56
11,"Property, Plant & Equipment",-,98.61,89.45,77.86,64.84,34.04,33.18,9.99,10.07,11.05,11.43,-,14.37
12,Long-Term Investments,-,26.03,23.09,23.83,23.3,6.52,6.82,6.65,0.96,1.06,1.14,-,1.12
13,Other Intangible Assets,-,22.62,22.66,22.44,22.78,23.36,23.61,23.92,24.23,24.67,24.53,-,1.43
14,Long-Term Accounts Receivable,-,5.01,5.5,4.58,4.48,4.91,4.82,4.93,5.21,5.25,0.22,-,0.32
15,Long-Term Deferred Tax Assets,-,25.27,22.36,22.02,20.65,20.54,19.72,21.14,19.49,19.33,18.98,-,17.83
16,Long-Term Deferred Charges,-,1.43,1.53,1.75,2,2.89,2.8,3.48,3.54,3.84,3.9,-,5.14
17,Other Long-Term Assets,-,2.34,3.35,2.27,1.39,-,-,-,-,0,-0,-,5.8
18,Total Assets,-,1834,1772,1769,1822,1792,1776,1766,1795,753.5,719.6,-,706.57
19,Accounts Payable,-,224.75,140.97,145.24,130.32,159.09,134.87,147.45,120.18,120.39,113.45,-,91.9
20,Accrued Expenses,-,17.07,47.08,17.89,52.71,16.88,38.85,8.97,61.93,20.28,18.29,-,45.6
21,Current Portion of Leases,-,3.4,3.36,3.32,4.06,2.44,3.33,2.23,1.99,3.02,3.61,-,4.41
22,Current Income Taxes Payable,-,1.88,0.67,4.23,2.51,2.38,0.3,3.76,3.71,2.01,5.56,-,3.5
23,Current Unearned Revenue,-,91.62,77.4,97.25,92.7,120.58,111.27,115.17,119.51,140.34,142.87,-,174.09
24,Other Current Liabilities,-,18.6,27.33,29.54,30.87,28.03,29.57,25.6,28.35,27.75,24.7,-,29.54
25,Total Current Liabilities,-,357.32,296.8,297.48,313.18,329.4,318.19,303.19,335.67,313.8,308.48,-,349.04
26,Long-Term Leases,-,4.88,4.07,3.62,4.54,2.55,2.96,0.77,0.62,0.59,0.66,-,2.41
27,Long-Term Unearned Revenue,-,0.39,0.43,0.46,0.5,0.53,0.57,0.6,0.64,0.67,0.71,-,0.78
28,Other Long-Term Liabilities,-,12.55,14.71,15.62,14.36,11.7,10.16,11.1,12.98,10.26,10.02,-,9.63
29,Total Liabilities,-,375.13,316.01,317.18,332.57,344.17,331.87,315.66,349.9,325.32,319.87,-,361.86
30,Common Stock,-,88.43,88.43,88.43,88.43,88.43,88.43,88.43,88.43,66.32,66.32,-,66.32
31,Additional Paid-In Capital,-,1076,1075,1074,1073,1072,1072,1071,1071,118.51,118.26,-,117.78
32,Retained Earnings,-,337.32,334.45,335.91,328.44,287.54,284.54,290.27,285.15,243.41,215.18,-,160.6
33,Treasury Stock,-,-61.77,-61.21,-51,-,-,-,-,-,-,-,-,-
34,Total Common Equity,1440,1440,1437,1447,1490,1448,1445,1450,1445,428.24,399.76,344.7,344.7
35,Minority Interest,-,18.8,19.14,4.55,-,-,-,0.03,0.01,-0.06,-0.02,-,-
36,Shareholders' Equity,1459,1459,1456,1452,1490,1448,1445,1450,1445,428.17,399.74,344.7,344.7
37,Total Liabilities & Equity,-,1834,1772,1769,1822,1792,1776,1766,1795,753.5,719.6,-,706.57
38,Total Debt,8.28,8.28,7.43,6.94,8.61,4.98,6.29,3,2.6,3.61,4.27,6.83,6.83
39,Net Cash (Debt),773.34,773.34,827.77,836.53,940.52,915.26,967.72,1010,1115,50.46,100.8,96.74,96.74
