,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1993,1452,1299,1373,1855,1876,1823,2079,1985,2149,3569,3452,2509,2426,-,-,-,-,-,-
1,Market Cap Growth,-22.60%,-22.60%,-28.70%,-33.95%,-6.52%,-12.71%,-48.94%,-39.77%,-20.91%,-11.39%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1830,1206,985,921,1403,1348,1224,1340,1246,1458,2676,2830,1888,2210,-,-,-,-,-,-
3,Last Close Price,13.56,9.82,8.84,9.24,12.49,12.63,12.27,13.95,13.44,14.55,24.17,23.22,16.88,16.32,-,-,-,-,-,-
4,PE Ratio,340.77,-,-,-,93.86,405.92,-,-,36.26,24.45,32.72,28.70,19.67,18.81,-,-,-,-,-,-
5,PS Ratio,3.19,2.40,1.99,2.05,2.65,2.52,2.45,2.64,2.35,2.29,3.54,3.23,2.17,2.08,-,-,-,-,-,-
6,PB Ratio,2.12,1.51,1.35,1.42,1.89,1.96,1.92,2.14,2.06,2.28,3.81,3.67,2.72,2.77,-,-,-,-,-,-
7,P/TBV Ratio,1.59,1.59,1.42,1.49,1.99,2.05,2.00,2.23,2.15,2.37,3.96,3.80,2.82,2.90,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,126.86,-,-,-43.54,1307.33,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,61.36,-55.52,-,-38.44,-,37.04,-,-,-56.27,99.72,-,-,-,-,-,-
10,EV/Sales Ratio,3.02,1.99,1.51,1.37,2.00,1.81,1.65,1.70,1.47,1.56,2.65,2.64,1.63,1.90,-,-,-,-,-,-
11,EV/EBITDA Ratio,79.43,55.38,-,-,38.29,96.59,-,29.17,18.64,13.28,19.35,18.73,11.59,12.97,-,-,-,-,-,-
12,EV/EBIT Ratio,224.30,136.78,-,-,72.38,-278.77,-,-,25.08,15.67,21.85,20.86,12.73,14.11,-,-,-,-,-,-
13,EV/FCF Ratio,-7.73,-,-,-,-,-,-,-,-,86.07,-,-,-32.76,1191.08,-,-,-,-,-,-
14,Debt / Equity Ratio,0.35,0.35,0.35,0.34,0.25,0.17,0.16,0.14,0.14,0.14,0.14,0.19,0.19,0.20,0.26,0.35,0.35,-,0.45,0.45
15,Debt / EBITDA Ratio,14.65,13.97,-,-,1.46,2.93,-,31.89,1.76,3.18,1.10,2.06,0.73,1.14,0.76,1.11,0.63,-,1.37,1.37
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,7.73,-,-,-3.03,95.15,-,-,1.39,-,-,-
17,Asset Turnover,0.23,0.19,0.20,0.64,0.36,0.25,0.28,0.74,0.35,0.34,0.39,1.02,0.69,-,-,-,-,0.82,-,
18,Quick Ratio,1.68,1.68,1.72,1.66,1.72,1.88,1.94,1.96,1.87,1.86,1.91,1.74,1.87,1.99,1.54,-,1.33,-,1.32,1.32
19,Current Ratio,1.76,1.76,1.74,1.68,1.74,1.90,1.95,1.96,1.88,1.87,1.91,1.74,1.87,2.00,1.55,-,1.33,-,1.32,1.32
20,Return on Equity (ROE),-1.02%,-2.51%,-5.94%,11.95%,1.29%,-4.48%,-0.92%,5.84%,2.43%,7.41%,7.00%,21.52%,15.72%,25.97%,22.19%,-,-,24.15%,-,
21,Return on Assets (ROA),0.39%,-1.16%,-1.76%,3.86%,1.33%,-2.17%,-0.47%,0.63%,0.86%,2.77%,2.37%,7.08%,6.64%,-,-,-,-,6.77%,-,
22,Return on Capital (ROIC),0.59%,-1.78%,-2.76%,6.15%,2.11%,-3.50%,-0.77%,1.07%,1.45%,4.77%,4.03%,11.17%,10.70%,14.28%,13.09%,-,-,12.78%,-,
23,Return on Capital Employed (ROCE),0.45%,0.74%,-,-,1.81%,-0.48%,-,-,4.97%,9.58%,12.69%,14.13%,15.79%,17.57%,31.50%,-,33.05%,-,14.44%,7.22%
24,Earnings Yield,0.29%,0.40%,0.89%,0.54%,1.07%,0.25%,0.42%,1.74%,2.76%,4.09%,3.06%,3.48%,5.08%,5.32%,-,-,-,-,-,-
25,FCF Yield,-11.87%,-16.30%,-17.19%,-13.81%,-6.12%,-7.24%,-4.93%,-5.52%,-6.29%,0.79%,1.83%,1.95%,-2.30%,0.08%,-,-,-,-,-,-
26,Dividend Yield,0.09%,-,-,-,0.10%,-,-,-,0.26%,-,-,-,0.95%,-,-,-,-,-,-,-
27,Payout Ratio,210.40%,-,-,-,8.44%,54.80%,-,-,5.58%,18.07%,138.34%,6.48%,3.90%,2.30%,1.48%,5.07%,2.88%,3.69%,63.50%,63.50%
