,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,117.61,90.39,99.56,289.96,164.82,109.17,128.85,335.03,162.8,155.41,185.55,423.65,234.39,216.94,270.23,433.9,255.87,196.69,196.69
1,Other Revenue,-4.16,4.16,-,7.93,-3.69,3.69,-,6.29,-3.24,3.24,-,9.62,-3.95,3.95,-,8.47,-3.02,1.51,1.51
2,Revenue,113.45,94.56,99.56,297.89,161.13,112.85,128.85,341.32,159.55,158.65,185.55,433.27,230.44,220.89,270.23,442.37,252.85,198.21,198.21
3,Revenue Growth (YoY),-29.59%,-16.21%,-22.73%,-12.73%,0.99%,-28.87%,-30.56%,-21.22%,-30.76%,-28.18%,-31.33%,-2.06%,-8.86%,11.44%,36.34%,-,-,-,-
4,Cost of Revenue,72,59.84,67.26,177.56,107.01,70.19,84.25,218.87,104.14,92.19,124.4,284.33,143.94,137.14,174.42,283.02,165.8,127.25,127.25
5,Gross Profit,41.45,34.71,32.3,120.33,54.13,42.66,44.6,122.46,55.41,66.46,61.15,148.95,86.5,83.75,95.81,159.35,87.05,70.96,70.96
6,"Selling, General & Admin",26.22,21.16,25.17,31.24,27.66,28.28,30.02,53.36,32.2,29,30.31,53.92,42.48,36.63,50.58,79.68,44.54,35.35,35.35
7,Research & Development,4.56,3.42,3.97,3.01,1.86,6.78,11.1,4.88,13.43,14.64,10.2,18.97,7.44,8.56,11.35,16.38,6.93,8.73,8.73
8,Other Operating Expenses,-2.82,1.11,-0.2,2.62,0.24,0.33,-0.55,4.54,-1.66,-3.17,-3.33,0.59,-1,-2.29,-0.1,-0.77,-0.27,-1.84,-1.84
9,Operating Expenses,38.36,43.95,46.22,91.45,44.74,58.13,48.01,117.79,49.18,45.56,43.26,100.89,50.88,49.61,65.25,102.99,49.66,44.71,44.71
10,Operating Income,3.09,-9.24,-13.92,28.88,9.38,-15.47,-3.41,4.66,6.23,20.9,17.9,48.05,35.62,34.13,30.56,56.35,37.39,26.25,26.25
11,Interest Expense,-2.83,-3.18,-2.53,-2.04,-1.65,-1.15,-0.87,-0.93,-1.27,-1.23,-1.23,-2.04,-0.88,-0.66,-1.26,-1.7,-1.08,-1.61,-1.61
12,Interest & Investment Income,2.39,2.36,1.86,2.82,2.14,5.09,2.09,4.53,3.32,3.25,2.95,4.26,1.69,0.55,1.88,3.6,1.81,1.17,1.17
13,Other Non Operating Income (Expenses),-0.86,-1.17,-0.13,-1.94,-0.2,-0.99,0.37,-1.56,0.22,-0.22,-0.05,-2.04,0.3,-0.37,-0.06,0.24,-0,-0.31,-0.31
14,EBT Excluding Unusual Items,1.79,-11.23,-14.73,27.73,9.67,-12.52,-1.82,6.71,8.5,22.7,19.56,48.24,36.73,33.65,31.11,58.48,38.13,25.5,25.5
15,Impairment of Goodwill,-,-,-,-,-,-,-,-0.21,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,0.49,-0.02,-0.47,0.23,-,0.36,-0.36,0.7,-0.07,-0.18,-0.45,0.12,0.39,-0.17,-0.34,-0.78,0.29,0.25,0.25
17,Gain (Loss) on Sale of Assets,-,0.06,0.01,0.2,0.04,0.03,0,0.03,-,-,-,0.09,0.03,0.14,0.01,-,-,0,0
18,Asset Writedown,-3.86,1.61,-1.61,5.93,-5.93,-0.03,0.03,0.69,-0.69,-0.92,0.92,5.38,-5.38,1.98,-1.98,-0.04,0.02,-0.01,-0.01
19,Other Unusual Items,-2.11,2.12,-0.01,0.41,-,-,-,9.21,-0.02,0.02,-,4.09,-0.03,0.03,-,-0.36,-0.22,0.11,0.11
20,Pretax Income,-3.69,-7.46,-16.8,34.5,3.77,-12.16,-2.15,17.14,7.71,21.61,20.03,57.91,31.73,35.64,28.8,57.3,38.22,25.85,25.85
21,Income Tax Expense,-1.25,-1.4,-2.3,5.53,0.7,-1.39,0.07,3.23,2,4.22,3.72,9.52,4.99,5.82,4.77,7.41,7.04,4.53,4.53
22,Earnings From Continuing Operations,-2.45,-6.06,-14.5,28.96,3.07,-10.77,-2.22,13.9,5.71,17.39,16.31,48.4,26.74,29.82,24.03,49.89,31.18,21.32,21.32
23,Minority Interest in Earnings,-0.36,-0.33,0.24,0.35,-0.1,0.12,0.35,0.27,0.35,0.45,0.33,-1.06,0.5,-0.77,-0.12,-1.14,-0.39,-0.37,-0.37
24,Net Income,-2.81,-6.39,-14.26,29.32,2.97,-10.65,-1.87,14.17,6.06,17.84,16.65,47.34,27.24,29.05,23.91,48.75,30.79,20.95,20.95
25,Net Income to Common,-2.81,-6.39,-14.26,29.32,2.97,-10.65,-1.87,14.17,6.06,17.84,16.65,47.34,27.24,29.05,23.91,48.75,30.79,20.95,20.95
26,Net Income Growth,-,-,-,106.85%,-51.08%,-,-,-70.06%,-77.74%,-38.59%,-30.40%,-2.90%,-11.52%,38.70%,14.17%,-,-,-,-
27,Shares Outstanding (Basic),145,152,143,131,199,91,187,157,135,149,151,146,133,112,109,111,110,110,110
28,Shares Outstanding (Diluted),145,152,143,131,199,91,187,157,135,149,151,146,133,112,109,111,110,110,110
29,Shares Change (YoY),-27.32%,67.63%,-23.82%,-16.89%,48.14%,-38.78%,23.74%,7.39%,1.08%,32.65%,39.20%,31.57%,21.20%,1.59%,-1.40%,-,-,-,-
30,EPS (Basic),-0.02,-0.04,-0.10,0.22,0.01,-0.12,-0.01,0.09,0.05,0.12,0.11,0.32,0.20,0.26,0.22,0.44,0.28,0.19,0.19
31,EPS (Diluted),-0.02,-0.04,-0.10,0.22,0.01,-0.12,-0.01,0.09,0.05,0.12,0.11,0.32,0.20,0.26,0.22,0.44,0.28,0.19,0.19
32,EPS Growth,-,-,-,148.89%,-66.97%,-,-,-72.12%,-77.97%,-53.71%,-50.00%,-26.20%,-26.99%,36.53%,15.79%,-,-,-,-
33,Free Cash Flow,-56.34,-79.66,-79.98,-20.67,-43.06,-45.95,-3.91,-42.93,2.84,-70.72,-14.05,98.86,51.09,-68.44,-139.14,158.35,61.73,-56.21,-56.21
34,Free Cash Flow Per Share,-0.39,-0.52,-0.56,-0.16,-0.22,-0.51,-0.02,-0.27,0.02,-0.48,-0.09,0.68,0.38,-0.61,-1.28,1.42,0.56,-0.51,-0.51
35,Dividend Per Share,-,-,-,0.013,-,-,-,0.035,-,-,-,0.161,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-62.86%,-,-,-,-78.26%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,36.54%,36.71%,32.44%,40.39%,33.59%,37.80%,34.61%,35.88%,34.73%,41.89%,32.96%,34.38%,37.54%,37.91%,35.46%,36.02%,34.43%,35.80%,35.80%
38,Operating Margin,2.73%,-9.77%,-13.98%,9.70%,5.82%,-13.71%,-2.65%,1.37%,3.90%,13.17%,9.64%,11.09%,15.46%,15.45%,11.31%,12.74%,14.79%,13.24%,13.24%
39,Profit Margin,-2.48%,-6.76%,-14.33%,9.84%,1.84%,-9.43%,-1.45%,4.15%,3.80%,11.25%,8.97%,10.93%,11.82%,13.15%,8.85%,11.02%,12.18%,10.57%,10.57%
40,Free Cash Flow Margin,-49.66%,-84.24%,-80.32%,-6.94%,-26.72%,-40.71%,-3.03%,-12.58%,1.78%,-44.58%,-7.57%,22.82%,22.17%,-30.98%,-51.49%,35.80%,24.41%,-28.36%,-28.36%
41,EBITDA,6.04,-5.12,-10.97,31.83,13.87,-10.13,1.08,9.15,10.29,25.44,21.96,52.11,38.79,38.27,33.73,59.53,40.46,29.32,29.32
42,EBITDA Margin,5.32%,-5.42%,-11.02%,10.69%,8.61%,-8.98%,0.83%,2.68%,6.45%,16.04%,11.83%,12.03%,16.83%,17.32%,12.48%,13.46%,16.00%,14.79%,14.79%
43,D&A For EBITDA,2.95,4.12,2.95,2.95,4.49,5.34,4.49,4.49,4.06,4.54,4.06,4.06,3.18,4.14,3.18,3.18,3.07,3.07,3.07
44,EBIT,3.09,-9.24,-13.92,28.88,9.38,-15.47,-3.41,4.66,6.23,20.9,17.9,48.05,35.62,34.13,30.56,56.35,37.39,26.25,26.25
45,EBIT Margin,2.73%,-9.77%,-13.98%,9.70%,5.82%,-13.71%,-2.65%,1.37%,3.90%,13.17%,9.64%,11.09%,15.46%,15.45%,11.31%,12.74%,14.79%,13.24%,13.24%
46,Effective Tax Rate,-,-,-,16.04%,18.68%,-,-,18.85%,25.93%,19.54%,18.56%,16.44%,15.73%,16.32%,16.56%,12.92%,18.43%,17.53%,17.53%
47,Revenue as Reported,113.45,94.56,99.56,297.89,161.13,112.85,128.85,341.32,159.55,158.65,185.55,433.27,230.44,220.89,270.23,442.37,252.85,198.21,198.21
