,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1944,1536,1344,984,728,1056,752,800,880,920,1232
1,Market Cap Growth,56.10%,56.10%,84.62%,-6.82%,-3.19%,32.00%,-14.55%,-13.04%,-28.57%,-37.84%,-6.10%
2,Enterprise Value,2195,1760,1581,1238,907,1216,883,959,997,1000,1262
3,Last Close Price,2.43,1.92,1.66,1.21,0.89,1.27,0.91,0.93,1.03,1.06,1.42
4,PE Ratio,135.53,107.08,-,45.53,31.55,56.34,16.75,12.97,22.05,32.16,36.57
5,PS Ratio,2.24,1.77,1.70,1.38,1.07,1.52,0.90,1.04,1.71,2.51,3.10
6,PB Ratio,1.83,1.45,1.24,0.91,0.65,0.91,0.63,0.67,0.77,0.88,1.17
7,P/TBV Ratio,1.45,1.45,1.24,0.91,0.65,0.91,0.63,0.67,0.77,0.88,1.17
8,P/FCF Ratio,-,-,44.25,-32.19,-,-,-,27.40,-,-,-
9,P/OCF Ratio,16.33,16.33,9.43,7.16,6.89,9.58,3.83,5.45,12.06,9.19,10.53
10,EV/Sales Ratio,2.53,2.03,2.00,1.74,1.34,1.75,1.06,1.25,1.94,2.73,3.18
11,EV/EBITDA Ratio,15.54,12.73,11.77,9.00,6.85,10.67,6.42,6.27,7.66,8.98,10.59
12,EV/EBIT Ratio,73.76,59.13,61.48,35.11,25.63,43.62,15.07,12.38,17.91,23.48,25.73
13,EV/FCF Ratio,-75.50,-,52.06,-40.48,-,-,-,32.85,-,-,-
14,Debt / Equity Ratio,0.30,0.30,0.25,0.30,0.24,0.20,0.16,0.16,0.17,0.15,0.13
15,Debt / FCF Ratio,-,-,8.83,-10.45,-,-,-,6.39,-,-,-
16,Return on Capital Employed (ROCE),2.39%,2.39%,2.02%,2.88%,3.05%,2.31%,4.67%,6.18%,4.63%,3.83%,4.38%
17,Earnings Yield,0.74%,0.93%,0.92%,2.20%,3.17%,1.77%,5.97%,7.71%,4.53%,3.11%,2.73%
18,FCF Yield,-1.50%,-1.89%,2.26%,-3.11%,-10.82%,-4.29%,2.65%,3.65%,-3.83%,-3.28%,-0.49%
19,Dividend Yield,1.24%,-,1.80%,1.29%,1.90%,1.34%,-,3.21%,-,1.89%,-
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,0.00%,
21,Total Shareholder Return,1.24%,-,1.80%,1.29%,1.90%,1.34%,-,3.21%,-,1.89%,0.00%
