,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,66.9,40.56,76.11,11.55,43.06,30.01,46.24,26.32,33.48,49.28
1,Cash & Short-Term Investments,66.9,40.56,76.11,11.55,43.06,30.01,46.24,26.32,33.48,49.28
2,Cash Growth,-12.10%,251.13%,76.78%,-61.51%,-6.89%,14.02%,38.14%,-46.60%,-82.45%,-71.02%
3,Accounts Receivable,300.3,270.52,302.58,257.09,264.38,263.17,321.69,282.7,243.01,252.95
4,Other Receivables,42.43,34.7,40.07,43.13,23.88,42.26,-,-,-,-
5,Receivables,342.73,305.22,342.65,300.22,288.26,305.43,321.69,282.7,243.01,252.95
6,Inventory,314.95,273.12,256.71,273.06,254.74,239.6,223.95,197.09,154.41,161.24
7,Other Current Assets,26.21,18.98,25.79,29.37,83.48,15.42,101.28,99.33,84.43,58.52
8,Total Current Assets,750.79,637.87,701.26,614.2,669.53,590.46,693.16,605.43,515.33,522
9,"Property, Plant & Equipment",940.23,941.87,918.66,936.13,878.05,868.84,859.27,821.62,800.55,785.17
10,Long-Term Deferred Tax Assets,20.4,20.11,14.1,14.96,15.37,15.63,13.37,13.62,11.95,12.17
11,Other Long-Term Assets,39.57,39.29,39.97,38.73,37.73,36.75,-,-,-,-
12,Total Assets,1751,1639,1674,1604,1601,1512,1566,1441,1328,1319
13,Accounts Payable,332.52,280.81,271.68,250.8,256.38,233.99,243.23,158.32,94.05,102.36
14,Accrued Expenses,9.06,7.82,5.83,6.39,4.55,6.52,8.43,8.91,5.96,9.16
15,Short-Term Debt,86.15,84.2,197.88,230.83,195,160,155,160,140,120.92
16,Current Portion of Long-Term Debt,70.19,17,-,2.44,-,-,-,-,-,-
17,Current Portion of Leases,-,-,-,0.28,0.26,0.07,0.2,0.24,0.49,0.07
18,Current Income Taxes Payable,0.12,0.26,0.24,0.04,0.08,0.06,0.06,3,1.23,2.49
19,Current Unearned Revenue,5.34,8.88,4.83,6.76,5.82,5.03,-,4.65,-,-
20,Other Current Liabilities,87.14,83.89,62.66,81.18,106.6,83.83,116.69,92.55,72.03,82.23
21,Total Current Liabilities,590.52,482.86,543.12,578.7,568.69,489.49,523.6,427.67,313.75,317.23
22,Long-Term Debt,144,142.33,97.69,2.18,-,-,-,-,-,-
23,Long-Term Leases,-,-,-,0.07,0.2,-,-,0.09,-,-
24,Long-Term Unearned Revenue,24.85,27.5,30.37,33.4,36.46,39.97,43.48,46.99,50.51,54.02
25,Long-Term Deferred Tax Liabilities,3.45,1.65,5.12,5.12,5.12,5.12,5.12,5.12,4.86,4.86
26,Other Long-Term Liabilities,-,-,-,-,2.54,2.91,2.88,2.54,2.47,2.93
27,Total Liabilities,762.81,654.33,676.3,619.47,613,537.48,575.07,482.41,371.58,379.03
28,Common Stock,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43
29,Additional Paid-In Capital,82.25,-,104.24,104.24,116.41,116.41,136.04,136.04,149.67,149.67
30,Retained Earnings,829.65,-,816.3,804.32,796.3,783.91,780.3,747.34,729,713.74
31,Comprehensive Income & Other,9.86,918.38,10.74,9.55,8.54,7.46,7.96,8.46,11.15,10.49
32,Shareholders' Equity,988.18,984.81,997.7,984.53,987.68,974.2,990.72,958.26,956.25,940.32
33,Total Liabilities & Equity,1751,1639,1674,1604,1601,1512,1566,1441,1328,1319
34,Total Debt,300.33,243.52,295.57,235.79,195.46,160.07,155.2,160.32,140.49,120.99
35,Net Cash (Debt),-233.43,-202.97,-219.45,-224.24,-152.41,-130.06,-108.95,-134.01,-107.01,-71.7
36,Net Cash Per Share,-0.29,-0.25,-0.27,-0.28,-0.19,-0.16,-0.14,-0.17,-0.13,-0.09
37,Filing Date Shares Outstanding,800,800,800,800,800,800,800,800,800,800
38,Total Common Shares Outstanding,800,800,800,800,800,800,800,800,800,800
39,Working Capital,160.27,155.01,158.14,35.49,100.84,100.97,169.56,177.76,201.58,204.78
40,Book Value Per Share,1.24,1.23,1.25,1.23,1.23,1.22,1.24,1.20,1.20,1.18
41,Tangible Book Value,988.18,984.81,997.7,984.53,987.68,974.2,990.72,958.26,956.25,940.32
42,Tangible Book Value Per Share,1.24,1.23,1.25,1.23,1.23,1.22,1.24,1.20,1.20,1.18
43,Machinery,-,1408,-,1285,-,988.28,-,930.16,-,861.8
44,Construction In Progress,-,68.58,-,88.61,-,230.88,-,176.33,-,143.81
