,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 30, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Cash & Equivalents,120402,145861,145861,95846,-,92928,102304,84369,66218,103935,85809,69108,-,89044,88582,77688,61110,90011,73493,80423,Upgrade
1,Short-Term Investments,13621,14700,14700,6512,-,15500,1857,1903,1921,3382,2337,4618,-,2710,888,888,628.8,674.8,672,672,Upgrade
2,Cash & Short-Term Investments,134022,160561,160561,102358,-,108428,104161,86272,68138,107317,88146,73726,91754,91754,89470,78576,61739,90686,74165,81095,Upgrade
3,Cash Growth,-,48.08%,54.15%,18.65%,-,1.04%,18.17%,17.02%,-25.74%,16.96%,-1.48%,-6.17%,48.62%,1.18%,20.64%,-3.11%,-,-4.54%,-7.46%,10.71%,Upgrade
4,Accounts Receivable,108737,90799,90799,103927,-,77646,89286,91901,85132,84045,93891,98266,-,92119,86028,85691,81931,80387,92258,83948,Upgrade
5,Other Receivables,3459,7897,7897,12940,-,7291,10623,9165,10074,6718,6141,7440,-,4732,4653,4507,14312,14886,13092,10786,Upgrade
6,Receivables,112196,98696,98696,116867,-,84937,99909,101066,95206,90763,100032,105705,-,96851,90681,90198,96242,95273,105350,94735,Upgrade
7,Inventory,1586,6187,6187,3040,-,5253,3795,2785,3280,3042,3578,3405,-,2243,2413,2976,3803,4300,4102,3508,Upgrade
8,Prepaid Expenses,482.91,207.51,207.51,475.94,-,961.04,213.64,313.23,213.3,117.11,228.61,357.4,-,123.52,191.29,408.1,91.45,30.46,265.72,84.52,Upgrade
