,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7116,6857,5259,8260,12867,17570,14675,14812,10563,9294,-,-,-,-,-,-
1,Market Cap Growth,-60.97%,-60.97%,-64.16%,-44.23%,21.81%,89.04%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8411,8198,6436,9193,13800,18161,15227,14903,10654,9252,-,-,-,-,-,-
3,Last Close Price,47.80,46.06,34.95,54.61,85.07,116.16,96.93,97.84,69.77,61.39,-,-,-,-,-,-
4,PE Ratio,-,-,68.86,67.46,-,72.06,71.89,101.72,-,133.62,-,-,-,-,-,-
5,PS Ratio,2.59,2.55,1.91,3.01,4.73,7.15,6.63,7.77,6.12,5.21,-,-,-,-,-,-
6,PB Ratio,3.21,3.05,2.25,3.58,5.55,7.34,6.32,6.59,5.11,4.34,-,-,-,-,-,-
7,P/TBV Ratio,3.86,3.86,2.82,4.50,6.96,9.21,7.97,8.24,5.20,4.42,-,-,-,-,-,-
8,P/FCF Ratio,-,-39.33,-,-,-,588.62,-132.09,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,14.26,14.26,9.71,13.33,20.94,29.05,30.87,46.77,33.08,27.16,-,-,-,-,-,-
10,EV/Sales Ratio,3.13,3.05,2.33,3.35,5.08,7.39,6.88,7.81,6.17,5.18,-,-,-,-,-,-
11,EV/EBITDA Ratio,19.95,33.62,18.30,23.08,30.70,48.56,50.95,72.04,-,45.96,-,-,-,-,-,-
12,EV/EBIT Ratio,60.39,54.07,24.41,28.97,-,60.23,66.22,105.80,-,65.02,-,-,-,-,-,-
13,EV/FCF Ratio,-48.25,-47.03,-,-,-,608.43,-137.06,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.84,0.84,0.84,0.82,0.80,0.82,0.69,0.65,0.62,0.58,0.59,1.15,1.15,-,-,0.05
15,Debt / EBITDA Ratio,4.50,10.94,2.46,6.00,2.28,3.25,1.70,2.82,3.53,4.08,2.44,3.50,2.41,-,-,0.09
16,Debt / FCF Ratio,-,-10.88,-,-,-,65.90,-14.39,-,-,-,14.02,10.58,-,-,-,0.68
17,Asset Turnover,0.60,0.62,0.57,0.46,0.68,0.68,0.67,0.31,0.57,-,-,-,-,-,-,
18,Inventory Turnover,10.00,11.19,10.71,10.32,6.60,11.38,10.96,11.99,4.72,10.42,-,-,-,-,-,-
19,Quick Ratio,1.06,1.06,1.12,1.24,0.99,1.41,1.38,1.56,1.81,1.99,2.16,-,0.60,-,-,-
20,Current Ratio,1.34,1.34,1.39,1.52,1.16,1.63,1.61,2.01,2.04,2.29,2.42,-,0.86,-,-,-
21,Return on Equity (ROE),-4.36%,4.96%,3.29%,-8.11%,14.48%,13.14%,30.65%,-13.96%,8.07%,3.66%,15.75%,-,-,-,-,
22,Return on Assets (ROA),1.13%,3.86%,3.00%,-0.05%,7.21%,7.45%,7.21%,-4.81%,4.09%,-,-,-,-,-,-,
23,Return on Capital (ROIC),1.28%,4.34%,3.42%,-0.06%,8.07%,8.34%,7.98%,-5.37%,4.62%,3.57%,7.86%,-,-,-,-,
24,Return on Capital Employed (ROCE),3.55%,3.87%,6.50%,8.00%,-,7.60%,6.49%,4.13%,-,4.51%,5.15%,-,-,-,-,-
25,Earnings Yield,-0.47%,-0.49%,1.45%,1.48%,2.08%,1.39%,1.39%,0.98%,0.19%,0.75%,-,-,-,-,-,-
26,FCF Yield,-2.45%,-2.54%,-2.38%,0.07%,-0.10%,0.17%,-0.76%,-1.03%,-0.08%,0.31%,-,-,-,-,-,-
27,Dividend Yield,0.83%,-,-,-,0.47%,-,-,-,0.14%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,14.77%,21.74%,-,22.73%,4.21%,1.53%,-,-,17.36%,5.42%,-,2.48%,2.97%,2.97%
29,Buyback Yield / Dilution,0.91%,10.91%,3.62%,-3.27%,-8.37%,2.18%,-36.85%,-31.65%,-26.78%,-35.76%,2.60%,-0.46%,-,-,-,-
30,Total Shareholder Return,1.74%,10.91%,3.62%,-3.27%,-7.90%,2.18%,-36.85%,-31.65%,-26.64%,-35.76%,2.60%,-0.46%,-,-,-,-
