,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,722.77,738.05,675.88,538.96,793.04,723.26,649.83,281.79,544.24,420.1,468.42,345.13,513.11,422.19,422.19
1,Other Revenue,-6.43,6.43,-,12.79,-4.89,4.89,-,11.09,-1.17,1.17,-,7.4,-2.27,1.14,1.14
2,Revenue,716.34,744.48,675.88,551.75,788.15,728.15,649.83,292.88,543.07,421.27,468.42,352.53,510.84,423.33,423.33
3,Revenue Growth (YoY),-9.11%,2.24%,4.01%,88.39%,45.13%,72.85%,38.73%,-16.92%,6.31%,-0.49%,10.65%,-,-,-,-
4,Cost of Revenue,457.08,433.72,401.9,244.3,426.11,393.69,359.75,131.62,296.47,242.53,256.89,157.8,268.71,238.42,238.42
5,Gross Profit,259.26,310.76,273.98,307.45,362.04,334.46,290.07,161.26,246.6,178.74,211.53,194.73,242.13,184.9,184.9
6,"Selling, General & Admin",247.7,233.5,212.39,303.96,228.24,207.03,174.12,225.03,181.38,140.53,147.3,206.99,163.29,128.44,128.44
7,Research & Development,0.56,1.91,2.41,3.88,2.29,2.65,2.21,2.29,1.81,2.4,0.15,-,-,-,-
8,Other Operating Expenses,-10.02,1.92,1.26,1.74,-3.98,-2.42,-1.8,9.28,-2.28,-2.86,-0.96,12.06,-2.84,-3.28,-3.28
9,Operating Expenses,237.65,237.03,216.69,308.46,228.37,207.03,177.43,233.45,184.55,140.39,147.27,217.11,162.32,125.2,125.2
10,Operating Income,21.6,73.73,57.29,-1.01,133.67,127.43,112.64,-72.19,62.06,38.35,64.26,-22.38,79.81,59.7,59.7
11,Interest Expense,-28.46,-22.96,-20.62,-20.34,-29.24,-17.1,-16.78,-14.4,-14.52,-13.82,-14.83,-12.33,-12.5,-11.8,-11.8
12,Interest & Investment Income,-,3.2,4.72,2.77,-,4.82,96.55,14.62,5,4.05,5.87,3.08,5.29,2.69,2.69
13,Currency Exchange Gain (Loss),-,-,-,-0.41,-,-,-,-0.01,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),7.38,-1.97,-1.64,-16.73,7.96,-11.74,-2.79,-13.66,4.9,-3.02,-1.81,0.17,-1.28,-2.38,-2.38
15,EBT Excluding Unusual Items,0.52,52.01,39.76,-35.71,112.4,103.4,189.62,-85.64,57.44,25.56,53.48,-31.46,71.31,48.21,48.21
16,Impairment of Goodwill,-,-,-,-,-,-,-,-1.64,-,-,-,-8.12,5.98,-2.99,-2.99
17,Gain (Loss) on Sale of Investments,0.59,0.36,-,0.1,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,6.98,0.4,-0.02,0.26,0.03,-0,0.01,0.08,-0,0.17,0.32,0.9,0.01,0.01,0.01
19,Asset Writedown,-2.4,-0,-0.1,0.82,-1.13,0.16,-0.32,0.15,-0.56,0.01,-0.08,7.03,-7.3,-0.11,-0.11
20,Other Unusual Items,-20.74,-1.03,-2.66,-7.42,0.02,-0.02,-,9.94,1.2,-1.2,-,10.33,-0.03,0.01,0.01
21,Pretax Income,-15.04,51.74,36.98,-41.94,111.32,103.54,189.31,-77.12,58.07,24.54,53.72,-21.34,69.98,45.13,45.13
22,Income Tax Expense,9.95,22.95,17.93,5.8,25.95,28.5,23.98,-3.68,15.33,10.62,16.38,3.11,16.98,12.46,12.46
23,Earnings From Continuing Operations,-24.99,28.79,19.04,-47.74,85.37,75.04,165.33,-73.44,42.74,13.92,37.35,-24.44,53,32.67,32.67
24,Minority Interest in Earnings,-2.46,-2.42,-2.12,-1.59,-2.95,-2.61,-2.94,-,-,-,-,-,-,-,-
25,Net Income,-27.45,26.37,16.92,-49.33,82.42,72.43,162.39,-73.44,42.74,13.92,37.35,-24.44,53,32.67,32.67
26,Net Income to Common,-27.45,26.37,16.92,-49.33,82.42,72.43,162.39,-73.44,42.74,13.92,37.35,-24.44,53,32.67,32.67
27,Net Income Growth,-,-63.59%,-89.58%,-,92.83%,420.38%,334.85%,-,-19.35%,-57.39%,14.32%,-,-,-,-
28,Shares Outstanding (Basic),133,145,154,150,150,150,149,138,153,110,113,109,113,113,113
29,Shares Outstanding (Diluted),133,145,154,150,150,150,149,138,153,110,113,109,113,113,113
30,Shares Change (YoY),-10.91%,-3.62%,3.27%,8.37%,-2.18%,36.85%,31.65%,26.78%,35.76%,-2.60%,0.46%,-,-,-,-
31,EPS (Basic),-0.21,0.18,0.11,-0.33,0.55,0.48,1.09,-0.53,0.28,0.13,0.33,-0.22,0.47,0.29,0.29
32,EPS (Diluted),-0.21,0.18,0.11,-0.33,0.55,0.48,1.09,-0.53,0.28,0.13,0.33,-0.22,0.47,0.29,0.29
33,EPS Growth,-,-62.23%,-89.91%,-,97.13%,280.25%,230.30%,-,-40.59%,-56.26%,13.79%,-,-,-,-
34,Free Cash Flow,52.34,-46.5,-70.68,-109.49,101.71,83.93,-88.56,-67.23,-39.24,41.84,55.95,-30.2,20.49,57.16,57.16
