,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1067,1373,1423,1842,1663,1802,2492,2926,1764,1470,1386
1,Market Cap Growth,-25.47%,-25.47%,-14.42%,2.23%,-33.26%,-38.42%,41.27%,99.05%,27.27%,-,-
2,Enterprise Value,489,715,910,1102,943,1276,1336,1792,1011,719,1028
3,Last Close Price,0.77,0.96,0.98,1.20,1.05,1.11,1.45,1.67,0.96,0.77,0.69
4,PE Ratio,11.09,14.24,5.66,6.29,14.52,6.90,7.93,9.53,5.85,6.02,5.66
5,PS Ratio,0.16,0.21,0.23,0.29,0.26,0.30,0.47,0.58,0.34,0.30,0.31
6,PB Ratio,0.49,0.63,0.67,0.83,0.81,0.86,1.17,1.47,0.89,0.78,0.79
7,P/TBV Ratio,0.63,0.63,0.67,0.83,0.81,0.86,1.17,1.47,0.89,0.95,0.79
8,P/FCF Ratio,4.38,5.63,24.96,-,4.01,4.13,14.25,8.37,4.50,6.81,-54.97
9,P/OCF Ratio,2.98,2.98,8.02,-,3.77,3.85,10.99,7.66,4.33,6.04,-500.72
10,EV/Sales Ratio,0.07,0.11,0.15,0.18,0.15,0.21,0.25,0.36,0.20,0.15,0.23
11,EV/EBITDA Ratio,2.46,4.73,5.74,2.91,2.73,3.76,4.40,6.17,2.82,2.38,3.50
12,EV/EBIT Ratio,3.82,5.73,6.95,3.10,2.92,4.10,4.89,7.00,3.26,2.74,3.76
13,EV/FCF Ratio,2.00,2.93,15.95,-,2.28,2.93,7.64,5.13,2.58,3.33,-40.79
14,Debt / Equity Ratio,0.26,0.26,0.18,0.14,0.18,0.17,0.18,0.05,0.04,0.08,0.02
15,Debt / FCF Ratio,2.32,2.32,6.58,-,0.89,0.81,2.18,0.29,0.19,0.68,-1.37
16,Return on Capital Employed (ROCE),4.86%,4.86%,5.43%,14.18%,13.47%,12.84%,11.02%,12.07%,14.95%,12.09%,15.16%
17,Earnings Yield,9.03%,7.02%,17.67%,15.90%,6.89%,14.48%,12.61%,10.49%,17.08%,16.60%,17.68%
18,FCF Yield,22.85%,17.77%,4.01%,-4.06%,24.91%,24.21%,7.02%,11.95%,22.20%,14.68%,-1.82%
19,Dividend Yield,12.36%,3.50%,9.67%,7.10%,-,10.41%,7.76%,6.61%,11.29%,11.57%,12.93%
20,Buyback Yield / Dilution,-0.13%,-0.27%,0.01%,-0.90%,-0.08%,1.21%,0.39%,-,-1.31%,-33.33%,-31.61%
21,Total Shareholder Return,12.24%,3.24%,9.68%,6.20%,-0.08%,11.62%,8.15%,6.61%,9.98%,-21.76%,-18.69%
