,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1024630,983230,1083278,1103978,1041879,1034979,1310974,1124677,1017582,1027930,1190054,1231625,1314424,1435171,1342023,1207476,1200576,1197126,1273025,1183326,1083278,Upgrade
1,Market Cap Growth,-5.00%,-5.00%,-17.37%,-1.84%,2.39%,0.69%,10.16%,-8.68%,-22.58%,-28.38%,-11.32%,2.00%,9.48%,19.88%,5.42%,2.04%,10.83%,-0.57%,-8.66%,-17.15%,-26.64%,Upgrade
2,Enterprise Value,958362,959176,1095287,1155458,1080947,1079085,1367276,1203148,1069419,1185944,1408426,1466839,1527861,1655215,1582030,1444456,1398659,1395209,1454306,1343498,1196177,Upgrade
3,PE Ratio,7.19,6.90,8.39,9.93,8.97,-,10.86,9.04,7.52,-,6.48,6.71,7.90,9.48,10.26,11.85,12.47,12.49,11.92,8.86,7.74,Upgrade
4,PS Ratio,2.42,2.33,2.58,2.63,2.47,2.40,3.05,2.65,2.30,2.26,2.38,2.57,2.90,3.37,3.57,3.61,3.73,3.61,3.63,2.89,2.57,Upgrade
5,PB Ratio,1.01,0.96,1.07,1.19,1.01,1.02,1.30,1.20,0.91,0.94,1.09,1.20,1.34,1.51,1.49,1.31,1.33,1.35,1.48,1.45,1.14,Upgrade
6,P/FCF Ratio,5.14,4.93,4.26,4.57,-,5.12,12.41,7.26,-,4.11,8.61,12.61,12.11,-,39.76,-277.27,-,78.65,-,14.73,-,Upgrade
7,P/OCF Ratio,4.79,4.79,4.25,4.57,-,5.11,12.69,7.29,-,4.11,8.40,12.40,12.04,-,39.34,-358.87,-,75.46,-,14.15,-,Upgrade
8,EV/Sales Ratio,2.27,2.27,2.61,2.75,2.56,2.50,3.18,2.83,2.41,2.60,2.81,3.06,3.37,3.89,4.21,4.31,4.35,4.21,4.14,3.28,2.84,Upgrade
9,EV/EBITDA Ratio,3.50,3.50,3.97,4.52,4.19,4.09,5.19,4.51,3.81,4.00,4.21,4.43,4.98,5.86,6.56,7.28,7.39,7.33,6.60,5.08,4.37,Upgrade
10,EV/EBIT Ratio,4.97,4.97,5.69,6.75,6.23,6.07,7.66,6.54,5.41,5.61,5.74,6.00,6.93,8.18,9.19,10.59,10.75,10.90,9.46,7.11,6.08,Upgrade
11,EV/FCF Ratio,4.81,4.81,4.30,4.79,-,5.33,12.94,7.77,-,4.75,10.18,15.02,14.08,-,46.87,-331.69,-,91.66,-,16.73,-,Upgrade
12,Debt / Equity Ratio,0.20,0.20,0.21,0.23,0.21,0.21,0.21,0.24,0.20,0.21,0.21,0.23,0.24,0.25,0.26,0.26,0.27,0.27,0.28,0.30,0.26,Upgrade
13,Debt / EBITDA Ratio,0.76,1.30,0.37,0.90,1.59,1.29,0.45,0.89,1.41,1.36,0.46,0.76,1.06,0.74,0.49,1.15,1.99,1.59,0.78,1.43,1.98,Upgrade
14,Debt / FCF Ratio,1.04,1.04,0.83,0.88,-,1.06,2.04,1.42,-,0.90,1.64,2.36,2.13,-,7.00,-54.97,-,15.89,-,3.07,-,Upgrade
15,Quick Ratio,8.14,8.14,4.34,4.10,9.43,7.58,3.31,3.28,10.27,7.83,7.63,8.67,8.56,4.00,3.57,6.60,4.38,3.55,2.77,2.60,4.44,Upgrade
16,Current Ratio,8.22,8.22,4.36,4.20,9.71,7.61,3.32,3.31,10.35,7.87,7.67,8.74,8.64,4.03,3.66,6.67,4.43,3.58,2.79,2.62,4.51,Upgrade
17,Asset Turnover,0.27,0.50,0.26,0.17,0.26,0.48,0.25,0.19,0.26,0.50,0.33,0.24,0.40,0.47,0.26,0.15,0.26,0.34,0.21,0.18,Upgrade,
18,Return on Equity (ROE),5.05%,36.54%,10.47%,6.17%,3.64%,29.07%,12.01%,7.06%,3.27%,27.97%,16.79%,12.09%,20.61%,32.31%,10.63%,6.35%,10.92%,21.19%,8.21%,5.58%,Upgrade,
19,Return on Assets (ROA),3.10%,19.49%,7.77%,4.13%,2.93%,14.90%,7.72%,4.59%,3.10%,17.20%,11.03%,7.46%,9.54%,18.22%,6.70%,4.18%,4.09%,11.06%,5.27%,3.62%,Upgrade,
20,Return on Capital (ROIC),3.58%,23.55%,8.80%,4.47%,3.47%,18.89%,8.90%,4.92%,3.36%,18.53%,11.78%,8.33%,11.18%,20.52%,7.39%,4.79%,4.89%,13.53%,6.15%,4.10%,Upgrade,
21,Return on Capital Employed (ROCE),15.73%,15.73%,15.82%,15.22%,14.10%,14.56%,14.72%,16.04%,14.88%,16.10%,18.69%,19.67%,18.30%,17.20%,15.22%,11.80%,11.45%,11.40%,13.98%,17.84%,16.45%,Upgrade
22,Earnings Yield,13.90%,14.49%,12.81%,10.95%,12.08%,12.55%,9.90%,11.88%,14.19%,14.98%,16.15%,15.60%,13.31%,11.14%,10.14%,8.88%,8.46%,8.44%,9.05%,12.00%,13.69%,Upgrade
23,Earnings Yield,13.90%,14.49%,12.81%,10.95%,12.08%,12.55%,9.90%,11.88%,14.19%,14.98%,16.15%,15.60%,13.31%,11.14%,10.14%,8.88%,8.46%,8.44%,9.05%,12.00%,13.69%,Upgrade
24,FCF Yield,19.46%,20.28%,23.49%,21.87%,21.19%,19.55%,8.06%,13.77%,15.04%,24.31%,11.62%,7.93%,8.26%,-0.75%,2.52%,-0.36%,1.08%,1.27%,4.31%,6.79%,2.20%,Upgrade
25,Dividend Yield,12.24%,-,-,-,-,13.49%,-,-,-,12.45%,-,-,-,10.19%,-,-,-,10.59%,-,-,-,Upgrade
26,Payout Ratio,85.40%,950.50%,-,-,16.30%,2237.39%,-,-,-,-,-,0.00%,304.43%,-,0.01%,137.26%,-,160.34%,-,362.81%,-,Upgrade
27,Buyback Yield / Dilution,0.35%,-0.03%,0.02%,0.02%,0.07%,0.06%,-0.13%,-0.13%,-0.43%,-0.02%,0.08%,0.08%,0.16%,0.06%,0.11%,-0.11%,-0.19%,-0.06%,9.26%,-0.01%,Upgrade,
28,Total Shareholder Return,12.24%,0.35%,-0.03%,0.02%,0.02%,13.56%,0.06%,-0.13%,-0.13%,12.02%,-0.02%,0.08%,0.08%,10.35%,0.06%,0.11%,-0.11%,10.39%,-0.06%,9.26%,-0.01%,Upgrade
