,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,269276,230519,195108,156334,171004,166163,157982,152827,183459,78225,20996,4697,29472,24590,7691,13088,59955,53820,58936,52343,Upgrade
1,Short-Term Investments,15000,15000,15000,15000,15000,15000,15000,-,-,-,-,-,-,-,-,-,-,-,15000,45000,Upgrade
2,Accounts Receivable,749660,827137,739819,744503,764861,883683,803746,777811,753590,777412,752732,724744,791125,655514,606233,626112,611971,642445,547589,554525,Upgrade
3,Other Receivables,23390,95349,48908,26825,21398,91943,43471,35980,31367,89954,43164,27452,11024,67251,33152,22574,6737,6343,6351,6514,Upgrade
4,Inventory,1622,1668,1591,1708,2097,3029,2205,1619,2139,2522,2532,4234,4206,2798,4905,4700,4726,4745,2705,2445,Upgrade
5,Prepaid Expenses,373.31,280.58,2012,3052,675.49,875,1995,2985,545.7,187.43,1988,444.55,497.68,185.3,356.02,837.12,634.95,233.65,368.45,855.29,Upgrade
6,Loans Receivable Current,-,-,20000,20000,-,-,-,-,-,-,-,-,-,14133,-,-,-,-,-,-,Upgrade
7,Other Current Assets,7992,2972,2216,3119,1730,2725,2647,2643,2260,2332,1749,2000,1667,1737,2041,1834,1248,1519,1620,7408,Upgrade
8,Total Current Assets,1067313,1172926,1024655,970541,976765,1163417,1027046,973866,973362,950633,823160,763572,837992,766208,654377,669145,685271,709105,632569,669090,Upgrade
9,"Property, Plant & Equipment",271268,293561,323711,340820,351958,376662,407841,424954,438110,464202,491102,508214,523052,549799,576166,594241,602324,618554,637270,652583,Upgrade
10,Other Intangible Assets,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,Upgrade
11,Long-Term Investments,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,Upgrade
12,Other Long-Term Assets,12205,13347,13805,14367,14532,16352,16557,16951,18675,16876,17662,16587,17575,19446,18215,19411,21116,21034,25135,18134,Upgrade
13,Total Assets,1356028,1485074,1367413,1330969,1348497,1561673,1456686,1421013,1435387,1436952,1337165,1293615,1383860,1340695,1253999,1288038,1313953,1353934,1300215,1345048,Upgrade
14,Accounts Payable,52424,51466,47259,48563,49397,47307,47931,48363,51290,48165,47436,47916,50295,46586,48099,46444,49822,47814,47531,49671,Upgrade
15,Accrued Expenses,32250,44406,37909,22952,33065,60956,34235,22180,34198,40362,18663,17795,36340,129622,23733,19796,47161,35799,28982,17562,Upgrade
16,Short-Term Debt,450,-,-,-,1900,-,-,-,2800,-,2800,-,2800,-,2800,-,200,-,-,-,Upgrade
17,Current Portion of Long-Term Debt,10752,12312,17362,18685,13985,16415,15915,15538,12388,15131,11631,10907,10857,13499,10199,9334,9534,9381,9181,6211,Upgrade
18,Current Income Taxes Payable,24364,34164,13110,5517,22565,21002,8623,5786,18217,18348,10287,7908,11893,17822,10299,3722,11893,14496,8721,4140,Upgrade
