,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,439.14,333.05,342.11,288.87,350.7,270.7,243.41,240.93,298.18,181.55,258.93
1,Other Revenue,-50.22,50.22,-,81.96,-28.35,28.35,-,70.2,-31.86,31.86,-
2,Revenue,388.92,383.27,342.11,370.83,322.35,299.05,243.41,311.12,266.32,213.41,258.93
3,Revenue Growth (YoY),20.65%,28.16%,40.55%,19.19%,21.04%,40.13%,-5.99%,-,-,-,-
4,Cost of Revenue,302.82,319.74,267.77,307.94,240.67,243.8,191.48,254.07,206.82,179.94,203.7
5,Gross Profit,86.1,63.53,74.34,62.9,81.68,55.25,51.93,57.05,59.5,33.47,55.23
6,"Selling, General & Admin",16.55,13.66,13.49,15.48,13.68,14.61,10.44,12.95,8.64,13.17,9.94
7,Research & Development,22.99,20.41,21.63,21.85,23.7,17.47,15.28,16.33,13.74,11.24,14.2
8,Other Operating Expenses,-2.79,-1.58,-1.39,-13.06,-0.57,0.04,-0.18,-2.51,4.16,3.16,-1.6
9,Operating Expenses,37.07,33.82,34.09,27.18,39.12,35.42,23.94,28.79,27.17,29.28,23.17
10,Operating Income,49.03,29.71,40.25,35.72,42.56,19.84,28,28.26,32.33,4.19,32.06
11,Interest Expense,-0.8,-0.41,-0.93,-5.24,-0.83,-2.12,-1.79,-3.14,-2.56,-2.52,-3.31
12,Interest & Investment Income,0.52,1.63,1.73,3.41,1.67,0.32,-,0.12,-,0.06,-
13,Currency Exchange Gain (Loss),0.05,-0.05,-,6.11,-4.43,4.43,-,3.15,0.03,-0.03,-
14,Other Non Operating Income (Expenses),0.36,0.06,-,-10.75,12.83,0.88,-0.08,-4.74,5.19,-0.7,-0.04
15,EBT Excluding Unusual Items,49.17,30.94,41.05,29.25,51.79,23.35,26.12,23.65,34.99,1.01,28.71
16,Gain (Loss) on Sale of Investments,-,-,-,-,0.6,0.12,-0.71,0.29,-1.12,-0.47,-1.16
17,Gain (Loss) on Sale of Assets,-0.24,0.01,-0.3,-0.68,0.11,-0,0.52,1.11,-0.02,0.37,-0.04
18,Asset Writedown,-11.03,8.54,-8.89,8.36,-10.86,6.36,-6.44,8.54,-8.5,8.06,-8.25
19,Other Unusual Items,-1.55,1.43,-,7.81,-,-,-,2.71,3.97,-,-
20,Pretax Income,36.34,40.93,31.87,44.74,41.63,29.82,19.48,36.3,29.32,8.97,19.27
21,Income Tax Expense,1.98,1.5,2.63,3.55,4.04,2.29,0.38,-2.48,1.9,-2.58,2.12
22,Net Income,34.36,39.43,29.24,41.2,37.6,27.53,19.11,38.79,27.42,11.54,17.15
23,Net Income to Common,34.36,39.43,29.24,41.2,37.6,27.53,19.11,38.79,27.42,11.54,17.15
24,Net Income Growth,-8.62%,43.24%,53.03%,6.20%,37.14%,138.47%,11.40%,-,-,-,-
25,Shares Outstanding (Basic),161,158,157,157,178,130,122,118,121,116,120
26,Shares Outstanding (Diluted),161,158,157,157,178,130,122,118,121,116,120
27,Shares Change (YoY),-9.46%,21.82%,29.46%,33.18%,47.25%,11.41%,1.33%,-,-,-,-
28,EPS (Basic),0.21,0.25,0.19,0.26,0.21,0.21,0.16,0.33,0.23,0.10,0.14
29,EPS (Diluted),0.21,0.25,0.19,0.26,0.21,0.21,0.16,0.33,0.23,0.10,0.14
30,EPS Growth,0.92%,17.59%,18.20%,-20.26%,-6.86%,114.05%,9.94%,-,-,-,-
31,Free Cash Flow,-85.47,-107.26,-66.82,-11.17,-31.3,-22.27,18.68,-10.21,25.71,11.4,-1.38
32,Free Cash Flow Per Share,-0.53,-0.68,-0.42,-0.07,-0.18,-0.17,0.15,-0.09,0.21,0.10,-0.01
33,Dividend Per Share,-,-,-,0.238,-,-,-,-,-,-,-
34,Gross Margin,22.14%,16.58%,21.73%,16.96%,25.34%,18.48%,21.34%,18.34%,22.34%,15.68%,21.33%
35,Operating Margin,12.61%,7.75%,11.77%,9.63%,13.20%,6.63%,11.50%,9.08%,12.14%,1.97%,12.38%
36,Profit Margin,8.83%,10.29%,8.55%,11.11%,11.66%,9.21%,7.85%,12.47%,10.29%,5.41%,6.62%
37,Free Cash Flow Margin,-21.98%,-27.98%,-19.53%,-3.01%,-9.71%,-7.45%,7.67%,-3.28%,9.65%,5.34%,-0.53%
38,EBITDA,64.16,47.94,55.39,50.85,55.93,33.95,41.37,41.63,42.95,17.13,42.68
39,EBITDA Margin,16.50%,12.51%,16.19%,13.71%,17.35%,11.35%,17.00%,13.38%,16.13%,8.03%,16.48%
40,D&A For EBITDA,15.13,18.23,15.13,15.13,13.37,14.12,13.37,13.37,10.62,12.93,10.62
41,EBIT,49.03,29.71,40.25,35.72,42.56,19.84,28,28.26,32.33,4.19,32.06
42,EBIT Margin,12.61%,7.75%,11.77%,9.63%,13.20%,6.63%,11.50%,9.08%,12.14%,1.97%,12.38%
43,Effective Tax Rate,5.46%,3.66%,8.25%,7.92%,9.69%,7.69%,1.93%,-,6.50%,-,10.98%
44,Revenue as Reported,388.92,383.27,342.11,370.83,322.35,299.05,243.41,311.12,266.32,213.41,258.93
