,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,4656,3265,3141,4040,4100,4183,4047,-,-,-,-,-
1,Market Cap Growth,-21.96%,-21.96%,-22.38%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4731,3237,3135,4014,4074,3868,4236,-,-,-,-,-
3,Last Close Price,29.34,20.48,19.46,25.02,25.40,25.91,25.07,-,-,-,-,-
4,PE Ratio,31.21,22.64,21.30,29.80,32.69,34.00,35.86,-,-,-,-,-
5,PS Ratio,3.03,2.20,2.21,3.03,3.32,3.56,3.61,-,-,-,-,-
6,PB Ratio,3.08,2.16,2.13,2.74,2.84,2.99,2.97,-,-,-,-,-
7,P/TBV Ratio,2.27,2.27,2.23,2.85,2.95,3.11,3.10,-,-,-,-,-
8,P/OCF Ratio,50.28,50.28,-,57.82,38.40,45.92,-,-,-,-,-,-
9,EV/Sales Ratio,3.19,2.18,2.21,3.01,3.30,3.29,3.78,-,-,-,-,-
10,EV/EBITDA Ratio,21.30,14.82,14.92,20.47,22.37,22.38,26.49,-,-,-,-,-
11,EV/EBIT Ratio,31.91,20.92,21.15,29.01,32.31,32.60,39.07,-,-,-,-,-
12,Debt / Equity Ratio,0.13,0.13,0.09,0.04,0.03,0.03,0.06,0.35,0.39,-,0.44,0.45
13,Debt / EBITDA Ratio,0.88,0.76,0.68,0.30,0.19,0.20,0.58,1.42,1.28,-,3.06,1.44
14,Debt / FCF Ratio,-,-,-,-,-,-,-,5.15,-,-,25.26,-
15,Asset Turnover,0.76,0.78,0.73,0.80,0.70,0.78,0.76,-,-,-,-,
16,Inventory Turnover,3.95,3.71,4.16,3.74,4.61,3.66,3.68,2.89,-,-,-,-
17,Quick Ratio,1.21,1.21,1.36,1.44,2.06,1.42,2.16,0.76,0.79,-,0.69,-
18,Current Ratio,1.97,1.97,2.08,2.63,2.98,2.81,2.95,1.40,1.36,-,1.31,-
19,Return on Equity (ROE),9.20%,10.69%,8.01%,11.59%,10.89%,10.87%,11.71%,-,-,8.21%,-,
20,Return on Assets (ROA),5.95%,3.77%,5.35%,4.83%,5.81%,3.22%,5.44%,-,-,-,-,
21,Return on Capital (ROIC),7.38%,4.71%,6.65%,6.09%,7.35%,4.23%,7.83%,-,-,1.29%,-,
22,Return on Capital Employed (ROCE),9.35%,9.76%,9.57%,8.93%,8.33%,7.95%,7.46%,11.34%,12.07%,-,5.00%,-
23,Earnings Yield,3.10%,4.42%,4.69%,3.36%,3.06%,2.94%,2.79%,-,-,-,-,-
24,FCF Yield,-5.81%,-8.29%,-6.89%,-3.26%,-1.12%,-1.08%,0.29%,-,-,-,-,-
25,Dividend Yield,0.73%,-,-,-,0.94%,-,-,-,-,-,-,-
26,Payout Ratio,27.23%,111.67%,-,3.38%,0.20%,3.45%,5.70%,12.51%,9.10%,8.51%,26.62%,15.66%
27,Buyback Yield / Dilution,-12.33%,9.46%,-21.82%,-29.46%,-33.18%,-47.25%,-11.41%,-1.33%,-,-,-,-
28,Total Shareholder Return,-11.60%,9.46%,-21.82%,-29.46%,-32.24%,-47.25%,-11.41%,-1.33%,-,-,-,-
