,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,60.78,83.44,51.99,157.41,61.68,237.08,45.79,52.03,-,34.87,-
1,Short-Term Investments,-,81.95,-,100.69,-,128.02,-,-,-,-,-
2,Trading Asset Securities,60,-,20,-,8.6,36,-,-,-,-,-
3,Cash & Short-Term Investments,120.78,165.39,71.99,258.1,70.28,401.1,45.79,52.03,-,34.87,24.97
4,Cash Growth,71.86%,-58.77%,57.23%,396.04%,-,1050.38%,83.35%,-,-,-,-
5,Accounts Receivable,487.69,477.11,451.11,422.82,430.66,368.2,289.65,342.94,-,263.61,-
6,Other Receivables,3.72,3.86,3.18,1.62,6.52,6.05,6.39,2.67,-,6.16,-
7,Receivables,491.41,480.97,454.29,424.75,437.18,374.25,296.04,346.04,-,270.16,-
8,Inventory,342.06,311.74,302.49,270.87,264.05,262.35,267.49,262.44,-,250.86,-
9,Other Current Assets,42.56,34.11,131,33.96,229.18,21.15,18.12,25.63,-,23.19,-
10,Total Current Assets,996.81,992.21,959.77,987.69,1001,1059,627.43,686.15,-,579.07,-
11,"Property, Plant & Equipment",804.87,731.39,657.07,611.38,579.62,541.84,535.13,524.38,-,498.1,-
12,Long-Term Investments,128.18,158.24,167.35,146.27,141.18,100.06,-,-,-,-,-
13,Other Intangible Assets,70.26,70.8,59.06,54.01,54.85,55.38,42.73,43.18,-,43.43,-
14,Long-Term Deferred Tax Assets,7.11,6.85,9.29,6.9,36.69,35.46,36.44,38.45,-,28.96,-
15,Long-Term Deferred Charges,0.74,0.77,0.8,0.83,0.86,0.89,0.91,2.49,-,1,-
16,Other Long-Term Assets,83.49,65.07,62.16,38.72,35.88,20.03,24.05,13.09,-,17.8,-
17,Total Assets,2091,2025,1916,1846,1850,1813,1267,1308,-,1168,-
18,Accounts Payable,274.78,263.44,260.23,251.74,281.9,245.27,251.7,278.18,-,221.1,-
19,Accrued Expenses,27.03,31.38,22.72,27.13,20.47,23.45,18.52,38.08,-,35.85,-
20,Short-Term Debt,189.64,131.49,57.63,34.22,31.23,73.59,155.25,171.25,-,162.63,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,0.95,-,0.9,-
22,Current Portion of Leases,5.45,5.88,6.69,8.17,8.98,9.63,14.9,11.19,-,20.12,-
23,Current Income Taxes Payable,6.62,2.14,11.98,2.38,8.61,0.91,4.7,0.28,-,1.07,-
24,Current Unearned Revenue,1.67,0.65,5.84,0.63,3.61,1.28,2.42,0.35,-,0.2,-
25,Other Current Liabilities,1.55,41.25,0.4,7.4,1.71,4.21,0.69,4.84,-,1.28,-
26,Total Current Liabilities,506.74,476.23,365.51,331.66,356.52,358.33,448.18,505.12,-,443.15,-
27,Long-Term Debt,-,-,-,-,-,-,57.94,58.42,-,58.92,-
28,Long-Term Leases,0.21,0.27,1.44,1.58,4.16,3.4,6.43,6.35,-,10.57,-
29,Long-Term Unearned Revenue,50.31,52.15,54.1,49.64,46.78,47.62,49.22,50.62,-,45.07,-
30,Long-Term Deferred Tax Liabilities,22.6,20.33,19.62,18.66,41.84,40.53,39.92,42.14,-,31.57,-
31,Other Long-Term Liabilities,0.05,0.08,0.11,0.13,-,-,2.26,2.26,-,2.31,-
32,Total Liabilities,579.91,549.06,440.78,401.67,449.29,449.89,603.96,664.91,-,591.59,-
33,Common Stock,158.7,113.36,113.36,113.36,113.36,113.36,84.98,84.98,-,84.98,-
34,Additional Paid-In Capital,832.01,877.12,876.88,876.63,876.39,876.15,232.17,231.93,-,231.45,-
35,Retained Earnings,516.62,482.27,480.58,451.34,410.71,373.11,345.59,325.91,-,260.33,-
36,Comprehensive Income & Other,4.2,3.52,3.9,2.79,-,-,-,-,-,-,-
37,Shareholders' Equity,1512,1476,1475,1444,1400,1363,662.74,642.83,-,576.77,547.59
38,Total Liabilities & Equity,2091,2025,1916,1846,1850,1813,1267,1308,-,1168,-
39,Total Debt,195.29,137.64,65.77,43.96,44.37,86.61,234.52,248.17,-,253.14,246.27
40,Net Cash (Debt),-74.51,27.75,6.22,214.14,25.91,314.49,-188.73,-196.13,-,-218.27,-221.29
41,Net Cash Growth,-,-91.18%,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,-0.46,0.18,0.04,1.37,0.15,2.43,-1.55,-1.67,-,-1.88,-1.84
43,Filing Date Shares Outstanding,158.7,158.7,158.7,158.7,158.7,158.7,118.97,118.97,120.67,118.97,120.02
44,Total Common Shares Outstanding,158.7,158.7,158.7,158.7,158.7,158.7,118.97,118.97,120.67,118.97,120.02
