,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,1466,1654,1644,2415,2446
1,Revenue Growth (YoY),-10.85%,-31.52%,-32.77%,-,-
2,Cost of Revenue,905.97,952.59,927.11,1509,1457
3,Gross Profit,559.73,701.12,717.01,905.67,989.07
4,"Selling, General & Admin",309.51,408.97,370.3,401.87,433.66
5,Research & Development,58.71,74.47,69.05,82.76,79.99
6,Other Operating Expenses,50.02,-52.77,66.59,-108.69,114.9
7,Operating Expenses,418.24,430.67,505.94,375.95,628.55
8,Operating Income,141.5,270.46,211.07,529.73,360.52
9,Interest Expense,-27.4,-40.46,-45.85,-53.87,-9.5
10,Interest & Investment Income,12.58,12.18,7.98,5.36,3.51
11,Currency Exchange Gain (Loss),-,-8.2,-,-6.74,-
12,Other Non Operating Income (Expenses),7.1,-9.28,-21.46,-77.03,81.86
13,EBT Excluding Unusual Items,133.76,224.7,151.73,397.45,436.39
14,Gain (Loss) on Sale of Investments,-,-57.86,-,-111.65,-
15,Gain (Loss) on Sale of Assets,-,-3.77,-,-1.75,-
16,Other Unusual Items,-,34.58,-,100.38,-
17,Pretax Income,133.76,197.64,151.73,384.43,436.39
18,Income Tax Expense,30.29,55.58,31.47,74.94,60.99
19,Earnings From Continuing Operations,103.48,142.06,120.26,309.49,375.4
20,Minority Interest in Earnings,-1.9,-18.99,-8.45,-9.15,5.06
21,Net Income,101.58,123.08,111.81,300.34,380.45
22,Net Income to Common,101.58,123.08,111.81,300.34,380.45
23,Net Income Growth,-9.15%,-59.02%,-70.61%,-,-
24,Shares Outstanding (Basic),727,727,654,653,653
25,Shares Outstanding (Diluted),727,727,706,706,706
26,Shares Change (YoY),2.98%,3.01%,0.01%,-,-
27,EPS (Basic),0.14,0.17,0.17,0.46,0.58
28,EPS (Diluted),0.14,0.17,0.14,0.46,0.42
29,EPS Growth,-1.68%,-63.19%,-66.01%,-,-
30,Free Cash Flow,-216.22,296.68,-68.39,778.13,-113.48
31,Free Cash Flow Per Share,-0.30,0.41,-0.10,1.10,-0.16
32,Operating Margin,9.65%,16.35%,12.84%,21.93%,14.74%
33,Profit Margin,6.93%,7.44%,6.80%,12.44%,15.56%
34,Free Cash Flow Margin,-14.75%,17.94%,-4.16%,32.22%,-4.64%
35,EBITDA,197.6,328.56,259.56,586.71,435.57
36,D&A For EBITDA,56.11,58.1,48.49,56.98,75.05
37,EBIT,141.5,270.46,211.07,529.73,360.52
