,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 6, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,5109,7403,9485,9984,-,-
1,Market Cap Growth,-25.85%,-25.85%,-,-,-,-
2,Enterprise Value,5898,7623,9216,10413,-,-
3,Last Close Price,7.04,10.20,13.04,13.80,-,-
4,PE Ratio,21.21,30.67,36.65,22.42,-,-
5,Forward PE,20.28,17.71,18.12,-,-,-
6,PS Ratio,1.53,2.21,2.61,2.28,-,-
7,PB Ratio,2.66,3.62,4.71,6.28,-,-
8,P/TBV Ratio,4.41,4.41,5.83,8.09,-,-
9,P/FCF Ratio,59.09,-,37.71,-,-,-
10,P/OCF Ratio,32.83,-,22.80,10.23,-,-
11,PEG Ratio,1.08,0.42,2.00,-,-,-
12,EV/Sales Ratio,1.76,2.27,2.54,2.37,-,-
13,EV/EBITDA Ratio,9.04,13.48,14.22,11.39,-,-
14,EV/EBIT Ratio,12.62,17.22,17.37,13.01,-,-
15,EV/FCF Ratio,68.23,-,36.64,-,-,-
16,Debt / Equity Ratio,0.73,0.73,0.60,0.92,3.20,-
17,Debt / FCF Ratio,17.24,-,4.77,-,2.95,-
18,Return on Capital Employed (ROCE),14.11%,13.37%,17.22%,27.22%,36.55%,-
19,Earnings Yield,4.73%,3.26%,2.73%,4.46%,-,-
20,FCF Yield,1.69%,1.17%,2.65%,7.68%,-,-
21,Buyback Yield / Dilution,-2.99%,-2.98%,-3.01%,-0.01%,-,-
22,Total Shareholder Return,-2.99%,-2.98%,-3.01%,-0.01%,-,-
